playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2495455,Cam Newton,CAR,QB,27,5,7,22.20514286,18.3844,25.848,3.690973133,1,2.563642857,1,7.4636,NA,NA,NA,13.48159336,NA,NA
2506363,Aaron Rodgers,GB,QB,33,11,4,20.11778571,19.068,21.38,1.697268983,2,0.961946429,1,2.312,NA,5.7,1.7,5.179748988,NA,NA
2532975,Russell Wilson,SEA,QB,28,4,5,19.16521429,18.2076,20.264,1.105652878,3,0.233785714,2,2.0564,NA,NA,NA,6.483831574,NA,NA
2504211,Tom Brady,NE,QB,39,16,9,19.14646429,16.545,21.3706,2.47428372,4,0.785178571,2,4.8256,NA,2.9,1.5,5.947652503,NA,NA
2540175,LeVeon Bell,PIT,RB,24,3,8,19.0275,16.624,21.317,1.997854206,1,2.589375,1,4.693,NA,1.1,0.6,4.992441499,NA,NA
2504775,Drew Brees,NO,QB,37,15,5,18.71639286,17.134,20.5758,2.434930903,5,1.125660714,2,3.4418,NA,3,1.6,6.036234152,NA,NA
2506109,Ben Roethlisberger,PIT,QB,34,12,8,18.00617857,16.5888,19.6624,1.370893322,6,0.90075,2,3.0736,NA,3.7,2,5.163564802,NA,NA
79860,Matthew Stafford,DET,QB,28,7,10,17.17528571,15.3644,18.2406,1.444481123,7,0.239,3,2.8762,NA,11.5,3,6.681559519,NA,NA
2495240,Tyrod Taylor,BUF,QB,27,5,10,17.03557143,15.7036,19.768,2.447195314,8,0.456107143,3,4.0644,NA,15.4,3.7,9.031479916,NA,NA
2505245,Carson Palmer,ARI,QB,37,13,9,16.837,14.4802,20.496,3.414024521,9,0.710892857,3,6.0158,NA,7.2,2,7.928666224,NA,NA
2495207,DeMarco Murray,TEN,RB,28,5,13,16.79125,14.587,18.65,1.775479312,2,0.891517857,2,4.063,NA,3.1,1.3,4.953175923,NA,NA
2543477,Blake Bortles,JAC,QB,25,2,5,16.32192857,15.1756,17.33,1.399460712,10,0.649232143,3,2.1544,NA,11.2,3.4,7.187991926,NA,NA
2553435,David Johnson,ARI,RB,25,1,9,16.085,13.745,17.05,1.591369581,3,0.799642857,2,3.305,NA,3,1.2,4.641481708,NA,NA
2506340,Alex Smith,KC,QB,32,11,5,15.93028571,13.296,17.7688,3.014360297,11,0.531660714,3,4.4728,NA,14.7,3.3,9.231699485,NA,NA
79607,LeSean McCoy,BUF,RB,28,7,10,15.71446429,13.857,17.08,1.428295063,4,1.082589286,2,3.223,NA,3.5,1.3,4.442873696,NA,NA
2543499,Derek Carr,OAK,QB,25,2,10,15.41510714,13.637,17.4492,2.561518509,12,0.220464286,3,3.8122,NA,9.7,3.1,8.335158724,NA,NA
2555259,Carson Wentz,PHI,QB,24,0,4,15.38214286,14.3528,16.145,1.018889428,13,0.689178571,4,1.7922,NA,16.4,3.2,6.389259507,NA,NA
2508061,Antonio Brown,PIT,WR,28,6,8,15.277,14.1484,16.5586,1.206769211,1,2.7575,1,2.4102,NA,1.1,0.3,3.275996608,NA,NA
2552466,Marcus Mariota,TEN,QB,23,1,13,15.00714286,14.5252,16.34,0.835494607,14,0.660285714,4,1.8148,NA,13.3,3,5.857378731,NA,NA
2533034,Lamar Miller,HOU,RB,25,4,9,14.85625,12.328,17.948,2.865715755,5,0.709910714,2,5.62,NA,6.2,2.1,6.884311385,NA,NA
2555418,Jordan Howard,CHI,RB,22,0,9,14.4075,12.173,17.9,2.93731656,6,0.647142857,2,5.727,NA,9.2,2.5,7.153888464,NA,NA
2533031,Andrew Luck,IND,QB,27,4,10,14.37878571,12.399,16.182,1.774149937,15,0.117553571,4,3.783,NA,NA,NA,8.293272075,NA,NA
310,Matt Ryan,ATL,QB,31,8,11,14.31492857,13.0936,16.0946,1.340766945,16,0.184803571,4,3.001,NA,18.1,4.1,8.101440374,NA,NA
2495143,Andy Dalton,CIN,QB,29,5,9,14.20753571,11.867,15.7452,1.998615789,17,0.167821429,4,3.8782,NA,19.3,3.5,8.140707551,NA,NA
81294,Brian Hoyer,CHI,QB,31,7,9,14.05271429,11.468,16.524,2.525515421,18,0.113928571,4,5.056,NA,15.5,3.1,8.28643342,NA,NA
2555260,Dak Prescott,DAL,QB,23,0,7,14.02671429,11.9972,15.6688,1.566213891,19,0.319964286,5,3.6716,NA,15.6,4.1,8.406552288,NA,NA
2552475,Todd Gurley,LA,RB,22,1,8,13.88517857,10.973,16.005,2.246520723,7,0.752142857,3,5.032,NA,7.4,2.9,6.302871203,NA,NA
2533436,Brock Osweiler,HOU,QB,26,4,9,13.85085714,12.954,15.4456,1.674043408,20,0.403107143,5,2.4916,NA,22.8,3.9,8.268804221,NA,NA
2555224,Ezekiel Elliott,DAL,RB,21,0,7,13.63553571,11.364,14.954,2.509185625,8,1.026785714,3,3.59,NA,6.9,2.4,6.48352428,NA,NA
2553457,Trevor Siemian,DEN,QB,NA,NA,11,13.56264286,12.4662,15.1322,2.181069462,21,0.2415,5,2.666,NA,NA,NA,9.39469303,NA,NA
2532956,Ryan Tannehill,MIA,QB,28,4,8,13.33285714,11.5724,14.644,1.818143166,22,0.109232143,5,3.0716,NA,23.9,3.3,7.612781575,NA,NA
2506121,Philip Rivers,SD,QB,35,12,11,13.30942857,9.726,16.21,3.183704282,23,0.209714286,5,6.484,NA,20.6,3.8,10.17008543,NA,NA
2532820,Kirk Cousins,WAS,QB,28,4,9,13.13782143,12.067,14.2382,1.024012242,24,0.150589286,5,2.1712,NA,21.7,3.5,6.821713619,NA,NA
2505996,Eli Manning,NYG,QB,35,12,8,13.06160714,12.3216,14.794,1.067099908,25,0.459964286,5,2.4724,NA,18.3,3.9,7.447388378,NA,NA
1032,Jordy Nelson,GB,WR,31,8,4,12.929,11.642,14.0288,1.043969348,2,0.8265,2,2.3868,NA,6.6,3.6,4.09964627,NA,NA
2506581,Ryan Fitzpatrick,NYJ,QB,34,11,11,12.91285714,11.056,15.8224,2.230729157,26,0.740785714,5,4.7664,NA,26.4,2.3,6.752757254,NA,NA
100026,Cardinals,ARI,DST,NA,NA,9,12.80833333,10.86333333,14.3,1.89392303,1,1.223333333,1,3.436666667,NA,1.8,1.6,1.525360266,NA,NA
2540269,C.J. Anderson,DEN,RB,25,3,11,12.63053571,10.525,14.76,2.102494692,9,0.139732143,3,4.235,NA,9.7,2.9,6.091177256,NA,NA
2539322,Christine Michael,SEA,RB,26,3,5,12.58696429,9.367,14.881,2.310175859,10,0.296071429,3,5.514,NA,9,2.9,6.396433506,NA,NA
2543743,Carlos Hyde,SF,RB,25,2,8,12.39464286,11.459,14.188,1.194340822,11,0.486071429,3,2.729,NA,11.2,2.9,4.756344402,NA,NA
382,Joe Flacco,BAL,QB,31,8,8,12.29042857,11.0318,13.6604,1.215167028,27,0.783642857,6,2.6286,NA,24.1,2.9,6.229373582,NA,NA
2552469,Melvin Gordon,SD,RB,23,1,11,12.18714286,9.622,14.34,1.999948809,12,0.652767857,3,4.718,NA,14.7,3.7,6.269124091,NA,NA
2543509,Allen Robinson,JAC,WR,23,2,5,12.11,9.877,12.953,2.115595154,3,0.109583333,2,3.076,NA,3.8,2.6,5.112034379,NA,NA
2540165,DeAndre Hopkins,HOU,WR,24,3,9,12.095,10.726,13.645,1.461672232,4,0.291404762,2,2.919,NA,9.4,4.1,4.770529032,NA,NA
2495186,Colin Kaepernick,SF,QB,29,5,8,12.05371429,9.932,14.0216,1.989259111,28,2.03402381,6,4.0896,NA,26.5,2.4,6.567800603,NA,NA
2543496,Odell Beckham,NYG,WR,24,2,8,11.90583333,10.868,13.587,1.298021388,5,0.20622619,2,2.719,NA,4.5,2.7,4.133821585,NA,NA
100012,Titans,TEN,DST,NA,NA,13,11.83,10.15,14.39,2.504396135,2,0.675,1,4.24,NA,8.3,3.6,6.497672517,NA,NA
2495450,A.J. Green,CIN,WR,28,5,9,11.70135714,8.31,14.4918,2.572812566,6,0.057428571,2,6.1818,NA,NA,NA,9.386775738,NA,NA
2495454,Julio Jones,ATL,WR,27,5,11,11.69785714,9.231,13.694,1.918429417,7,0.274107143,3,4.463,NA,NA,NA,7.771156481,NA,NA
2495466,Mark Ingram,NO,RB,27,5,5,11.63,8.4,13.378,2.196458188,13,0.374196429,4,4.978,NA,NA,NA,9.584188726,NA,NA
2506106,Larry Fitzgerald,ARI,WR,33,12,9,11.59,10.614,12.937,1.079632874,8,0.395964286,3,2.323,NA,11.2,4.5,4.423113146,NA,NA
497149,LeGarrette Blount,NE,RB,30,6,9,11.43875,7.831,12.931,2.417516066,14,0.427678571,4,5.1,NA,NA,NA,10.23402424,NA,NA
100003,Bills,BUF,DST,NA,NA,10,11.34,6.59,12.59,3.053195048,3,0.485,2,6,NA,3,2.6,5.538505799,NA,NA
2495893,Brandon Marshall,NYJ,WR,32,10,11,11.2575,8.497,14.02,2.695688356,9,0.128880952,3,5.523,NA,NA,NA,9.690146162,NA,NA
2530747,Doug Baldwin,SEA,WR,28,5,5,11.13057143,8.132,12.846,2.559034044,10,0.03264881,3,4.714,NA,14.5,3.9,6.063079817,NA,NA
2532884,Marvin Jones,DET,WR,26,4,10,11.12666667,9.4195,13.2765,1.83579683,11,0.062202381,3,3.857,NA,12.4,4.1,5.232370773,NA,NA
2550189,Isaiah Crowell,CLE,RB,23,2,13,11.07285714,8.579,12.53,2.294210104,15,0.160714286,4,3.951,NA,20.1,4.1,6.865974495,NA,NA
2532865,T.Y. Hilton,IND,WR,27,4,10,11.06917857,8.4128,12.7092,2.470439854,12,0.069767857,3,4.2964,NA,NA,NA,9.134025762,NA,NA
497322,Emmanuel Sanders,DEN,WR,29,6,11,11.05975,9.842,13.1362,1.412406963,13,0.126714286,3,3.2942,NA,16.5,4.4,4.802860273,NA,NA
100025,Eagles,PHI,DST,NA,NA,4,10.97,6.63,11.31,2.413089306,4,0.355,2,4.68,NA,7.8,3,5.170177209,NA,NA
2532888,Case Keenum,LA,QB,28,4,8,10.95985714,10.2884,12.0008,0.834600874,29,5.750195238,7,1.7124,NA,28.3,2,4.437765592,NA,NA
234,Matt Forte,NYJ,RB,31,8,11,10.94928571,9.166,12.551,2.098746224,16,0.112142857,4,3.385,NA,NA,NA,9.296948549,NA,NA
2495700,Greg Olsen,CAR,TE,31,9,7,10.94732143,8.847,12.268,1.837960341,1,1.666785714,1,3.421,NA,1.3,0.6,4.629379681,NA,NA
2543471,Kelvin Benjamin,CAR,WR,25,2,7,10.93907143,7.708,12.992,2.644185157,14,0.032625,3,5.284,NA,NA,NA,9.562988913,NA,NA
497328,Demaryius Thomas,DEN,WR,29,6,11,10.927,9.515,12.9906,1.554018914,15,0.148625,3,3.4756,NA,14.8,4.2,4.915576367,NA,NA
2552487,Amari Cooper,OAK,WR,22,1,10,10.88589286,8.1875,13.0855,3.033730318,16,0.287464286,3,4.898,NA,15.3,4.1,6.711171393,NA,NA
925,Jamaal Charles,KC,RB,30,8,5,10.875,8.12,13.102,2.642238184,17,0.113214286,4,4.982,NA,19.3,6.2,8.240280929,NA,NA
2543583,Devonta Freeman,ATL,RB,24,2,11,10.79928571,8.627,12.896,2.308481515,18,0.186428571,4,4.269,NA,15.1,3.3,6.558279091,NA,NA
100027,Steelers,PIT,DST,NA,NA,8,10.74,9.06,11.11,1.236122971,5,1.34,2,2.05,NA,5.8,2.7,2.483676501,NA,NA
2540168,Eddie Lacy,GB,RB,25,3,4,10.72428571,7.972,12.924,2.360464038,19,0.376428571,4,4.952,NA,NA,NA,10.06631054,NA,NA
80429,Jeremy Maclin,KC,WR,28,7,5,10.67085714,8.018,12.4192,2.372574049,17,0.155785714,3,4.4012,NA,17.3,4.5,6.019196928,NA,NA
2506194,Nick Novak,HOU,K,NA,NA,9,10.55440252,8.965408805,12.49716981,1.671805617,1,0.337793745,1,3.531761006,NA,15.7,5.1,7.062388337,NA,NA
2555346,Will Fuller,HOU,WR,22,0,9,10.526,6.448,12.868,3.315098792,18,0.028785714,3,6.42,NA,NA,NA,11.21942061,NA,NA
2543488,Jarvis Landry,MIA,WR,24,2,8,10.50414286,8.1952,13.8818,2.469789561,19,0.059833333,3,5.6866,NA,18.7,4.5,6.13920556,NA,NA
2506404,Frank Gore,IND,RB,33,11,10,10.50142857,8.4,11.766,1.552632174,20,0.791785714,4,3.366,NA,NA,NA,7.691557654,NA,NA
2543498,Brandin Cooks,NO,WR,23,2,5,10.49028571,7.4996,12.4144,2.706723903,20,0.162619048,3,4.9148,NA,12.9,5.3,6.680084071,NA,NA
100021,Patriots,NE,DST,NA,NA,9,10.49,7.89,10.55,1.357203006,6,2.37,2,2.66,NA,5,2.5,2.312083424,NA,NA
2543500,Jordan Matthews,PHI,WR,24,2,4,10.39833333,7.825,12.2905,2.210311872,21,0.300547619,3,4.4655,NA,23.7,4.7,5.880988962,NA,NA
