playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2495455,Cam Newton,CAR,QB,27,5,7,23.3,23.3,23.3,NA,1,1.4,1,0,NA,NA,NA,NA,NA,NA
2506121,Philip Rivers,SD,QB,35,12,11,23,23,23,NA,2,2.5,1,0,NA,3.5,1.8,1.907214139,NA,NA
79860,Matthew Stafford,DET,QB,28,7,10,20.8,20.8,20.8,NA,3,0.8,0,0,NA,4.2,1.9,2.166748616,NA,NA
2506340,Alex Smith,KC,QB,32,11,5,20.2,20.2,20.2,NA,4,0.8,0,0,NA,18.1,3.7,6.838369218,NA,NA
2543499,Derek Carr,OAK,QB,25,2,10,19.8,19.8,19.8,NA,5,1.05,0,0,NA,12.1,2.8,4.502558917,NA,NA
310,Matt Ryan,ATL,QB,31,8,11,19,19,19,NA,6,0.55,0,0,NA,NA,NA,NA,NA,NA
2508061,Antonio Brown,PIT,WR,28,6,8,18.5,18.5,18.5,NA,1,2,1,0,NA,1.2,0.6,0.121159512,NA,NA
2533031,Andrew Luck,IND,QB,27,4,10,18.5,18.5,18.5,NA,7,0.45,0,0,NA,NA,NA,NA,NA,NA
2532820,Kirk Cousins,WAS,QB,28,4,9,18.4,18.4,18.4,NA,8,0.8,0,0,NA,7.5,3.9,7.357438174,NA,NA
2540175,LeVeon Bell,PIT,RB,24,3,8,18,18,18,NA,1,0.25,1,0,NA,2.6,1.5,2.186990516,NA,NA
2552469,Melvin Gordon,SD,RB,23,1,11,18,18,18,NA,1,0.75,0,0,NA,3.9,1.7,2.368368619,NA,NA
2543477,Blake Bortles,JAC,QB,25,2,5,17.7,17.7,17.7,NA,9,0.55,0,0,NA,9.2,2.8,4.502558917,NA,NA
2495143,Andy Dalton,CIN,QB,29,5,9,17.5,17.5,17.5,NA,10,1,0,0,NA,10.8,3,5.021627873,NA,NA
2553435,David Johnson,ARI,RB,25,1,9,17.5,17.5,17.5,NA,3,0.5,1,0,NA,1.4,0.9,1.642856208,NA,NA
2495207,DeMarco Murray,TEN,RB,28,5,13,17,17,17,NA,4,0,0,0,NA,8.8,2.8,3.365948184,NA,NA
2495450,A.J. Green,CIN,WR,28,5,9,17,17,17,NA,2,1,1,0,NA,2.7,1.4,0.736624278,NA,NA
2533034,Lamar Miller,HOU,RB,25,4,9,17,17,17,NA,4,0.5,0,0,NA,5.4,2.1,2.731124824,NA,NA
2555224,Ezekiel Elliott,DAL,RB,21,0,7,17,17,17,NA,4,1.5,1,0,NA,4,1.8,2.45905767,NA,NA
2506109,Ben Roethlisberger,PIT,QB,34,12,8,16.8,16.8,16.8,NA,11,0.6,0,0,NA,7.2,2.4,3.464421006,NA,NA
2506581,Ryan Fitzpatrick,NYJ,QB,34,11,11,16.2,16.2,16.2,NA,12,0,0,0,NA,24.5,3.8,7.097903696,NA,NA
2533436,Brock Osweiler,HOU,QB,26,4,9,16.2,16.2,16.2,NA,12,0.05,0,0,NA,20.3,3.3,5.800231307,NA,NA
2553457,Trevor Siemian,DEN,QB,NA,NA,11,16.2,16.2,16.2,NA,12,0.15,0,0,NA,16.8,3.5,6.319300263,NA,NA
382,Joe Flacco,BAL,QB,31,8,8,16.1,16.1,16.1,NA,15,0.2,0,0,NA,11.6,2.4,3.464421006,NA,NA
79607,LeSean McCoy,BUF,RB,28,7,10,16,16,16,NA,7,1,0,0,NA,10.4,2.4,3.003191978,NA,NA
2495454,Julio Jones,ATL,WR,27,5,11,16,16,16,NA,3,0,1,0,NA,NA,NA,NA,NA,NA
2505245,Carson Palmer,ARI,QB,37,13,9,16,16,16,NA,16,0.2,0,0,NA,8.8,2.8,4.502558917,NA,NA
2532884,Marvin Jones,DET,WR,26,4,10,16,16,16,NA,3,0,1,0,NA,NA,NA,NA,NA,NA
2540165,DeAndre Hopkins,HOU,WR,24,3,9,16,16,16,NA,3,0.25,1,0,NA,4.5,2.1,1.275155948,NA,NA
2543509,Allen Robinson,JAC,WR,23,2,5,16,16,16,NA,3,0.75,1,0,NA,4.8,2.7,1.736754522,NA,NA
2504775,Drew Brees,NO,QB,37,15,5,15.8,15.8,15.8,NA,17,0.85,0,0,NA,3.8,2,2.426283094,NA,NA
2505996,Eli Manning,NYG,QB,35,12,8,15.8,15.8,15.8,NA,17,1.95,0,0,NA,17.3,3.3,5.800231307,NA,NA
2532865,T.Y. Hilton,IND,WR,27,4,10,15.5,15.5,15.5,NA,7,0.5,1,0,NA,NA,NA,NA,NA,NA
1581,DeSean Jackson,WAS,WR,30,8,9,15,15,15,NA,8,0.25,0,0,NA,NA,NA,NA,NA,NA
497149,LeGarrette Blount,NE,RB,30,6,9,15,15,15,NA,8,0,0,0,NA,9.6,3.4,3.910082492,NA,NA
2540204,Spencer Ware,KC,RB,25,3,5,15,15,15,NA,8,0,0,0,NA,19.8,4.9,5.270418262,NA,NA
