playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2504211,Tom Brady,NE,QB,38,15,4,19.432,19.432,19.432,NA,1,2.163,1,0,NA,1.2,0.6,0.481050989,NA,NA
2506363,Aaron Rodgers,GB,QB,32,10,7,17.476,17.476,17.476,NA,2,0.657,1,0,NA,4.3,1.9,3.879599419,NA,NA
2543499,Derek Carr,OAK,QB,24,1,6,17.062,17.062,17.062,NA,3,0.671,1,0,NA,3.6,1.5,2.833892209,NA,NA
2543583,Devonta Freeman,ATL,RB,23,1,10,16.99,16.99,16.99,NA,1,2.085,1,0,NA,1.6,1,1.208824305,NA,NA
2505245,Carson Palmer,ARI,QB,36,12,9,16.576,16.576,16.576,NA,4,0.413,0,0,NA,4.6,1.4,2.572465407,NA,NA
310,Matt Ryan,ATL,QB,30,7,10,16.206,16.206,16.206,NA,5,0.164,0,0,NA,8,2.4,5.18673343,NA,NA
79860,Matthew Stafford,DET,QB,27,6,9,16.12,16.12,16.12,NA,6,0.36,0,0,NA,10.7,2.6,5.709587035,NA,NA
2543477,Blake Bortles,JAC,QB,24,1,8,15.964,15.964,15.964,NA,7,0.58,0,0,NA,8,2.2,4.663879826,NA,NA
2495143,Andy Dalton,CIN,QB,28,4,7,15.556,15.556,15.556,NA,8,0.515,0,0,NA,11,2.7,5.971013837,NA,NA
2506121,Philip Rivers,SD,QB,34,11,10,15.212,15.212,15.212,NA,9,0.724,0,0,NA,6.8,2.8,6.232440639,NA,NA
2507164,Adrian Peterson,MIN,RB,30,8,5,15.03,15.03,15.03,NA,2,0.65,1,0,NA,2.1,0.9,0.925900746,NA,NA
2505354,Tony Romo,DAL,QB,35,12,6,14.87,14.87,14.87,NA,10,0.845,0,0,NA,NA,NA,NA,NA,NA
2550268,Charcandrick West,KC,RB,24,1,9,14.78,14.78,14.78,NA,3,1.155,1,0,NA,4.2,2.2,4.603907017,NA,NA
382,Joe Flacco,BAL,QB,30,7,9,14.106,14.106,14.106,NA,11,0.374,0,0,NA,19.9,3,6.755294244,NA,NA
2552475,Todd Gurley,STL,RB,21,0,6,13.98,13.98,13.98,NA,4,1.035,1,0,NA,3.3,1.4,2.340518542,NA,NA
79858,Mark Sanchez,PHI,QB,29,6,8,13.944,13.944,13.944,NA,12,0.609,0,0,NA,17.2,3.6,8.323855058,NA,NA
2532956,Ryan Tannehill,MIA,QB,27,3,5,13.52,13.52,13.52,NA,13,0.937,0,0,NA,16.7,2.7,5.971013837,NA,NA
2495207,DeMarco Murray,PHI,RB,27,4,8,13.27,13.27,13.27,NA,5,0.735,0,0,NA,7.2,2.6,5.735601254,NA,NA
2501078,Matt Hasselbeck,IND,QB,40,17,10,13.15,13.15,13.15,NA,14,1.134,0,0,NA,21.6,2.8,6.232440639,NA,NA
2495454,Julio Jones,ATL,WR,26,4,10,13.1,13.1,13.1,NA,1,1.105,1,0,NA,1.3,1.2,1.240537028,NA,NA
2495663,Marshawn Lynch,SEA,RB,29,8,9,12.62,12.62,12.62,NA,6,0.305,0,0,NA,6.6,2.4,5.169754136,NA,NA
284,Darren McFadden,DAL,RB,28,7,6,12.45,12.45,12.45,NA,7,0.35,0,0,NA,8.6,2.9,6.584371932,NA,NA
2507999,Chris Ivory,NYJ,RB,27,5,5,12.18,12.18,12.18,NA,8,0.28,0,0,NA,8.4,2.4,5.169754136,NA,NA
949,Jonathan Stewart,CAR,RB,28,7,5,12.02,12.02,12.02,NA,9,0.395,0,0,NA,11.3,3.2,7.43314261,NA,NA
2533436,Brock Osweiler,DEN,QB,25,3,7,12.016,12.016,12.016,NA,15,NA,0,0,NA,22.1,2.4,5.18673343,NA,NA
497278,Dez Bryant,DAL,WR,27,5,6,12.01,12.01,12.01,NA,2,0.295,1,0,NA,3.2,2.1,3.04027994,NA,NA
2543468,Mike Evans,TB,WR,22,1,6,11.98,11.98,11.98,NA,3,0.575,1,0,NA,5.2,3.3,5.439937156,NA,NA
79607,LeSean McCoy,BUF,RB,27,6,8,11.78,11.78,11.78,NA,10,0.445,0,0,NA,12,2.7,6.018524814,NA,NA
2533034,Lamar Miller,MIA,RB,24,3,5,11.47,11.47,11.47,NA,11,0.59,0,0,NA,7.4,2.4,5.169754136,NA,NA
2543509,Allen Robinson,JAC,WR,22,1,8,11.45,11.45,11.45,NA,4,0.23,1,0,NA,5.8,2,2.840308505,NA,NA
2540165,DeAndre Hopkins,HOU,WR,23,2,9,11.36,11.36,11.36,NA,5,0.36,0,0,NA,4.7,2.9,4.640051418,NA,NA
497240,Rob Gronkowski,NE,TE,26,5,4,11.27,11.27,11.27,NA,1,2.33,1,0,NA,1,0.2,0.488698271,NA,NA
2541161,Latavius Murray,OAK,RB,25,2,6,11.2,11.2,11.2,NA,12,0.805,0,0,NA,11.1,2.5,5.452677695,NA,NA
2506106,Larry Fitzgerald,ARI,WR,32,11,9,11.08,11.08,11.08,NA,6,0.28,0,0,NA,7.9,3.2,5.239965722,NA,NA
2495647,Calvin Johnson,DET,WR,30,8,9,10.92,10.92,10.92,NA,7,0.275,0,0,NA,4.8,2.3,3.440222809,NA,NA
497328,Demaryius Thomas,DEN,WR,28,5,7,10.68,10.68,10.68,NA,8,0.14,0,0,NA,9.1,3.6,6.03985146,NA,NA
2552487,Amari Cooper,OAK,WR,21,0,6,10.61,10.61,10.61,NA,9,0.435,0,0,NA,8,2.8,4.440079983,NA,NA
497149,LeGarrette Blount,NE,RB,29,5,4,10.56,10.56,10.56,NA,13,0.96,0,0,NA,12,3.2,7.43314261,NA,NA
2495450,A.J. Green,CIN,WR,27,4,7,10.47,10.47,10.47,NA,10,0.63,0,0,NA,11.4,4.9,8.639480111,NA,NA
