playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
310,Matt Ryan,ATL,QB,31,8,11,20.452,20.452,20.452,NA,1,2.708,1,0,NA,1.6,0.8,1.241114711,NA,NA
2540175,LeVeon Bell,PIT,RB,24,3,8,19.71,19.71,19.71,NA,1,0.915,1,0,NA,2.1,1,1.497403591,NA,NA
2553435,David Johnson,ARI,RB,25,1,9,19.54,19.54,19.54,NA,2,2.03,1,0,NA,1.3,0.6,1.134507386,NA,NA
79607,LeSean McCoy,BUF,RB,28,7,10,18.05,18.05,18.05,NA,3,1.93,0,0,NA,3.2,1.2,1.678851694,NA,NA
2495240,Tyrod Taylor,BUF,QB,27,5,10,17.814,17.814,17.814,NA,2,0.298,1,0,NA,NA,NA,NA,NA,NA
2506363,Aaron Rodgers,GB,QB,33,11,4,17.674,17.674,17.674,NA,3,0.341,1,0,NA,NA,NA,NA,NA,NA
2532975,Russell Wilson,SEA,QB,28,4,5,17.358,17.358,17.358,NA,4,0.191,1,0,NA,5.9,3.8,6.920006155,NA,NA
2532820,Kirk Cousins,WAS,QB,28,4,9,17.308,17.308,17.308,NA,5,0.425,0,0,NA,2.8,1.8,3.134078525,NA,NA
2495455,Cam Newton,CAR,QB,27,5,7,17.026,17.026,17.026,NA,6,0.389,0,0,NA,NA,NA,NA,NA,NA
2555224,Ezekiel Elliott,DAL,RB,21,0,7,16.97,16.97,16.97,NA,4,2.035,0,0,NA,3.8,0.8,1.315955489,NA,NA
2504775,Drew Brees,NO,QB,37,15,5,16.74,16.74,16.74,NA,7,0.262,0,0,NA,NA,NA,NA,NA,NA
2543499,Derek Carr,OAK,QB,25,2,10,16.534,16.534,16.534,NA,8,0.371,0,0,NA,NA,NA,NA,NA,NA
2495186,Colin Kaepernick,SF,QB,29,5,8,16.422,16.422,16.422,NA,9,0.724,0,0,NA,NA,NA,NA,NA,NA
2506121,Philip Rivers,SD,QB,35,12,11,15.904,15.904,15.904,NA,10,0.472,0,0,NA,10.7,4,7.298598918,NA,NA
2552033,Jameis Winston,TB,QB,22,1,6,15.492,15.492,15.492,NA,11,0.173,0,0,NA,13.2,3.4,6.162820629,NA,NA
2506340,Alex Smith,KC,QB,32,11,5,15.372,15.372,15.372,NA,12,0.111,0,0,NA,20.4,2.8,5.02704234,NA,NA
2543583,Devonta Freeman,ATL,RB,24,2,11,15.27,15.27,15.27,NA,5,1.595,0,0,NA,6.3,1.8,2.223196002,NA,NA
2505245,Carson Palmer,ARI,QB,37,13,9,15.266,15.266,15.266,NA,13,0.04,0,0,NA,NA,NA,NA,NA,NA
2504211,Tom Brady,NE,QB,39,16,9,15.256,15.256,15.256,NA,14,0.169,0,0,NA,8.8,3.4,6.162820629,NA,NA
2555260,Dak Prescott,DAL,QB,23,0,7,15.196,15.196,15.196,NA,15,0.308,0,0,NA,14.5,3.7,6.730709774,NA,NA
497095,Sam Bradford,MIN,QB,29,6,6,14.978,14.978,14.978,NA,16,0.221,0,0,NA,NA,NA,NA,NA,NA
79860,Matthew Stafford,DET,QB,28,7,10,14.798,14.798,14.798,NA,17,0.126,0,0,NA,19.9,3.1,5.594931485,NA,NA
2533031,Andrew Luck,IND,QB,27,4,10,14.716,14.716,14.716,NA,18,0.194,0,0,NA,10.6,3.2,5.784227866,NA,NA
2506109,Ben Roethlisberger,PIT,QB,34,12,8,14.628,14.628,14.628,NA,19,0.464,0,0,NA,NA,NA,NA,NA,NA
2495207,DeMarco Murray,TEN,RB,28,5,13,14.6,14.6,14.6,NA,6,1.995,0,0,NA,6.1,2.1,2.495368156,NA,NA
2495143,Andy Dalton,CIN,QB,29,5,9,14.416,14.416,14.416,NA,20,0.564,0,0,NA,20,3.1,5.594931485,NA,NA
2505996,Eli Manning,NYG,QB,35,12,8,13.912,13.912,13.912,NA,21,0.167,0,0,NA,19.1,3.2,5.784227866,NA,NA
382,Joe Flacco,BAL,QB,31,8,8,13.792,13.792,13.792,NA,22,0.862,0,0,NA,16.7,4,7.298598918,NA,NA
2552466,Marcus Mariota,TEN,QB,23,1,13,13.698,13.698,13.698,NA,23,1.731,0,0,NA,15.4,4.5,8.245080825,NA,NA
2508061,Antonio Brown,PIT,WR,28,6,8,13.4,13.4,13.4,NA,1,0.57,1,0,NA,1.6,1.3,1.516846446,NA,NA
2543468,Mike Evans,TB,WR,23,2,6,12.93,12.93,12.93,NA,2,1.035,1,0,NA,2.9,1.2,1.463707329,NA,NA
2553733,Thomas Rawls,SEA,RB,23,1,5,12.75,12.75,12.75,NA,7,0.32,0,0,NA,9.2,2.7,3.039712463,NA,NA
2543496,Odell Beckham,NYG,WR,24,2,8,12.73,12.73,12.73,NA,3,1.675,1,0,NA,2,0.8,1.251150864,NA,NA
2555418,Jordan Howard,CHI,RB,22,0,9,12.46,12.46,12.46,NA,8,0.065,0,0,NA,11.2,3.1,3.402608668,NA,NA
2533034,Lamar Miller,HOU,RB,25,4,9,12.4,12.4,12.4,NA,9,0.025,0,0,NA,NA,NA,NA,NA,NA
2543743,Carlos Hyde,SF,RB,25,2,8,12.39,12.39,12.39,NA,10,0.105,0,0,NA,9.3,3.1,3.402608668,NA,NA
2543603,Jeremy Hill,CIN,RB,24,2,9,12.36,12.36,12.36,NA,11,0.165,0,0,NA,15,3.8,4.037677027,NA,NA
2540204,Spencer Ware,KC,RB,25,3,5,12.21,12.21,12.21,NA,12,0.24,0,0,NA,13.9,3.5,3.765504874,NA,NA
2541161,Latavius Murray,OAK,RB,26,3,10,12.18,12.18,12.18,NA,13,0.61,0,0,NA,8.6,3.2,3.49333272,NA,NA
2553457,Trevor Siemian,DEN,QB,NA,NA,11,12.162,12.162,12.162,NA,24,0.454,0,0,NA,NA,NA,NA,NA,NA
2507282,Matt Moore,MIA,QB,32,9,8,11.772,11.772,11.772,NA,25,0.185,0,0,NA,27.4,1.9,3.323374907,NA,NA
2552582,Jay Ajayi,MIA,RB,23,1,8,11.76,11.76,11.76,NA,14,0.65,0,0,NA,11.8,3.3,3.584056771,NA,NA
2533436,Brock Osweiler,HOU,QB,26,4,9,11.644,11.644,11.644,NA,26,0.177,0,0,NA,NA,NA,NA,NA,NA
2543477,Blake Bortles,JAC,QB,25,2,5,11.53,11.53,11.53,NA,27,0.16,0,0,NA,NA,NA,NA,NA,NA
2533033,Robert Griffin,CLE,QB,26,4,13,11.404,11.404,11.404,NA,28,0.695,0,0,NA,28.8,2.5,4.459153196,NA,NA
2552453,Tevin Coleman,ATL,RB,23,1,11,11.38,11.38,11.38,NA,15,0.63,0,0,NA,17.5,3.7,3.946952976,NA,NA
2555259,Carson Wentz,PHI,QB,24,0,4,11.336,11.336,11.336,NA,29,1.5,0,0,NA,27.7,2.5,4.459153196,NA,NA
1032,Jordy Nelson,GB,WR,31,8,4,11.06,11.06,11.06,NA,4,0.015,0,0,NA,5,2.5,2.154515841,NA,NA
2532865,T.Y. Hilton,IND,WR,27,4,10,11.05,11.05,11.05,NA,5,0.235,0,0,NA,NA,NA,NA,NA,NA
2506106,Larry Fitzgerald,ARI,WR,33,12,9,11.04,11.04,11.04,NA,6,0.585,0,0,NA,NA,NA,NA,NA,NA
497149,LeGarrette Blount,NE,RB,30,6,9,10.84,10.84,10.84,NA,16,0.64,0,0,NA,12.3,3.8,4.037677027,NA,NA
2495328,Bilal Powell,NYJ,RB,28,5,11,10.66,10.66,10.66,NA,17,0.94,0,0,NA,17.8,6.4,6.396502361,NA,NA
2530747,Doug Baldwin,SEA,WR,28,5,5,10.59,10.59,10.59,NA,7,0.325,0,0,NA,10.7,4.3,3.111019935,NA,NA
71269,Michael Crabtree,OAK,WR,29,7,10,10.32,10.32,10.32,NA,8,0.185,0,0,NA,NA,NA,NA,NA,NA
2552487,Amari Cooper,OAK,WR,22,1,10,10.21,10.21,10.21,NA,9,0.175,0,0,NA,NA,NA,NA,NA,NA
2539308,Matt Barkley,CHI,QB,26,3,9,10.082,10.082,10.082,NA,30,1.723,0,0,NA,26.4,2.6,4.648449577,NA,NA
