playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2504211,Tom Brady,NE,QB,40,17,9,20.67,20.67,20.67,NA,1,1.291,1,0,NA,1.8,0.8,1.1866866,NA,NA
2506363,Aaron Rodgers,GB,QB,34,12,8,20.43,20.43,20.43,NA,2,2.484,1,0,NA,1.8,1,1.565313462,NA,NA
2555260,Dak Prescott,DAL,QB,24,1,6,18.328,18.328,18.328,NA,3,0.832,1,0,NA,7,2.8,4.972955224,NA,NA
2532975,Russell Wilson,SEA,QB,29,5,6,17.564,17.564,17.564,NA,4,0.539,0,0,NA,3.5,1.1,1.754626894,NA,NA
2543477,Blake Bortles,JAC,QB,26,3,8,17.428,17.428,17.428,NA,5,1.157,0,0,NA,24.5,2.4,4.215701499,NA,NA
2557917,Kareem Hunt,KC,RB,22,0,10,16.85,16.85,16.85,NA,1,2.09,1,0,NA,1.6,1,1.749704979,NA,NA
497095,Sam Bradford,MIN,QB,30,7,9,16.622,16.622,16.622,NA,6,0.8,0,0,NA,NA,NA,NA,NA,NA
2532888,Case Keenum,MIN,QB,29,5,9,15.92,15.92,15.92,NA,7,0.535,0,0,NA,25.4,2.3,4.026388068,NA,NA
2552466,Marcus Mariota,TEN,QB,24,2,8,15.724,15.724,15.724,NA,8,0.835,0,0,NA,9.2,3.3,5.91952238,NA,NA
2495240,Tyrod Taylor,BUF,QB,28,6,6,15.046,15.046,15.046,NA,9,0.32,0,0,NA,16.8,4,7.244716399,NA,NA
2540175,LeVeon Bell,PIT,RB,25,4,9,14.92,14.92,14.92,NA,2,0.645,1,0,NA,3.8,1.8,2.305529385,NA,NA
79860,Matthew Stafford,DET,QB,29,8,7,14.732,14.732,14.732,NA,10,0.351,0,0,NA,13,3.6,6.487462674,NA,NA
2555259,Carson Wentz,PHI,QB,25,1,10,14.72,14.72,14.72,NA,11,0.718,0,0,NA,13.8,3.5,6.298149243,NA,NA
2555224,Ezekiel Elliott,DAL,RB,22,1,6,14.6,14.6,14.6,NA,3,0.905,1,0,NA,2.2,1.2,1.88866108,NA,NA
2506340,Alex Smith,KC,QB,33,12,10,14.042,14.042,14.042,NA,12,0.187,0,0,NA,15.8,4.6,8.380596986,NA,NA
2506121,Philip Rivers,LAC,QB,36,13,9,13.962,13.962,13.962,NA,13,0.264,0,0,NA,9.3,2.6,4.594328362,NA,NA
2552475,Todd Gurley,LAR,RB,23,2,8,13.95,13.95,13.95,NA,4,0.6,0,0,NA,5,1.7,2.236051334,NA,NA
2506109,Ben Roethlisberger,PIT,QB,35,13,9,13.748,13.748,13.748,NA,14,0.258,0,0,NA,19.6,3.5,6.298149243,NA,NA
2543499,Derek Carr,OAK,QB,26,3,10,13.648,13.648,13.648,NA,15,0.513,0,0,NA,23.1,3.4,6.108835811,NA,NA
79607,LeSean McCoy,BUF,RB,29,8,6,13.44,13.44,13.44,NA,5,0.355,0,0,NA,6.5,2.5,2.791875741,NA,NA
2505245,Carson Palmer,ARI,QB,38,14,8,13.332,13.332,13.332,NA,16,0.537,0,0,NA,9.4,3.6,6.487462674,NA,NA
2555418,Jordan Howard,CHI,RB,23,1,9,13.26,13.26,13.26,NA,6,0.63,0,0,NA,14.4,3.1,3.208744046,NA,NA
