playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2532975,Russell Wilson,SEA,QB,29,5,6,23.436,23.436,23.436,NA,1,1.63,1,0,NA,2.1,0.8,1.468649825,NA,NA
2495455,Cam Newton,CAR,QB,28,6,11,23.268,23.268,23.268,NA,2,3.01,1,0,NA,1.6,1.1,2.320181073,NA,NA
2540175,LeVeon Bell,PIT,RB,25,4,9,20.39,20.39,20.39,NA,1,3.985,1,0,NA,1.1,0.5,1.972023514,NA,NA
2506340,Alex Smith,KC,QB,33,12,10,20.344,20.344,20.344,NA,3,0.241,1,0,NA,6.9,3.1,7.997056059,NA,NA
2552033,Jameis Winston,TB,QB,23,2,1,20.172,20.172,20.172,NA,4,0.203,1,0,NA,15.2,3.2,8.280899808,NA,NA
2504211,Tom Brady,NE,QB,40,17,9,20.034,20.034,20.034,NA,5,0.132,0,0,NA,3.8,2.2,5.442462315,NA,NA
2532888,Case Keenum,MIN,QB,29,5,9,19.904,19.904,19.904,NA,6,0.057,0,0,NA,9.4,2.3,5.726306064,NA,NA
2504775,Drew Brees,NO,QB,38,16,5,19.9,19.9,19.9,NA,7,0.134,0,0,NA,5.3,2.7,6.861681062,NA,NA
2543477,Blake Bortles,JAC,QB,26,3,8,19.794,19.794,19.794,NA,8,0.097,0,0,NA,11,2.5,6.293993563,NA,NA
79860,Matthew Stafford,DET,QB,29,8,7,19.738,19.738,19.738,NA,9,0.172,0,0,NA,6.8,1.7,4.023243568,NA,NA
2506109,Ben Roethlisberger,PIT,QB,35,13,9,19.656,19.656,19.656,NA,10,0.187,0,0,NA,6,2.6,6.577837312,NA,NA
2555334,Jared Goff,LAR,QB,23,1,8,19.476,19.476,19.476,NA,11,0.12,0,0,NA,12,2.1,5.158618566,NA,NA
2506121,Philip Rivers,LAC,QB,36,13,9,19.462,19.462,19.462,NA,12,0.382,0,0,NA,7.9,2.3,5.726306064,NA,NA
310,Matt Ryan,ATL,QB,32,9,5,19.25,19.25,19.25,NA,13,0.374,0,0,NA,14.3,2,4.874774816,NA,NA
382,Joe Flacco,BAL,QB,32,9,10,18.91,18.91,18.91,NA,14,0.661,0,0,NA,16.1,2.6,6.577837312,NA,NA
2532842,Nick Foles,PHI,QB,28,5,10,18.842,18.842,18.842,NA,15,2.012,0,0,NA,10.4,2.8,7.145524811,NA,NA
2555260,Dak Prescott,DAL,QB,24,1,6,17.656,17.656,17.656,NA,16,1.736,0,0,NA,10.1,2.6,6.577837312,NA,NA
2555224,Ezekiel Elliott,DAL,RB,22,1,6,16.53,16.53,16.53,NA,2,0.87,1,0,NA,3.5,2,2.940549277,NA,NA
2552475,Todd Gurley,LAR,RB,23,2,8,16.28,16.28,16.28,NA,3,1.34,0,0,NA,2.4,0.7,2.101160283,NA,NA
2557983,DeShone Kizer,CLE,QB,21,0,9,16.004,16.004,16.004,NA,17,0.251,0,0,NA,26.5,2.3,5.726306064,NA,NA
2552466,Marcus Mariota,TEN,QB,24,2,8,15.836,15.836,15.836,NA,18,0.364,0,0,NA,20,1.4,3.171712321,NA,NA
