"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,10.76,10.76,10.76,,8,0.295,0,47,,,
"A.J. Derby","TE","MIA",2552580,1991-09-20,0,0,0,,91,0,0,2,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,13.6025,13.6025,13.6025,,4,1.429125,0,6,,,
"AJ McCarron","QB","CIN",2543497,1990-09-13,0.373,0.373,0.373,,46,0.0158,0,3,,,
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,,161,0,0,1,,,
"Aaron Jones","RB","GB",2558116,1994-12-02,5.04375,5.04375,5.04375,,50,0.140375,0,0,,,
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,,65,0,0,3,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,1.07675,1.07675,1.07675,,87,0.0169999999999997,0,2,,,
"Aaron Rodgers","QB","GB",2506363,1983-12-02,0,0,0,,65,0,0,12,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,4.52575,4.52575,4.52575,,78,0.0463749999999994,0,2,,,
"Adam Shaheen","TE","CHI",2558144,1994-01-01,1.30325,1.30325,1.30325,,54,0.0926249999999997,0,0,,,
"Adam Thielen","WR","MIN",2541785,1990-08-22,11.8255,11.8255,11.8255,,6,0.22625,0,3,,,
"Adam Vinatieri","K","IND",2503471,1972-12-28,7.04,7.04,7.04,,21,0.0200000000000005,0,21,,,
"Adrian Peterson","RB","ARI",2507164,1985-03-21,8.45975,8.45975,8.45975,,33,0.142749999999999,0,10,,,
"Akeem Hunt","RB","KC",2553660,1993-02-22,0.989,0.989,0.989,,90,0.026625,0,2,,,
"Alan Cross","RB","TB",2556508,1993-05-02,0.96825,0.96825,0.96825,,91,0.0284999999999999,0,1,,,
"Albert Wilson","WR","KC",2550272,1992-07-12,6.256,6.256,6.256,,60,0.0566250000000004,0,3,,,
"Aldrick Robinson","WR","SF",2495331,1988-09-24,1.495,1.495,1.495,,119,0.0645000000000002,0,6,,,
"Aldrick Rosas","K","NYG",2556771,1994-12-30,6.91,6.91,6.91,,25,0.0299999999999994,0,1,,,
"Alex Collins","RB","BAL",2555430,1994-08-26,9.7785,9.7785,9.7785,,24,0.185999999999998,0,1,,,
"Alex Erickson","WR","CIN",2556519,1992-11-06,1.66675,1.66675,1.66675,,116,0.0992500000000001,0,1,,,
"Alex Smith","QB","KC",2506340,1984-05-07,18.8892,18.8892,18.8892,,1,0.455500000000001,1,12,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,2.33925,2.33925,2.33925,,73,0.37625,0,3,,,
