playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2532975,Russell Wilson,SEA,QB,29,5,6,18.4254,18.4254,18.4254,NA,1,0.5212,1,0,NA,2.4,1.3,2.719217142,NA,NA
310,Matt Ryan,ATL,QB,32,9,5,18.1022,18.1022,18.1022,NA,2,0.5449,1,0,NA,11.9,2.5,5,NA,NA
2506121,Philip Rivers,LAC,QB,36,13,9,17.7062,17.7062,17.7062,NA,3,0.369,1,0,NA,4.4,1.5,3.099347619,NA,NA
2504211,Tom Brady,NE,QB,40,17,9,17.4084,17.4084,17.4084,NA,4,0.2897,0,0,NA,1.2,0.5,1.198695237,NA,NA
2532820,Kirk Cousins,WAS,QB,29,5,5,17.266,17.266,17.266,NA,5,0.5702,0,0,NA,4.8,1.5,3.099347619,NA,NA
2552033,Jameis Winston,TB,QB,23,2,1,16.9714,16.9714,16.9714,NA,6,0.6019,0,0,NA,16.5,3.6,7.090717619,NA,NA
2540175,LeVeon Bell,PIT,RB,25,4,9,16.523,16.523,16.523,NA,1,0.6565,1,0,NA,1.2,0.6,2.206812424,NA,NA
2495240,Tyrod Taylor,BUF,QB,28,6,6,16.4202,16.4202,16.4202,NA,7,0.2237,0,0,NA,11,2.4,4.809934762,NA,NA
2504775,Drew Brees,NO,QB,38,16,5,16.3188,16.3188,16.3188,NA,8,0.27,0,0,NA,6.9,1.3,2.719217142,NA,NA
2558019,Alvin Kamara,NO,RB,21,0,5,16.182,16.182,16.182,NA,2,1.6045,1,0,NA,4.7,2.2,3.052206937,NA,NA
2552466,Marcus Mariota,TEN,QB,24,2,8,16.0742,16.0742,16.0742,NA,9,0.1435,0,0,NA,11.9,3.1,6.140391429,NA,NA
2555259,Carson Wentz,PHI,QB,25,1,10,16.0234,16.0234,16.0234,NA,10,0.2267,0,0,NA,3.7,1.9,3.859608571,NA,NA
2555260,Dak Prescott,DAL,QB,24,1,6,15.838,15.838,15.838,NA,11,0.165,0,0,NA,15.9,2.9,5.760260953,NA,NA
2506340,Alex Smith,KC,QB,33,12,10,15.7554,15.7554,15.7554,NA,12,0.3618,0,0,NA,16.3,3.7,7.280782858,NA,NA
2543499,Derek Carr,OAK,QB,26,3,10,15.5906,15.5906,15.5906,NA,13,0.7799,0,0,NA,17.7,3.6,7.090717619,NA,NA
2552475,Todd Gurley,LAR,RB,23,2,8,15.551,15.551,15.551,NA,3,2.079,0,0,NA,2.2,1,2.418161052,NA,NA
2495455,Cam Newton,CAR,QB,28,6,11,15.1966,15.1966,15.1966,NA,14,0.7922,0,0,NA,6,1.8,3.669543333,NA,NA
2543801,Jimmy Garoppolo,SF,QB,26,3,11,14.4248,14.4248,14.4248,NA,15,0.1441,0,0,NA,24.4,2.4,4.809934762,NA,NA
79860,Matthew Stafford,DET,QB,29,8,7,14.384,14.384,14.384,NA,16,0.3678,0,0,NA,17.1,3.2,6.330456667,NA,NA
2495454,Julio Jones,ATL,WR,28,6,5,14.291,14.291,14.291,NA,1,2.2245,1,0,NA,3.5,2.4,2.448700374,NA,NA
2543477,Blake Bortles,JAC,QB,26,3,8,14.1774,14.1774,14.1774,NA,17,0.3365,0,0,NA,18.8,3.1,6.140391429,NA,NA
2506109,Ben Roethlisberger,PIT,QB,35,13,9,13.855,13.855,13.855,NA,18,0.0816,0,0,NA,11.6,2.8,5.570195714,NA,NA
2553457,Trevor Siemian,DEN,QB,NA,NA,5,13.8268,13.8268,13.8268,NA,19,0.152,0,0,NA,23.7,2.6,5.190065238,NA,NA
2495143,Andy Dalton,CIN,QB,30,6,6,13.72,13.72,13.72,NA,20,0.0914,0,0,NA,23.4,2.4,4.809934762,NA,NA
2555334,Jared Goff,LAR,QB,23,1,8,13.6296,13.6296,13.6296,NA,21,0.0912,0,0,NA,8,1.8,3.669543333,NA,NA
2495441,Blaine Gabbert,ARI,QB,28,6,8,13.6276,13.6276,13.6276,NA,22,0.2944,0,0,NA,23.6,2.1,4.239739047,NA,NA
79607,LeSean McCoy,BUF,RB,29,8,6,13.604,13.604,13.604,NA,4,0.2835,0,0,NA,6.9,1.8,2.840858309,NA,NA
2505076,Josh McCown,NYJ,QB,38,15,11,13.4492,13.4492,13.4492,NA,23,0.4877,0,0,NA,15.1,3.8,7.470848096,NA,NA
2558138,Samaje Perine,WAS,RB,22,0,5,13.34,13.34,13.34,NA,5,0.09,0,0,NA,10.5,4,4.003275765,NA,NA
