"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,10,10,10,,1,0,-Inf,46,,,
"A.J. Derby","TE","DEN",2552580,1991-09-20,0,0,0,,1,0,-Inf,1,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,0,0,0,,1,0,-Inf,5,,,
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,1,0,-Inf,2,,,
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,,1,0,-Inf,0,,,
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,,1,0,-Inf,2,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,1,0,-Inf,1,,,
"Aaron Rodgers","QB","GB",2506363,1983-12-02,0,0,0,,1,0,-Inf,11,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,0,0,0,,1,0,-Inf,1,,,
"Adam Thielen","WR","MIN",2541785,1990-08-22,0,0,0,,1,0,-Inf,2,,,
"Adam Vinatieri","K","IND",2503471,1972-12-28,0,0,0,,1,0,-Inf,20,,,
"Adrian Peterson","RB","MIN",2507164,1985-03-21,0,0,0,,1,0,-Inf,9,,,
"Alan Cross","RB","TB",2556508,1993-05-02,0,0,0,,1,0,-Inf,0,,,
"Aldrick Robinson","WR","ATL",2495331,1988-09-24,0,0,0,,1,0,-Inf,5,,,
"Alex Erickson","WR","CIN",2556519,1992-11-06,0,0,0,,1,0,-Inf,0,,,
"Alex Smith","QB","KC",2506340,1984-05-07,0,0,0,,1,0,-Inf,11,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,0,0,0,,1,0,-Inf,2,,,
"Alfred Morris","RB","DAL",2533457,1988-12-12,0,0,0,,1,0,-Inf,4,,,
"Allen Hurns","WR","JAC",2550353,1991-11-21,0,0,0,,1,0,-Inf,2,,,
"Allen Robinson","WR","JAC",2543509,1993-08-24,0,0,0,,1,0,-Inf,2,,,
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,0,0,0,,1,0,-Inf,4,,,
"Amari Cooper","WR","OAK",2552487,1994-06-18,0,0,0,,1,0,-Inf,1,,,
"Ameer Abdullah","RB","DET",2552374,1993-06-13,0,0,0,,1,0,-Inf,1,,,
"Andre Caldwell","WR","DET",206,1985-04-15,0,0,0,,1,0,1,8,,,
"Andre Ellington","RB","ARI",2539217,1989-02-03,0,0,0,,1,0,-Inf,3,,,
"Andre Holmes","WR","OAK",2495453,1988-06-16,0,0,0,,1,0,-Inf,5,,,
"Andre Roberts","WR","DET",497320,1988-01-09,0,0,0,,1,0,-Inf,6,,,
