playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
310,Matt Ryan,ATL,QB,30,7,10,21.0076,21.0076,21.0076,NA,1,0.2686,1,0,NA,9.9,3.4,5.593457521,NA,NA
2504211,Tom Brady,NE,QB,38,15,4,20.8774,20.8774,20.8774,NA,2,0.5206,1,0,NA,3.2,1.8,3.251278506,NA,NA
2506581,Ryan Fitzpatrick,NYJ,QB,33,10,5,20.6006,20.6006,20.6006,NA,3,0.5316,1,0,NA,8.6,2.7,4.568754202,NA,NA
2495455,Cam Newton,CAR,QB,26,4,5,20.113,20.113,20.113,NA,4,0.1662,0,0,NA,1.8,1.1,2.226575187,NA,NA
2506109,Ben Roethlisberger,PIT,QB,33,11,11,20.025,20.025,20.025,NA,5,0.5005,0,0,NA,2.3,1.6,2.958506129,NA,NA
2505245,Carson Palmer,ARI,QB,36,12,9,19.8686,19.8686,19.8686,NA,6,0.7351,0,0,NA,6.1,2.5,4.275981825,NA,NA
2506363,Aaron Rodgers,GB,QB,32,10,7,19.1804,19.1804,19.1804,NA,7,0.3319,0,0,NA,9.5,2,3.544050883,NA,NA
2504775,Drew Brees,NO,QB,36,14,11,19.0866,19.0866,19.0866,NA,8,0.8018,0,0,NA,5.1,2.4,4.129595636,NA,NA
2532975,Russell Wilson,SEA,QB,27,3,9,18.6104,18.6104,18.6104,NA,9,0.7292,0,0,NA,8.1,3,5.007912767,NA,NA
2543583,Devonta Freeman,ATL,RB,23,1,10,18.216,18.216,18.216,NA,1,3.6605,1,0,NA,2.3,1.6,2.461703966,NA,NA
79860,Matthew Stafford,DET,QB,27,6,9,17.9592,17.9592,17.9592,NA,10,0.4378,0,0,NA,10.3,2.2,3.836823259,NA,NA
2505996,Eli Manning,NYG,QB,34,11,11,17.8032,17.8032,17.8032,NA,11,1.1124,0,0,NA,7.1,3.1,5.154298955,NA,NA
2506340,Alex Smith,KC,QB,31,10,9,17.2396,17.2396,17.2396,NA,12,2.0403,0,0,NA,16.1,3,5.007912767,NA,NA
2507164,Adrian Peterson,MIN,RB,30,8,5,16.762,16.762,16.762,NA,2,4.4285,1,0,NA,2.8,1,2.181899149,NA,NA
2495824,Jay Cutler,CHI,QB,32,9,7,16.142,16.142,16.142,NA,13,1.9884,0,0,NA,18.6,2.4,4.129595636,NA,NA
2495454,Julio Jones,ATL,WR,26,4,10,15.887,15.887,15.887,NA,1,0.8235,1,0,NA,2,1.6,2.082993777,NA,NA
2543496,Odell Beckham,NYG,WR,23,1,11,15.453,15.453,15.453,NA,2,1.091,1,0,NA,2.3,1.1,1.880402421,NA,NA
2508061,Antonio Brown,PIT,WR,27,5,11,14.674,14.674,14.674,NA,3,1.501,0,0,NA,2.6,0.9,1.799365879,NA,NA
2543477,Blake Bortles,JAC,QB,24,1,8,14.2566,14.2566,14.2566,NA,14,0.2598,0,0,NA,8,2.7,4.568754202,NA,NA
81294,Brian Hoyer,HOU,QB,30,6,9,14.0506,14.0506,14.0506,NA,15,0.1406,0,0,NA,16.5,3.9,6.325388463,NA,NA
2540165,DeAndre Hopkins,HOU,WR,23,2,9,14.05,14.05,14.05,NA,4,2.3025,0,0,NA,3.8,1.4,2.001957235,NA,NA
2495240,Tyrod Taylor,BUF,QB,26,4,8,13.943,13.943,13.943,NA,16,0.1922,0,0,NA,14.5,2.3,3.983209448,NA,NA
497095,Sam Bradford,PHI,QB,28,5,8,13.877,13.877,13.877,NA,17,0.3843,0,0,NA,14.7,2.8,4.71514039,NA,NA
2543465,Teddy Bridgewater,MIN,QB,23,1,5,13.6246,13.6246,13.6246,NA,18,0.3099,0,0,NA,21.2,2.9,4.861526579,NA,NA
2533436,Brock Osweiler,DEN,QB,25,3,7,13.3608,13.3608,13.3608,NA,19,0.2441,0,0,NA,19.7,2.4,4.129595636,NA,NA
2532956,Ryan Tannehill,MIA,QB,27,3,5,13.2686,13.2686,13.2686,NA,20,0.5692,0,0,NA,23.1,2.6,4.422368013,NA,NA
2543499,Derek Carr,OAK,QB,24,1,6,12.9648,12.9648,12.9648,NA,21,0.5678,0,0,NA,15.9,2.6,4.422368013,NA,NA
2506121,Philip Rivers,SD,QB,34,11,10,12.434,12.434,12.434,NA,22,0.157,0,0,NA,21.6,2.8,4.71514039,NA,NA
2543605,Zach Mettenberger,TEN,QB,24,1,4,12.36,12.36,12.36,NA,23,0.1706,0,0,NA,27.4,3.6,5.886229898,NA,NA
2495979,DeAngelo Williams,PIT,RB,32,9,11,12.349,12.349,12.349,NA,3,0.3615,0,0,NA,1.8,1.3,2.321801558,NA,NA
2553435,David Johnson,ARI,RB,24,0,9,12.318,12.318,12.318,NA,4,0.704,0,0,NA,4.6,1.2,2.275167422,NA,NA
2495450,A.J. Green,CIN,WR,27,4,7,12.296,12.296,12.296,NA,5,1.1435,0,0,NA,8.8,3.3,2.771804387,NA,NA
497240,Rob Gronkowski,NE,TE,26,5,4,12.258,12.258,12.258,NA,1,3.1635,1,0,NA,1,0.2,2.342221253,NA,NA
79557,Josh Freeman,FA,QB,27,6,NA,12.194,12.194,12.194,NA,24,0.1583,0,0,NA,30.7,2,3.544050883,NA,NA
2552033,Jameis Winston,TB,QB,21,0,6,12.1848,12.1848,12.1848,NA,25,0.9753,0,0,NA,23.3,2.7,4.568754202,NA,NA
2532888,Case Keenum,STL,QB,27,3,6,11.8866,11.8866,11.8866,NA,26,1.4281,0,0,NA,29.6,2,3.544050883,NA,NA
284,Darren McFadden,DAL,RB,28,7,6,11.657,11.657,11.657,NA,5,0.11,0,0,NA,8,3.1,3.161216009,NA,NA
2507999,Chris Ivory,NYJ,RB,27,5,5,11.571,11.571,11.571,NA,6,0.1585,0,0,NA,17.7,5.8,4.420337687,NA,NA
2506404,Frank Gore,IND,RB,32,10,10,11.523,11.523,11.523,NA,7,0.4465,0,0,NA,10.9,4,3.580923235,NA,NA
2532899,Doug Martin,TB,RB,26,3,6,11.302,11.302,11.302,NA,8,0.771,0,0,NA,7.4,2.3,2.78814292,NA,NA
497284,Eric Decker,NYJ,WR,28,5,5,11.199,11.199,11.199,NA,6,0.1905,0,0,NA,8.8,3.4,2.812322658,NA,NA
2495893,Brandon Marshall,NYJ,WR,31,9,5,11.106,11.106,11.106,NA,7,0.257,0,0,NA,5,0.9,1.799365879,NA,NA
2530747,Doug Baldwin,SEA,WR,27,4,9,10.911,10.911,10.911,NA,8,0.1275,0,0,NA,12.2,6.4,4.027870792,NA,NA
4383,Tim Hightower,NO,RB,29,7,11,10.851,10.851,10.851,NA,9,0.684,0,0,NA,5.9,2.1,2.694874647,NA,NA
497328,Demaryius Thomas,DEN,WR,28,5,7,10.787,10.787,10.787,NA,9,0.061,0,0,NA,14.1,3.8,2.974395742,NA,NA
2495448,Randall Cobb,GB,WR,25,4,7,10.78,10.78,10.78,NA,10,0.1655,0,0,NA,28.2,5.5,3.663206352,NA,NA
2495647,Calvin Johnson,DET,WR,30,8,9,10.672,10.672,10.672,NA,11,0.1355,0,0,NA,11.9,4.4,3.217505369,NA,NA
2530660,Kamar Aiken,BAL,WR,26,4,9,10.557,10.557,10.557,NA,12,0.2705,0,0,NA,25.9,3.5,2.852840929,NA,NA
2495443,Ryan Mallett,BAL,QB,27,4,9,10.5324,10.5324,10.5324,NA,27,0.4603,0,0,NA,26.3,2.1,3.690437071,NA,NA
80429,Jeremy Maclin,KC,WR,27,6,9,10.516,10.516,10.516,NA,13,0.5285,0,0,NA,12.7,3.1,2.690767844,NA,NA
2532917,Kellen Moore,DAL,QB,26,3,6,10.3846,10.3846,10.3846,NA,28,0.9647,0,0,NA,28.5,1.4,2.665733752,NA,NA
2540168,Eddie Lacy,GB,RB,24,2,7,10.211,10.211,10.211,NA,10,0.101,0,0,NA,14.9,5,4.047264597,NA,NA
234,Matt Forte,CHI,RB,30,7,7,10.123,10.123,10.123,NA,11,0.073,0,0,NA,16.9,7.9,5.399654547,NA,NA
