"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,6.45,6.45,6.45,,16,0.1125,0,46,23.4,4,5.80469411929098
"A.J. Derby","TE","DEN",2552580,1991-09-20,4.375,4.375,4.375,,30,0.33125,0,1,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,15.4875,15.4875,15.4875,,3,1.79375,0,5,3.7,1.4,2.28805335532114
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,30,0,0,2,,,
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,,117,0,0,0,,,
"Aaron Dobson","WR","ARI",2539256,1991-07-23,0,0,0,,117,0,0,3,,,
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,,30,0,0,2,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,69,0,0,1,87.1,3.5,3.58071399462512
"Aaron Rodgers","QB","GB",2506363,1983-12-02,22.76,22.76,22.76,,2,3.745,1,11,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,2.6175,2.6175,2.6175,,94,0.1925,0,1,88.1,8.3,5.72152708895126
"Adam Thielen","WR","MIN",2541785,1990-08-22,8.7125,8.7125,8.7125,,49,0.153749999999999,0,2,8.7,1.9,2.53685579978709
"Adam Vinatieri","K","IND",2503471,1972-12-28,8.6,8.6,8.6,,8,0,0,20,18.1,3.5,4.94563588462671
"Adrian Peterson","RB","MIN",2507164,1985-03-21,7.2575,7.2575,7.2575,,36,0.362500000000002,0,9,,,
"Alan Cross","TE","TB",2556508,1993-05-02,0,0,0,,55,0,0,0,72,15,9.24576814617129
"Albert Wilson","WR","KC",2550272,1992-07-12,3.4425,3.4425,3.4425,,90,0.515,0,2,67.8,6.6,4.87559877776703
"Aldrick Robinson","WR","ATL",2495331,1988-09-24,0,0,0,,117,0,0,5,,,
"Alex Erickson","WR","CIN",2556519,1992-11-06,3.7625,3.7625,3.7625,,88,0.21625,0,0,105.6,9.6,6.36841344456273
"Alex Smith","QB","KC",2506340,1984-05-07,15.55,15.55,15.55,,15,0.16,0,11,4.2,2.8,5.1045396906816
"Alex Tanney","QB","FA",2534870,1987-11-11,0,0,0,,30,0,0,4,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,0,0,0,,69,0,0,2,68.9,5.7,4.78861697792289
"Alfred Morris","RB","DAL",2533457,1988-12-12,3.16,3.16,3.16,,59,0.11125,0,4,17.6,3.8,3.74542803780209
"Allen Hurns","WR","JAC",2550353,1991-11-21,9.125,9.125,9.125,,46,0.174999999999999,0,2,95.1,16.3,9.70236620040646
"Allen Robinson","WR","JAC",2543509,1993-08-24,0,0,0,,117,0,0,2,,,
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,12.425,12.425,12.425,,13,0.217499999999999,0,4,,,
