player,position,team,playerId,birthdate,points,lower,upper,sdPts,positionRank,dropoff,tier,exp,ecrPosition,sdRank,risk
49ers,DST,SF,100029,,5.95,5.95,5.95,,22,0.125,0,47,,,
A.J. Derby,TE,MIA,2552580,9/20/1991,4.1375,4.1375,4.1375,,36,0.09375,0,2,,,
A.J. Green,WR,CIN,2495450,7/31/1988,14.925,14.925,14.925,,3,0.26875,0,6,,,
AJ McCarron,QB,CIN,2543497,9/13/1990,0,0,0,,31,0,0,3,,,
Aaron Burbridge,WR,SF,2555362,12/23/1993,0,0,0,,124,0,0,1,,,
Aaron Dobson,WR,FA,2539256,7/23/1991,0,0,0,,124,0,0,4,,,
Aaron Jones,RB,GB,2558116,12/2/1994,0,0,0,,83,0,0,0,,,
Aaron Murray,QB,FA,2543587,11/10/1990,0,0,0,,31,0,0,3,,,
Aaron Ripkowski,RB,GB,2552477,12/20/1992,0,0,0,,83,0,0,2,,,
Aaron Rodgers,QB,GB,2506363,12/2/1983,22.71,22.71,22.71,,2,3.165,1,12,,,
Adam Humphries,WR,TB,2553895,6/24/1993,0,0,0,,124,0,0,2,,,
Adam Shaheen,TE,CHI,2558144,1/1/1994,2.4625,2.4625,2.4625,,53,0.14375,0,0,,,
Adam Thielen,WR,MIN,2541785,8/22/1990,9.9125,9.9125,9.9125,,36,0.0475,0,3,,,
Adam Vinatieri,K,IND,2503471,12/28/1972,8.7,8.7,8.7,,15,0.05,0,21,,,
Adrian Peterson,RB,ARI,2507164,3/21/1985,7.405,7.405,7.405,,41,0.1925,0,10,,,
Akeem Hunt,RB,KC,2553660,2/22/1993,0,0,0,,83,0,0,2,,,
Alan Cross,TE,TB,2556508,5/2/1993,0,0,0,,63,0,0,1,,,
Albert Wilson,WR,KC,2550272,7/12/1992,2.95,2.95,2.95,,100,0.09375,0,3,,,
Aldrick Robinson,WR,SF,2495331,9/24/1988,0,0,0,,124,0,0,6,,,
Aldrick Rosas,K,NYG,2556771,12/30/1994,7.9,7.9,7.9,,24,0.2,0,1,,,
Alex Collins,RB,BAL,2555430,8/26/1994,0,0,0,,83,0,0,1,,,
Alex Erickson,WR,CIN,2556519,11/6/1992,0.6,0.6,0.6,,121,0.6,0,1,,,
Alex Smith,QB,KC,2506340,5/7/1984,12.46,12.46,12.46,,21,1.31,0,12,,,
Alexander Armah,RB,CAR,2558833,5/17/1994,0,0,0,,83,0,0,0,,,
Alfred Blue,RB,HOU,2543600,4/27/1991,0,0,0,,83,0,0,3,,,
Alfred Morris,RB,DAL,2533457,12/12/1988,1.23,1.23,1.23,,78,0.24375,0,5,,,
Allen Hurns,WR,JAC,2550353,11/21/1991,5.4125,5.4125,5.4125,,81,0.10875,0,3,,,
Allen Robinson,WR,JAC,2543509,8/24/1993,11.5375,11.5375,11.5375,,17,0.0675,0,3,,,
Alshon Jeffery,WR,PHI,2533039,2/14/1990,11.6,11.6,11.6,,16,0.0875,0,5,,,
Alvin Kamara,RB,NO,2558019,6/25/1996,5.0875,5.0875,5.0875,,60,0.36875,0,0,,,
Amara Darboh,WR,SEA,2557905,2/1/1994,1.85,1.85,1.85,,111,0.17875,0,0,,,
Amari Cooper,WR,OAK,2552487,6/18/1994,14.2125,14.2125,14.2125,,7,1.0875,0,2,,,
Amba Etta-Tawo,WR,FA,2559170,11/10/1993,0,0,0,,124,0,0,0,,,
Ameer Abdullah,RB,DET,2552374,6/13/1993,8.265,8.265,8.265,,33,0.58125,0,2,,,
Andre Ellington,RB,HOU,2539217,2/3/1989,0,0,0,,83,0,0,4,,,
Andre Holmes,WR,BUF,2495453,6/16/1988,7.45,7.45,7.45,,68,0.09375,0,6,,,
Andre Roberts,WR,ATL,497320,1/9/1988,2.8375,2.8375,2.8375,,102,0.16375,0,7,,,
Andre Williams,RB,LAC,2543565,8/28/1992,0,0,0,,83,0,0,3,,,
Andrew Franks,K,FA,2553648,1/11/1993,0,0,0,,31,0,0,2,,,
Andrew Hawkins,WR,FA,2508097,3/10/1986,0,0,0,,124,0,0,6,,,
Andrew Luck,QB,IND,2533031,9/12/1989,0,0,0,,31,0,0,5,,,
Andy Dalton,QB,CIN,2495143,10/29/1987,15.93,15.93,15.93,,14,0.43,0,6,,,
Andy Janovich,RB,DEN,2555432,5/23/1993,0,0,0,,83,0,0,1,,,
Anquan Boldin,WR,FA,2505587,10/3/1980,0,0,0,,124,0,0,14,,,
Anthony Fasano,TE,MIA,2495835,4/20/1984,0,0,0,,63,0,0,11,,,
Anthony Sherman,RB,KC,2495340,12/11/1988,0,0,0,,83,0,0,6,,,
Antone Smith,RB,FA,89798,9/17/1985,0,0,0,,83,0,0,8,,,
Antonio Andrews,RB,FA,2550474,8/17/1992,0,0,0,,83,0,0,3,,,
Antonio Brown,WR,PIT,2508061,7/10/1988,15.7,15.7,15.7,,2,0.89375,1,7,,,
Antonio Gates,TE,LAC,2505299,6/18/1980,6.05,6.05,6.05,,21,0.24375,0,14,,,
Antwan Goodley,WR,FA,2553526,9/6/1991,0,0,0,,124,0,0,2,,,
ArDarius Stewart,WR,NYJ,2558150,12/8/1993,4.5875,4.5875,4.5875,,88,0.15625,0,0,,,
Arrelious Benn,WR,JAC,497270,9/8/1988,0,0,0,,124,0,0,7,,,
Artavis Scott,WR,FA,2559246,12/12/1994,0,0,0,,124,0,0,0,,,
Asante Cleveland,TE,LAC,2550454,3/21/1992,0,0,0,,63,0,0,3,,,
Austin Carr,WR,NO,2558928,12/25/1993,0,0,0,,124,0,0,0,,,
Austin Davis,QB,SEA,2533349,6/2/1989,0,0,0,,31,0,0,5,,,
Austin Ekeler,RB,LAC,2559169,5/17/1995,0,0,0,,83,0,0,0,,,
Austin Hooper,TE,ATL,2555415,10/29/1994,6.925,6.925,6.925,,16,0.4125,0,1,,,
Austin Seferian-Jenkins,TE,NYJ,2543683,9/29/1992,0,0,0,,63,0,0,3,,,
Austin Traylor,TE,DEN,2556900,9/3/1993,0,0,0,,63,0,0,1,,,
Bears,DST,CHI,100005,,5.7,5.7,5.7,,26,0.325,0,47,,,
Beau Sandland,TE,FA,2555487,2/23/1993,0,0,0,,63,0,0,1,,,
Ben Braunecker,TE,CHI,2556478,2/7/1994,0,0,0,,63,0,0,1,,,
Ben Koyack,TE,JAC,2552396,4/9/1993,0,0,0,,63,0,0,2,,,
Ben Roethlisberger,QB,PIT,2506109,3/2/1982,17.25,17.25,17.25,,10,0.09,0,13,,,
Bengals,DST,CIN,100006,,5.9,5.9,5.9,,23,0.15,0,47,,,
Benjamin Watson,TE,BAL,2506122,12/18/1980,5.1,5.1,5.1,,28,0.29375,0,13,,,
Bennie Fowler,WR,DEN,2550198,6/10/1991,2.35,2.35,2.35,,109,0.29375,0,3,,,
Benny Cunningham,RB,CHI,2541544,7/7/1990,2.8075,2.8075,2.8075,,70,0.35875,0,4,,,
Bernard Pierce,RB,FA,2533545,5/10/1991,0,0,0,,83,0,0,5,,,
Bilal Powell,RB,NYJ,2495328,10/27/1988,10.2225,10.2225,10.2225,,17,0.24375,0,6,,,
Bills,DST,BUF,100003,,10.3,10.3,10.3,,3,3.05,0,47,,,
Bishop Sankey,RB,MIN,2543682,9/15/1992,0,0,0,,83,0,0,3,,,
Blaine Gabbert,QB,ARI,2495441,10/15/1989,0,0,0,,31,0,0,6,,,
Blair Walsh,K,SEA,2532968,1/8/1990,9,9,9,,10,0.05,0,5,,,
Blake Bell,TE,MIN,2552478,8/7/1991,0,0,0,,63,0,0,2,,,
Blake Bortles,QB,JAC,2543477,12/16/1991,10.48,10.48,10.48,,24,0.74,0,3,,,
Bralon Addison,RB,FA,2556457,10/12/1993,0,0,0,,83,0,0,1,,,
Branden Oliver,RB,LAC,2550658,5/7/1991,5.9825,5.9825,5.9825,,53,0.19875,0,3,,,
Brandin Cooks,WR,NE,2543498,9/25/1993,14.6875,14.6875,14.6875,,4,0.10625,0,3,,,
Brandon Allen,QB,LAR,2555365,9/5/1992,0,0,0,,31,0,0,1,,,
Brandon Bolden,RB,NE,2532797,1/26/1990,0,0,0,,83,0,0,5,,,
Brandon Burks,RB,FA,2556728,11/1/1993,0,0,0,,83,0,0,1,,,
Brandon Coleman,WR,NO,2550328,6/22/1992,6.0375,6.0375,6.0375,,77,0.2125,0,3,,,
Brandon Doughty,QB,FA,2555302,10/6/1991,0,0,0,,31,0,0,1,,,
Brandon LaFell,WR,CIN,497302,11/4/1986,7.7625,7.7625,7.7625,,65,0.10375,0,7,,,
Brandon Marshall,WR,NYG,2495893,3/23/1984,10.0625,10.0625,10.0625,,32,0.05,0,11,,,
Brandon McManus,K,DEN,2541556,7/25/1991,8.8,8.8,8.8,,13,0.05,0,3,,,
Brandon Myers,TE,FA,89766,9/4/1985,0,0,0,,63,0,0,8,,,
Brandon Radcliff,RB,FA,2558898,3/18/1993,0,0,0,,83,0,0,0,,,
Brandon Tate,WR,BUF,81306,10/5/1987,0.6,0.6,0.6,,121,0,0,8,,,
Brandon Weeden,QB,TEN,2532970,10/14/1983,0,0,0,,31,0,0,5,,,
