playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2506363,Aaron Rodgers,GB,QB,32,10,7,21.41,21.41,21.41,NA,1,2.685,1,0,NA,1.9,1.6,2.913366364,NA,NA
2495455,Cam Newton,CAR,QB,26,4,5,19.34,19.34,19.34,NA,2,1.555,1,0,NA,2.9,1.1,2.450541611,NA,NA
2505245,Carson Palmer,ARI,QB,36,12,9,18.11,18.11,18.11,NA,3,0.715,1,0,NA,2,1.1,2.450541611,NA,NA
81294,Brian Hoyer,HOU,QB,30,6,9,17.46,17.46,17.46,NA,4,0.37,0,0,NA,9.5,3.5,4.672100429,NA,NA
2505996,Eli Manning,NYG,QB,34,11,11,17.33,17.33,17.33,NA,5,0.595,0,0,NA,5.6,2.5,3.746450921,NA,NA
2532975,Russell Wilson,SEA,QB,27,3,9,16.85,16.85,16.85,NA,6,0.67,0,0,NA,9.8,3.8,4.949795281,NA,NA
2540165,DeAndre Hopkins,HOU,WR,23,2,9,16.8,16.8,16.8,NA,1,3.77,1,0,NA,1.2,0.5,1.784620844,NA,NA
2495143,Andy Dalton,CIN,QB,28,4,7,16.62,16.62,16.62,NA,7,1.195,0,0,NA,12.7,3.3,4.486970527,NA,NA
79860,Matthew Stafford,DET,QB,27,6,9,15.74,15.74,15.74,NA,8,0.66,0,0,NA,10.2,3.9,5.042360232,NA,NA
2552475,Todd Gurley,STL,RB,21,0,6,15.35,15.35,15.35,NA,1,1.615,1,0,NA,2.4,1.2,1.852258003,NA,NA
2543477,Blake Bortles,JAC,QB,24,1,8,15.11,15.11,15.11,NA,9,0.265,0,0,NA,8.3,3.3,4.486970527,NA,NA
2506581,Ryan Fitzpatrick,NYJ,QB,33,10,5,15.05,15.05,15.05,NA,10,0.47,0,0,NA,20.7,3.2,4.394405576,NA,NA
2553733,Thomas Rawls,SEA,RB,22,0,9,14.67,14.67,14.67,NA,2,1.955,1,0,NA,6.3,2.7,2.937206637,NA,NA
