playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2532975,Russell Wilson,SEA,QB,28,4,5,20.09,20.09,20.09,NA,1,0.902,1,0,NA,2.7,1.8,2.605497093,NA,NA
2506363,Aaron Rodgers,GB,QB,33,11,4,19.76,19.76,19.76,NA,2,1.214,1,0,NA,1.8,1.1,0.255751249,NA,NA
2543499,Derek Carr,OAK,QB,25,2,10,18.616,18.616,18.616,NA,3,0.156,1,0,NA,6.3,2.1,3.612531026,NA,NA
2533031,Andrew Luck,IND,QB,27,4,10,18.476,18.476,18.476,NA,4,0.068,0,0,NA,NA,NA,NA,NA,NA
2532820,Kirk Cousins,WAS,QB,28,4,9,18.444,18.444,18.444,NA,5,0.223,0,0,NA,10.9,3.5,8.312022713,NA,NA
79860,Matthew Stafford,DET,QB,28,7,10,18.372,18.372,18.372,NA,6,0.414,0,0,NA,7.5,2.8,5.962276869,NA,NA
2505996,Eli Manning,NYG,QB,35,12,8,18.07,18.07,18.07,NA,7,0.257,0,0,NA,8.8,3,6.633632825,NA,NA
2504775,Drew Brees,NO,QB,37,15,5,17.846,17.846,17.846,NA,8,0.078,0,0,NA,3.4,1.4,1.262785182,NA,NA
2495455,Cam Newton,CAR,QB,27,5,7,17.78,17.78,17.78,NA,9,0.135,0,0,NA,8,2.8,5.962276869,NA,NA
2506340,Alex Smith,KC,QB,32,11,5,17.756,17.756,17.756,NA,10,0.255,0,0,NA,20.6,3,6.633632825,NA,NA
2495240,Tyrod Taylor,BUF,QB,27,5,10,17.534,17.534,17.534,NA,11,0.209,0,0,NA,11.7,2.5,4.955242936,NA,NA
2505245,Carson Palmer,ARI,QB,37,13,9,17.468,17.468,17.468,NA,12,0.648,0,0,NA,10.7,2.7,5.626598892,NA,NA
2506109,Ben Roethlisberger,PIT,QB,34,12,8,17.182,17.182,17.182,NA,13,0.725,0,0,NA,7.1,2.7,5.626598892,NA,NA
2552475,Todd Gurley,LA,RB,22,1,8,16.68,16.68,16.68,NA,1,2.135,1,0,NA,1.7,2.3,2.917220678,NA,NA
2555259,Carson Wentz,PHI,QB,24,0,4,16.458,16.458,16.458,NA,14,0.086,0,0,NA,NA,NA,NA,NA,NA
2555260,Dak Prescott,DAL,QB,23,0,7,16.456,16.456,16.456,NA,15,0.458,0,0,NA,17.6,3,6.633632825,NA,NA
2533436,Brock Osweiler,HOU,QB,26,4,9,16.288,16.288,16.288,NA,16,0.713,0,0,NA,18.2,3.3,7.640666758,NA,NA
2533033,Robert Griffin,CLE,QB,26,4,13,15.708,15.708,15.708,NA,17,0.281,0,0,NA,20.3,3.3,7.640666758,NA,NA
2508061,Antonio Brown,PIT,WR,28,6,8,15.61,15.61,15.61,NA,1,1.795,1,0,NA,1.9,1.5,2.105041577,NA,NA
2543801,Jimmy Garoppolo,NE,QB,25,2,9,15.442,15.442,15.442,NA,18,0.1,0,0,NA,25.6,2.9,6.297954847,NA,NA
2552033,Jameis Winston,TB,QB,22,1,6,15.412,15.412,15.412,NA,19,0.169,0,0,NA,13.8,2.1,3.612531026,NA,NA
310,Matt Ryan,ATL,QB,31,8,11,15.272,15.272,15.272,NA,20,0.122,0,0,NA,16.2,2.9,6.297954847,NA,NA
2543477,Blake Bortles,JAC,QB,25,2,5,15.214,15.214,15.214,NA,21,0.264,0,0,NA,11.1,2.7,5.626598892,NA,NA
2506121,Philip Rivers,SD,QB,35,12,11,15.086,15.086,15.086,NA,22,0.4,0,0,NA,16.1,2.9,6.297954847,NA,NA
2507164,Adrian Peterson,MIN,RB,31,9,6,14.89,14.89,14.89,NA,2,0.86,1,0,NA,3.2,1.9,2.690079593,NA,NA
2552466,Marcus Mariota,TEN,QB,23,1,13,14.814,14.814,14.814,NA,23,0.566,0,0,NA,20,2.7,5.626598892,NA,NA
2506581,Ryan Fitzpatrick,NYJ,QB,34,11,11,14.558,14.558,14.558,NA,24,0.815,0,0,NA,21.7,2.7,5.626598892,NA,NA
2495979,DeAngelo Williams,PIT,RB,33,10,8,14.2,14.2,14.2,NA,3,0.48,0,0,NA,8.3,3.6,3.655429206,NA,NA
2495454,Julio Jones,ATL,WR,27,5,11,13.95,13.95,13.95,NA,2,1.24,1,0,NA,NA,NA,NA,NA,NA
2495143,Andy Dalton,CIN,QB,29,5,9,13.938,13.938,13.938,NA,25,0.645,0,0,NA,20.4,3.2,7.30498878,NA,NA
2533034,Lamar Miller,HOU,RB,25,4,9,13.86,13.86,13.86,NA,4,0.365,0,0,NA,3.6,1.8,2.633294321,NA,NA
2543496,Odell Beckham,NYG,WR,24,2,8,13.68,13.68,13.68,NA,3,2.18,1,0,NA,2.6,0.8,1.793407579,NA,NA
2543583,Devonta Freeman,ATL,RB,24,2,11,13.58,13.58,13.58,NA,5,0.38,0,0,NA,8.7,3.9,3.82578502,NA,NA
382,Joe Flacco,BAL,QB,31,8,8,13.548,13.548,13.548,NA,26,0.531,0,0,NA,22.2,2.5,4.955242936,NA,NA
79607,LeSean McCoy,BUF,RB,28,7,10,13.41,13.41,13.41,NA,6,0.43,0,0,NA,9.9,3,3.314717578,NA,NA
2495441,Blaine Gabbert,SF,QB,27,5,8,13.038,13.038,13.038,NA,27,0.434,0,0,NA,28.9,2.1,3.612531026,NA,NA
2504833,Shaun Hill,MIN,QB,NA,NA,6,12.996,12.996,12.996,NA,28,0.834,0,0,NA,30.5,1.7,2.269819115,NA,NA
2553435,David Johnson,ARI,RB,25,1,9,12.99,12.99,12.99,NA,7,0.17,0,0,NA,4,2.1,2.803650136,NA,NA
2555224,Ezekiel Elliott,DAL,RB,21,0,7,12.97,12.97,12.97,NA,8,0.41,0,0,NA,4.8,2.1,2.803650136,NA,NA
2495466,Mark Ingram,NO,RB,27,5,5,12.67,12.67,12.67,NA,9,0.485,0,0,NA,7.9,2.2,2.860435407,NA,NA
2532899,Doug Martin,TB,RB,27,4,6,12.45,12.45,12.45,NA,10,0.76,0,0,NA,8.9,2.5,3.030791221,NA,NA
2532956,Ryan Tannehill,MIA,QB,28,4,8,12.212,12.212,12.212,NA,29,0.122,0,0,NA,27.8,2.2,3.948209003,NA,NA
2495824,Jay Cutler,CHI,QB,33,10,9,12.112,12.112,12.112,NA,30,1.282,0,0,NA,25.1,2.1,3.612531026,NA,NA
2532888,Case Keenum,LA,QB,28,4,8,12.068,12.068,12.068,NA,31,7.197,0,0,NA,30.5,1.7,2.269819115,NA,NA
2543743,Carlos Hyde,SF,RB,25,2,8,11.92,11.92,11.92,NA,11,0.57,0,0,NA,16.9,3.7,3.712214478,NA,NA
2540165,DeAndre Hopkins,HOU,WR,24,3,9,11.74,11.74,11.74,NA,4,0.575,0,0,NA,4.1,1.3,2.016003292,NA,NA
2541161,Latavius Murray,OAK,RB,26,3,10,11.46,11.46,11.46,NA,12,0.31,0,0,NA,11,3,3.314717578,NA,NA
2543509,Allen Robinson,JAC,WR,23,2,5,11.26,11.26,11.26,NA,5,0.315,0,0,NA,5.9,2.3,2.461194717,NA,NA
497188,Ryan Mathews,PHI,RB,29,6,4,11.24,11.24,11.24,NA,13,0.22,0,0,NA,13.9,3.6,3.655429206,NA,NA
2552487,Amari Cooper,OAK,WR,22,1,10,11.07,11.07,11.07,NA,6,0.255,0,0,NA,7.3,2.4,2.50571386,NA,NA
2552379,Jeremy Langford,CHI,RB,25,1,9,11.06,11.06,11.06,NA,14,0.175,0,0,NA,21.2,3.4,3.541858664,NA,NA
2495207,DeMarco Murray,TEN,RB,28,5,13,10.98,10.98,10.98,NA,15,0.3,0,0,NA,18.3,3.6,3.655429206,NA,NA
497278,Dez Bryant,DAL,WR,28,6,7,10.82,10.82,10.82,NA,7,0.135,0,0,NA,10.1,4.1,3.262539283,NA,NA
2495450,A.J. Green,CIN,WR,28,5,9,10.81,10.81,10.81,NA,8,0.325,0,0,NA,NA,NA,NA,NA,NA
2506404,Frank Gore,IND,RB,33,11,10,10.79,10.79,10.79,NA,16,0.23,0,0,NA,20,4.4,4.109711377,NA,NA
2540269,C.J. Anderson,DEN,RB,25,3,11,10.57,10.57,10.57,NA,17,0.025,0,0,NA,15.2,3.1,3.371502849,NA,NA
2532865,T.Y. Hilton,IND,WR,27,4,10,10.56,10.56,10.56,NA,9,0.225,0,0,NA,14.2,3.6,3.03994357,NA,NA
2540204,Spencer Ware,KC,RB,25,3,5,10.55,10.55,10.55,NA,18,0.01,0,0,NA,14.9,5.9,4.961490448,NA,NA
234,Matt Forte,NYJ,RB,31,8,11,10.54,10.54,10.54,NA,19,0.305,0,0,NA,NA,NA,NA,NA,NA
2540168,Eddie Lacy,GB,RB,25,3,4,10.54,10.54,10.54,NA,19,0.62,0,0,NA,10.4,2.6,3.087576492,NA,NA
2543457,Sammy Watkins,BUF,WR,23,2,10,10.41,10.41,10.41,NA,10,0.16,0,0,NA,NA,NA,NA,NA,NA
2495893,Brandon Marshall,NYJ,WR,32,10,11,10.26,10.26,10.26,NA,11,0.18,0,0,NA,10.9,2.5,2.550233002,NA,NA
1032,Jordy Nelson,GB,WR,31,8,4,10.24,10.24,10.24,NA,12,0.325,0,0,NA,NA,NA,NA,NA,NA
2552374,Ameer Abdullah,DET,RB,23,1,10,9.93,9.93,9.93,NA,21,0.085,0,0,NA,25.2,3.9,3.82578502,NA,NA
2533039,Alshon Jeffery,CHI,WR,26,4,9,9.92,9.92,9.92,NA,13,0.22,0,0,NA,13.6,2.8,2.68379043,NA,NA
2495448,Randall Cobb,GB,WR,26,5,4,9.91,9.91,9.91,NA,14,0.42,0,0,NA,17.3,2.8,2.68379043,NA,NA
2539322,Christine Michael,SEA,RB,26,3,5,9.91,9.91,9.91,NA,22,0.68,0,0,NA,22.5,7.2,5.699698976,NA,NA
71345,Rashad Jennings,NYG,RB,31,7,8,9.78,9.78,9.78,NA,23,1.23,0,0,NA,20.9,4.7,4.280067192,NA,NA
2540160,Jordan Reed,WAS,TE,26,3,9,9.73,9.73,9.73,NA,1,1.98,1,0,NA,1.2,0.8,1.193504358,NA,NA
2553457,Trevor Siemian,DEN,QB,NA,NA,11,9.592,9.592,9.592,NA,32,9.442,0,0,NA,30,2,3.276853048,NA,NA
497284,Eric Decker,NYJ,WR,29,6,11,9.49,9.49,9.49,NA,15,0.06,0,0,NA,23.2,6.2,4.197441276,NA,NA
2506106,Larry Fitzgerald,ARI,WR,33,12,9,9.49,9.49,9.49,NA,15,0.165,0,0,NA,NA,NA,NA,NA,NA
2540154,Keenan Allen,SD,WR,24,3,11,9.37,9.37,9.37,NA,17,0.095,0,0,NA,NA,NA,NA,NA,NA
2532884,Marvin Jones,DET,WR,26,4,10,9.28,9.28,9.28,NA,18,0.04,0,0,NA,23.4,4.4,3.39609671,NA,NA
