playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2506121,Philip Rivers,SD,QB,34,11,10,25.2,25.2,25.2,NA,1,1.6,1,0,NA,2,1.2,0.895394676,NA,NA
2504211,Tom Brady,NE,QB,38,15,4,24.8,24.8,24.8,NA,2,3.05,1,0,NA,1.5,0.9,-0.140001261,NA,NA
2495455,Cam Newton,CAR,QB,26,4,5,22.4,22.4,22.4,NA,3,1.35,0,0,NA,5.7,2.3,4.691846447,NA,NA
2506363,Aaron Rodgers,GB,QB,32,10,7,21.1,21.1,21.1,NA,4,0.2,0,0,NA,5.4,2.3,4.691846447,NA,NA
2495143,Andy Dalton,CIN,QB,28,4,7,21,21,21,NA,5,0.3,0,0,NA,5.3,2.3,4.691846447,NA,NA
2506581,Ryan Fitzpatrick,NYJ,QB,33,10,5,20.8,20.8,20.8,NA,6,0.2,0,0,NA,14.4,2.6,5.727242385,NA,NA
2506340,Alex Smith,KC,QB,31,10,9,20.6,20.6,20.6,NA,7,0.1,0,0,NA,19.6,3.6,9.178562176,NA,NA
2532975,Russell Wilson,SEA,QB,27,3,9,20.6,20.6,20.6,NA,7,0.45,0,0,NA,13.5,2.6,5.727242385,NA,NA
2505996,Eli Manning,NYG,QB,34,11,11,20.4,20.4,20.4,NA,9,0.8,0,0,NA,9.7,2.5,5.382110405,NA,NA
2506109,Ben Roethlisberger,PIT,QB,33,11,11,19.9,19.9,19.9,NA,10,0.75,0,0,NA,7.7,3,7.107770301,NA,NA
310,Matt Ryan,ATL,QB,30,7,10,19.3,19.3,19.3,NA,11,1.1,0,0,NA,8.9,2.8,6.417506343,NA,NA
2505245,Carson Palmer,ARI,QB,36,12,9,19,19,19,NA,12,1.8,0,0,NA,4.4,2.8,6.417506343,NA,NA
2543583,Devonta Freeman,ATL,RB,23,1,10,19,19,19,NA,1,0.25,1,0,NA,2.5,1.4,2.261748394,NA,NA
2552475,Todd Gurley,STL,RB,21,0,6,19,19,19,NA,1,0.5,1,0,NA,1.9,1,1.862957199,NA,NA
927,Justin Forsett,BAL,RB,30,7,9,18.5,18.5,18.5,NA,3,0.25,1,0,NA,7,2,2.859935185,NA,NA
2540175,LeVeon Bell,PIT,RB,23,2,11,18.5,18.5,18.5,NA,3,0.75,1,0,NA,2.4,1,1.862957199,NA,NA
2507164,Adrian Peterson,MIN,RB,30,8,5,18,18,18,NA,5,0.5,1,0,NA,4.4,1.4,2.261748394,NA,NA
2495663,Marshawn Lynch,SEA,RB,29,8,9,17.5,17.5,17.5,NA,6,0.25,0,0,NA,5.9,1.9,2.760237387,NA,NA
2533034,Lamar Miller,MIA,RB,24,3,5,17.5,17.5,17.5,NA,6,0.5,1,0,NA,11.2,1.9,2.760237387,NA,NA
2495824,Jay Cutler,CHI,QB,32,9,7,17.4,17.4,17.4,NA,13,0.45,0,0,NA,16.9,2.4,5.036978426,NA,NA
234,Matt Forte,CHI,RB,30,7,7,17,17,17,NA,8,0.5,0,0,NA,5.8,1.5,2.361446192,NA,NA
2495454,Julio Jones,ATL,WR,26,4,10,17,17,17,NA,1,0.5,1,0,NA,1.3,0.7,0.954676301,NA,NA
2495466,Mark Ingram,NO,RB,26,4,11,17,17,17,NA,8,1.25,0,0,NA,8.6,1.7,2.56084179,NA,NA
2504775,Drew Brees,NO,QB,36,14,11,17,17,17,NA,14,0.2,0,0,NA,8.4,2.6,5.727242385,NA,NA
2540165,DeAndre Hopkins,HOU,WR,23,2,9,17,17,17,NA,1,1.25,1,0,NA,2.6,2,2.090093643,NA,NA
79860,Matthew Stafford,DET,QB,27,6,9,16.9,16.9,16.9,NA,15,0.25,0,0,NA,11.3,2.6,5.727242385,NA,NA
81294,Brian Hoyer,HOU,QB,30,6,9,16.7,16.7,16.7,NA,16,0.3,0,0,NA,19.2,2.9,6.762638322,NA,NA
2532956,Ryan Tannehill,MIA,QB,27,3,5,16.6,16.6,16.6,NA,17,0.6,0,0,NA,11.9,2.5,5.382110405,NA,NA
2543465,Teddy Bridgewater,MIN,QB,23,1,5,16.2,16.2,16.2,NA,18,0.65,0,0,NA,19,2.3,4.691846447,NA,NA
2533437,Ronnie Hillman,DEN,RB,24,3,7,16,16,16,NA,10,0.5,0,0,NA,21.4,3.2,4.056308768,NA,NA
2540154,Keenan Allen,SD,WR,23,2,10,16,16,16,NA,3,0.5,1,0,NA,6.1,2.7,2.701472211,NA,NA
2543605,Zach Mettenberger,TEN,QB,24,1,4,15.8,15.8,15.8,NA,19,0.55,0,0,NA,25.7,2.4,5.036978426,NA,NA
262,Chris Johnson,ARI,RB,30,7,9,15.5,15.5,15.5,NA,11,0.5,0,0,NA,11,2.3,3.159028581,NA,NA
2508061,Antonio Brown,PIT,WR,27,5,11,15.5,15.5,15.5,NA,4,0.25,0,0,NA,3.5,1.5,1.653394665,NA,NA
2532899,Doug Martin,TB,RB,26,3,6,15.5,15.5,15.5,NA,11,1,0,0,NA,9.1,2.1,2.959632984,NA,NA
2543468,Mike Evans,TB,WR,22,1,6,15.5,15.5,15.5,NA,4,0.5,1,0,NA,12.8,3.9,3.749549757,NA,NA
2543499,Derek Carr,OAK,QB,24,1,6,15.3,15.3,15.3,NA,20,0.5,0,0,NA,22.4,2.7,6.072374364,NA,NA
2501863,Peyton Manning,DEN,QB,39,17,7,15.2,15.2,15.2,NA,21,0.85,0,0,NA,18.3,2.6,5.727242385,NA,NA
238498,Julian Edelman,NE,WR,29,6,4,15,15,15,NA,6,0,0,0,NA,11.5,3,2.963491598,NA,NA
2495450,A.J. Green,CIN,WR,27,4,7,15,15,15,NA,6,0,0,0,NA,7.2,2.3,2.352113029,NA,NA
2495647,Calvin Johnson,DET,WR,30,8,9,15,15,15,NA,6,0,0,0,NA,5.1,2.4,2.439452825,NA,NA
2495893,Brandon Marshall,NYJ,WR,31,9,5,15,15,15,NA,6,0,0,0,NA,7.9,2.7,2.701472211,NA,NA
2533039,Alshon Jeffery,CHI,WR,25,3,7,15,15,15,NA,6,0.25,0,0,NA,10.1,2.8,2.788812007,NA,NA
2543496,Odell Beckham,NYG,WR,23,1,11,15,15,15,NA,6,0.5,0,0,NA,5.7,2.1,2.177433438,NA,NA
497328,Demaryius Thomas,DEN,WR,28,5,7,14.5,14.5,14.5,NA,12,0.25,0,0,NA,11.5,3.4,3.31285078,NA,NA
2507999,Chris Ivory,NYJ,RB,27,5,5,14.5,14.5,14.5,NA,13,0.25,0,0,NA,10.1,2.3,3.159028581,NA,NA
2541161,Latavius Murray,OAK,RB,25,2,6,14.5,14.5,14.5,NA,13,0.5,0,0,NA,20.8,3.8,4.65449556,NA,NA
2552608,Stefon Diggs,MIN,WR,22,0,5,14.5,14.5,14.5,NA,12,0.75,0,0,NA,21.4,3.8,3.662209962,NA,NA
2533031,Andrew Luck,IND,QB,26,3,10,14.4,14.4,14.4,NA,22,1.1,0,0,NA,11.7,2.5,5.382110405,NA,NA
2552033,Jameis Winston,TB,QB,21,0,6,14.3,14.3,14.3,NA,23,2.15,0,0,NA,22.5,2.3,4.691846447,NA,NA
284,Darren McFadden,DAL,RB,28,7,6,14,14,14,NA,15,0.25,0,0,NA,19.8,3.4,4.255704366,NA,NA
949,Jonathan Stewart,CAR,RB,28,7,5,14,14,14,NA,15,3.25,0,0,NA,13.1,2.5,3.358424178,NA,NA
80429,Jeremy Maclin,KC,WR,27,6,9,14,14,14,NA,14,0.5,0,0,NA,21.1,6.8,6.282403827,NA,NA
497240,Rob Gronkowski,NE,TE,26,5,4,14,14,14,NA,1,1.25,1,0,NA,1.1,0.3,1.617048402,NA,NA
2504595,Steve Smith,BAL,WR,36,14,9,13.5,13.5,13.5,NA,15,0,0,0,NA,18.4,3.3,3.225510984,NA,NA
2506106,Larry Fitzgerald,ARI,WR,32,11,9,13.5,13.5,13.5,NA,15,0.25,0,0,NA,10.9,3.3,3.225510984,NA,NA
2540156,Giovani Bernard,CIN,RB,24,2,7,13.5,13.5,13.5,NA,17,6.25,0,0,NA,16.6,2.5,3.358424178,NA,NA
2543488,Jarvis Landry,MIA,WR,23,1,5,13.5,13.5,13.5,NA,15,0.5,0,0,NA,17.5,3.9,3.749549757,NA,NA
497284,Eric Decker,NYJ,WR,28,5,5,13,13,13,NA,18,0,0,0,NA,19.6,4,3.836889553,NA,NA
497322,Emmanuel Sanders,DEN,WR,28,5,7,13,13,13,NA,18,0,0,0,NA,14.4,3.4,3.31285078,NA,NA
2495700,Greg Olsen,CAR,TE,30,8,5,13,13,13,NA,2,0.5,1,0,NA,2.5,0.9,2.346643493,NA,NA
2532841,Michael Floyd,ARI,WR,26,3,9,13,13,13,NA,18,0,0,0,NA,35.5,6,5.583685463,NA,NA
2532865,T.Y. Hilton,IND,WR,26,3,10,13,13,13,NA,18,0,0,0,NA,20.4,3.8,3.662209962,NA,NA
2532903,Rishard Matthews,MIA,WR,26,3,5,13,13,13,NA,18,0,0,0,NA,29.3,3.9,3.749549757,NA,NA
2532977,Kendall Wright,TEN,WR,26,3,4,13,13,13,NA,18,0.25,0,0,NA,32.1,4.3,4.098908939,NA,NA
2543572,Martavis Bryant,PIT,WR,24,1,11,13,13,13,NA,18,0.5,0,0,NA,17,3.9,3.749549757,NA,NA
1062,Martellus Bennett,CHI,TE,28,7,7,12.5,12.5,12.5,NA,3,0,0,0,NA,5.4,1.5,3.076238584,NA,NA
71269,Michael Crabtree,OAK,WR,28,6,6,12.5,12.5,12.5,NA,25,0,0,0,NA,32.5,5,4.710287508,NA,NA
2495448,Randall Cobb,GB,WR,25,4,7,12.5,12.5,12.5,NA,25,0,0,0,NA,16.3,3.4,3.31285078,NA,NA
2495966,Delanie Walker,TEN,TE,31,9,4,12.5,12.5,12.5,NA,3,0,1,0,NA,8.5,1.7,3.319436948,NA,NA
2507183,James Jones,GB,WR,31,8,7,12.5,12.5,12.5,NA,25,0,0,0,NA,27.7,3.3,3.225510984,NA,NA
2507763,Mike Wallace,MIN,WR,29,6,5,12.5,12.5,12.5,NA,25,0,0,0,NA,40.2,3.7,3.574870166,NA,NA
2532853,Ladarius Green,SD,TE,25,3,10,12.5,12.5,12.5,NA,3,0,1,0,NA,9.6,3,4.900226312,NA,NA
2540148,Tyler Eifert,CIN,TE,25,2,7,12.5,12.5,12.5,NA,3,0.25,1,0,NA,2.8,0.9,2.346643493,NA,NA
2540258,Travis Kelce,KC,TE,26,2,9,12.5,12.5,12.5,NA,3,0.75,1,0,NA,4.3,1.2,2.711441039,NA,NA
2543498,Brandin Cooks,NO,WR,22,1,11,12.5,12.5,12.5,NA,25,0.25,0,0,NA,27.4,3.7,3.574870166,NA,NA
2543614,Donte Moncrief,IND,WR,22,1,10,12.5,12.5,12.5,NA,25,0.5,0,0,NA,24.7,3.7,3.574870166,NA,NA
2532842,Nick Foles,STL,QB,26,3,6,12.3,12.3,12.3,NA,24,0.6,0,0,NA,25.2,1.7,2.621054572,NA,NA
1060,Gary Barnidge,CLE,TE,30,7,11,12,12,12,NA,8,0.75,0,0,NA,6.1,1.7,3.319436948,NA,NA
2505076,Josh McCown,CLE,QB,36,13,11,12,12,12,NA,25,0.75,0,0,NA,23.6,2.7,6.072374364,NA,NA
2530747,Doug Baldwin,SEA,WR,27,4,9,12,12,12,NA,31,0.25,0,0,NA,48.8,3.8,3.662209962,NA,NA
2552487,Amari Cooper,OAK,WR,21,0,6,12,12,12,NA,31,0.75,0,0,NA,22.5,3.5,3.400190575,NA,NA
2649,Danny Amendola,NE,WR,30,7,4,11.5,11.5,11.5,NA,33,0.5,0,0,NA,43.8,6,5.583685463,NA,NA
497236,Jimmy Graham,SEA,TE,29,5,9,11.5,11.5,11.5,NA,9,0.5,0,0,NA,7.5,1.6,3.197837766,NA,NA
2495186,Colin Kaepernick,SF,QB,28,4,10,11.4,11.4,11.4,NA,26,1.95,0,0,NA,26.2,1.5,1.930790614,NA,NA
382,Joe Flacco,BAL,QB,30,7,9,11.1,11.1,11.1,NA,27,3.3,0,0,NA,17.9,2.9,6.762638322,NA,NA
2505629,Jason Witten,DAL,TE,33,12,6,11,11,11,NA,10,3.25,0,0,NA,9.5,2,3.684234494,NA,NA
2505785,Malcom Floyd,SD,WR,34,11,10,11,11,11,NA,34,2,0,0,NA,49.8,5.7,5.321666076,NA,NA
2506366,Roddy White,ATL,WR,34,10,10,11,11,11,NA,34,4.25,0,0,NA,48.5,5.1,4.797627303,NA,NA
2543466,Eric Ebron,DET,TE,22,1,9,11,11,11,NA,10,6.5,0,0,NA,10.5,2.3,4.049032039,NA,NA
2506404,Frank Gore,IND,RB,32,10,10,8,8,8,NA,18,1.5,0,0,NA,17.7,2.4,3.25872638,NA,NA
2506562,Matt Cassel,DAL,QB,33,10,6,7.8,7.8,7.8,NA,28,NA,0,0,NA,27.7,1.4,1.585658635,NA,NA
2532790,Travis Benjamin,CLE,WR,26,3,11,7,7,7,NA,36,0.5,0,0,NA,28.8,4.4,4.186248735,NA,NA
4327,Danny Woodhead,SD,RB,30,7,10,6.5,6.5,6.5,NA,19,0,0,0,NA,17.1,2.8,3.657517574,NA,NA
