"","Player","Points","FD_Salary"
"11","Cousins, Kirk","28.96","$6,500"
"13","Cutler, Jay","24.72","$7,000"
"14","Flacco, Joe","22.34","$7,500"
"15","Rodgers, Aaron","22.12","$9,200"
"16","Manning, Eli","21.44","$7,400"
"17","Palmer, Carson","21.32","$8,000"
"18","Newton, Cam","20.98","$8,200"
"19","Carr, Derek","19.28","$7,500"
"20","Brady, Tom","19.26","$9,100"
"21","Wilson, Russell","17.8","$7,600"
"22","Manziel, Johnny","17.58","$6,100"
"23","Bortles, Blake","17.02","$7,800"
"24","Stafford, Matthew","16.78","$6,900"
"25","Fitzpatrick, Ryan","16.72","$7,200"
"26","Tannehill, Ryan","16.48","$7,100"
"27","Smith, Alex","15.46","$6,000"
"28","Winston, Jameis","14.86","$6,800"
"29","Brees, Drew","14.36","$8,600"
"30","Bradford, Sam","13.44","$7,300"
"31","Bridgewater, Teddy","11.9","$6,700"
"32","Taylor, Tyrod","11.52","$7,200"
"33","Osweiler, Brock","10.64","$5,600"
"34","Dalton, Andy","9.88","$8,100"
"35","Mariota, Marcus","8.8","$7,300"
"36","Foles, Nick","7","$6,400"
"37","Cassel, Matt","6.64","$6,300"
"39","Sanchez, Mark","5.64","$5,500"
"40","Hoyer, Brian","5.42","$6,800"
"41","Jones, Landry","0.92","$6,200"
"42","Keenum, Case","0","$4,800"
"43","Webb, Joe","0","$4,800"
"44","McCoy, Colt","0","$4,800"
"45","Manning, Peyton","-2.6","$7,700"
"48","Langford, Jeremy","33.7","$6,200"
"49","West, Charcandrick","29.6","$6,400"
"50","Peterson, Adrian","28.6","$8,600"
"51","Jones, Matt","26.2","$5,600"
"52","McCoy, LeSean","18.4","$7,400"
"53","Miller, Lamar","18.3","$7,200"
"54","Gurley, Todd","16.4","$9,200"
"55","Ellington, Andre","16.3","$5,400"
"56","Stewart, Jonathan","15.1","$6,600"
"57","Murray, DeMarco","14.9","$7,700"
"58","Blount, LeGarrette","14.7","$6,900"
"59","Starks, James","12.6","$6,000"
"60","Ivory, Chris","12.5","$7,000"
"61","Martin, Doug","12.3","$6,700"
"62","Hillman, Ronnie","12.1","$5,900"
"63","Morris, Alfred","12.1","$5,200"
"64","Williams, Karlos","11.5","$6,100"
"65","Lynch, Marshawn","11.5","$8,000"
"66","Ingram, Mark","11.3","$7,500"
