playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2506363,Aaron Rodgers,GB,QB,33,11,4,21.76,21.76,21.76,NA,1,2.372,1,0,NA,NA,NA,NA,NA,NA
310,Matt Ryan,ATL,QB,31,8,11,19.82,19.82,19.82,NA,2,2.785,1,0,NA,NA,NA,NA,NA,NA
2504211,Tom Brady,NE,QB,39,16,9,18.956,18.956,18.956,NA,3,11.227,1,0,NA,NA,NA,NA,NA,NA
2540175,LeVeon Bell,PIT,RB,24,3,8,18.11,18.11,18.11,NA,1,5.515,1,0,NA,NA,NA,NA,NA,NA
2506109,Ben Roethlisberger,PIT,QB,34,12,8,15.114,15.114,15.114,NA,4,14.865,1,0,NA,NA,NA,NA,NA,NA
2543583,Devonta Freeman,ATL,RB,24,2,11,13.79,13.79,13.79,NA,2,2.87,1,0,NA,NA,NA,NA,NA,NA
2508061,Antonio Brown,PIT,WR,28,6,8,12.86,12.86,12.86,NA,1,0.755,1,0,NA,NA,NA,NA,NA,NA
2495454,Julio Jones,ATL,WR,27,5,11,12.79,12.79,12.79,NA,2,1.625,1,0,NA,NA,NA,NA,NA,NA
2543495,Davante Adams,GB,WR,24,2,4,11.42,11.42,11.42,NA,3,1.32,1,0,NA,NA,NA,NA,NA,NA
2552453,Tevin Coleman,ATL,RB,23,1,11,11.4,11.4,11.4,NA,3,1.505,1,0,NA,NA,NA,NA,NA,NA
238498,Julian Edelman,NE,WR,30,7,9,10.91,10.91,10.91,NA,4,2.905,0,0,NA,NA,NA,NA,NA,NA
2495469,Dion Lewis,NE,RB,26,5,9,10.44,10.44,10.44,NA,4,3.71,0,0,NA,NA,NA,NA,NA,NA
497149,LeGarrette Blount,NE,RB,30,6,9,9.35,9.35,9.35,NA,5,6.125,0,0,NA,NA,NA,NA,NA,NA
2495448,Randall Cobb,GB,WR,26,5,4,9.29,9.29,9.29,NA,5,2.935,0,0,NA,NA,NA,NA,NA,NA
71265,Jared Cook,GB,TE,29,7,4,8.01,8.01,8.01,NA,1,1.865,1,0,NA,NA,NA,NA,NA,NA
2550617,Taylor Gabriel,ATL,WR,25,2,11,6.72,6.72,6.72,NA,6,1.025,0,0,NA,NA,NA,NA,NA,NA
1062,Martellus Bennett,NE,TE,29,8,9,6.68,6.68,6.68,NA,2,1.76,1,0,NA,NA,NA,NA,NA,NA
1032,Jordy Nelson,GB,WR,31,8,4,5.99,5.99,5.99,NA,7,0.86,0,0,NA,NA,NA,NA,NA,NA
2552633,Jesse James,PIT,TE,22,1,8,5.61,5.61,5.61,NA,3,1.715,1,0,NA,NA,NA,NA,NA,NA
2533040,Mohamed Sanu,ATL,WR,27,4,11,5.4,5.4,5.4,NA,8,0.61,0,0,NA,NA,NA,NA,NA,NA
2530515,Chris Hogan,NE,WR,28,5,9,4.86,4.86,4.86,NA,9,0.345,0,0,NA,NA,NA,NA,NA,NA
2553737,Eli Rogers,PIT,WR,NA,NA,8,4.72,4.72,4.72,NA,10,0.415,0,0,NA,NA,NA,NA,NA,NA
2556460,Geronimo Allison,GB,WR,22,0,4,4.31,4.31,4.31,NA,11,0.305,0,0,NA,NA,NA,NA,NA,NA
2555216,Malcolm Mitchell,NE,WR,23,0,9,4.3,4.3,4.3,NA,12,0.75,0,0,NA,NA,NA,NA,NA,NA
2532853,Ladarius Green,PIT,TE,26,4,8,4.23,4.23,4.23,NA,4,1.15,0,0,NA,NA,NA,NA,NA,NA
2543773,James White,NE,RB,24,2,9,4.11,4.11,4.11,NA,6,1.795,0,0,NA,NA,NA,NA,NA,NA
2532841,Michael Floyd,NE,WR,27,4,9,3.71,3.71,3.71,NA,13,0.535,0,0,NA,NA,NA,NA,NA,NA
2555415,Austin Hooper,ATL,TE,NA,0,11,3.56,3.56,3.56,NA,5,1.245,0,0,NA,NA,NA,NA,NA,NA
2552418,Justin Hardy,ATL,WR,25,1,11,3.39,3.39,3.39,NA,14,0.475,0,0,NA,NA,NA,NA,NA,NA
2504797,Matt Bryant,ATL,K,41,14,11,3.1,3.1,3.1,NA,1,0.1,1,0,NA,NA,NA,NA,NA,NA
2506922,Stephen Gostkowski,NE,K,32,10,9,3.1,3.1,3.1,NA,1,0.55,0,0,NA,NA,NA,NA,NA,NA
2552429,Ty Montgomery,GB,WR,23,1,4,2.96,2.96,2.96,NA,15,0.25,0,0,NA,NA,NA,NA,NA,NA
2507232,Mason Crosby,GB,K,32,9,4,2.9,2.9,2.9,NA,3,0.7,1,0,NA,NA,NA,NA,NA,NA
2649,Danny Amendola,NE,WR,31,8,9,2.87,2.87,2.87,NA,16,0.555,0,0,NA,NA,NA,NA,NA,NA
2540203,Levine Toilolo,ATL,TE,25,3,11,2.6,2.6,2.6,NA,6,1.155,0,0,NA,NA,NA,NA,NA,NA
2552470,Sammie Coates,PIT,WR,23,1,8,2.55,2.55,2.55,NA,17,0.54,0,0,NA,NA,NA,NA,NA,NA
2539322,Christine Michael,GB,RB,26,3,4,2.34,2.34,2.34,NA,7,0.8,0,0,NA,NA,NA,NA,NA,NA
2552477,Aaron Ripkowski,GB,RB,NA,NA,4,2.29,2.29,2.29,NA,8,1.57,0,0,NA,NA,NA,NA,NA,NA
2550545,Chris Boswell,PIT,K,27,2,8,2.2,2.2,2.2,NA,4,NA,1,0,NA,NA,NA,NA,NA,NA
2495331,Aldrick Robinson,ATL,WR,28,5,11,2.08,2.08,2.08,NA,18,0.41,0,0,NA,NA,NA,NA,NA,NA
2550313,Richard Rodgers,GB,TE,24,2,4,2.03,2.03,2.03,NA,7,1.36,0,0,NA,NA,NA,NA,NA,NA
2539203,Cobi Hamilton,PIT,WR,26,3,8,1.94,1.94,1.94,NA,19,0.83,0,0,NA,NA,NA,NA,NA,NA
2543750,Jeff Janis,GB,WR,25,2,4,1.4,1.4,1.4,NA,20,0.785,0,0,NA,NA,NA,NA,NA,NA
2553554,Matt Lengel,NE,TE,NA,NA,9,0.86,0.86,0.86,NA,8,0.485,0,0,NA,NA,NA,NA,NA,NA
80427,Darrius Heyward-Bey,PIT,WR,29,7,8,0.82,0.82,0.82,NA,21,0.455,0,0,NA,NA,NA,NA,NA,NA
2495979,DeAngelo Williams,PIT,RB,33,10,8,0.79,0.79,0.79,NA,9,0.245,0,0,NA,NA,NA,NA,NA,NA
2553762,Terron Ward,ATL,RB,NA,NA,11,0.65,0.65,0.65,NA,10,0.265,0,0,NA,NA,NA,NA,NA,NA
2550521,Xavier Grimble,PIT,TE,24,2,8,0.48,0.48,0.48,NA,9,0.345,0,0,NA,NA,NA,NA,NA,NA
2550738,Fitzgerald Toussaint,PIT,RB,26,2,8,0.44,0.44,0.44,NA,11,0.135,0,0,NA,NA,NA,NA,NA,NA
2555413,Trevor Davis,GB,WR,23,0,4,0.41,0.41,0.41,NA,22,0.25,0,0,NA,NA,NA,NA,NA,NA
2539287,Landry Jones,PIT,QB,27,3,8,0.344,0.344,0.344,NA,5,0.215,1,0,NA,NA,NA,NA,NA,NA
497206,James Starks,GB,RB,30,6,4,0.33,0.33,0.33,NA,12,0.085,0,0,NA,NA,NA,NA,NA,NA
2507029,Eric Weems,ATL,WR,31,9,11,0.32,0.32,0.32,NA,23,0.32,0,0,NA,NA,NA,NA,NA,NA
2530763,Patrick DiMarco,ATL,RB,27,5,11,0.28,0.28,0.28,NA,13,0.09,0,0,NA,NA,NA,NA,NA,NA
79589,David Johnson,PIT,TE,29,7,8,0.27,0.27,0.27,NA,10,0.27,0,0,NA,NA,NA,NA,NA,NA
2532797,Brandon Bolden,NE,RB,26,4,9,0.21,0.21,0.21,NA,14,0.07,0,0,NA,NA,NA,NA,NA,NA
2508101,James Develin,NE,RB,28,6,9,0.17,0.17,0.17,NA,15,0.06,0,0,NA,NA,NA,NA,NA,NA
2505982,Matt Schaub,ATL,QB,35,12,11,0.154,0.154,0.154,NA,6,0.086,0,0,NA,NA,NA,NA,NA,NA
2550235,Roosevelt Nix,PIT,RB,NA,NA,8,0.11,0.11,0.11,NA,16,NA,0,0,NA,NA,NA,NA,NA,NA
2543801,Jimmy Garoppolo,NE,QB,25,2,9,0.104,0.104,0.104,NA,7,0.088,0,0,NA,NA,NA,NA,NA,NA
2552588,Brett Hundley,GB,QB,23,1,4,0.032,0.032,0.032,NA,8,0.032,0,0,NA,NA,NA,NA,NA,NA
2543605,Zach Mettenberger,PIT,QB,25,2,8,0,0,0,NA,9,0,0,0,NA,NA,NA,NA,NA,NA
2553292,Kennard Backman,DET,TE,23,1,10,0,0,0,NA,11,NA,0,0,NA,NA,NA,NA,NA,NA
2556492,Joe Callahan,GB,QB,23,0,4,0,0,0,NA,9,NA,0,0,NA,NA,NA,NA,NA,NA
2556528,D.J. Foster,NE,WR,NA,0,9,0,0,0,NA,24,NA,0,0,NA,NA,NA,NA,NA,NA
