playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2504211,Tom Brady,NE,QB,40,17,9,21.6394,21.6394,21.6394,NA,1,0.6659,1,0,NA,1.2,0.5,0.90549344,NA,NA
2506121,Philip Rivers,LAC,QB,36,13,9,21.5912,21.5912,21.5912,NA,2,1.261,1,0,NA,4.4,1.5,2.892533388,NA,NA
2555259,Carson Wentz,PHI,QB,25,1,10,20.3558,20.3558,20.3558,NA,3,0.5272,1,0,NA,3.7,1.9,3.687349367,NA,NA
2532820,Kirk Cousins,WAS,QB,29,5,5,20.3046,20.3046,20.3046,NA,4,0.9639,0,0,NA,4.8,1.5,2.892533388,NA,NA
310,Matt Ryan,ATL,QB,32,9,5,19.3526,19.3526,19.3526,NA,5,0.0967,0,0,NA,11.9,2.5,4.879573336,NA,NA
2506109,Ben Roethlisberger,PIT,QB,35,13,9,19.3288,19.3288,19.3288,NA,6,0.2959,0,0,NA,11.6,2.8,5.475685321,NA,NA
2504775,Drew Brees,NO,QB,38,16,5,19.183,19.183,19.183,NA,7,0.3134,0,0,NA,6.9,1.3,2.495125399,NA,NA
2555334,Jared Goff,LAR,QB,23,1,8,18.8828,18.8828,18.8828,NA,8,0.1191,0,0,NA,8,1.8,3.488645373,NA,NA
2543477,Blake Bortles,JAC,QB,26,3,8,18.8564,18.8564,18.8564,NA,9,0.4479,0,0,NA,18.8,3.1,6.071797305,NA,NA
2532975,Russell Wilson,SEA,QB,29,5,6,18.671,18.671,18.671,NA,10,0.7919,0,0,NA,2.4,1.3,2.495125399,NA,NA
2552033,Jameis Winston,TB,QB,23,2,1,18.146,18.146,18.146,NA,11,0.6513,0,0,NA,16.5,3.6,7.06531728,NA,NA
2495240,Tyrod Taylor,BUF,QB,28,6,6,17.6122,17.6122,17.6122,NA,12,0.3952,0,0,NA,11,2.4,4.680869342,NA,NA
2505076,Josh McCown,NYJ,QB,38,15,11,17.3772,17.3772,17.3772,NA,13,0.354,0,0,NA,15.1,3.8,7.462725269,NA,NA
2495455,Cam Newton,CAR,QB,28,6,11,17.0568,17.0568,17.0568,NA,14,0.0954,0,0,NA,6,1.8,3.488645373,NA,NA
2506340,Alex Smith,KC,QB,33,12,10,16.9896,16.9896,16.9896,NA,15,0.419,0,0,NA,16.3,3.7,7.264021274,NA,NA
