"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,5.75,5.75,5.75,,17,0.125,0,46,23.4,4,5.96780245343193
"A.J. Derby","TE","DEN",2552580,1991-09-20,5,5,5,,14,0.25625,0,1,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,12.2875,12.2875,12.2875,,5,0.36125,0,5,3.7,1.4,2.26602756699627
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,25,0,0,2,,,
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,,92,0,0,0,,,
"Aaron Dobson","WR","ARI",2539256,1991-07-23,0,0,0,,92,0,0,3,,,
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,,25,0,0,2,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,60,0,0,1,87.1,3.5,3.58071399462512
"Aaron Rodgers","QB","GB",2506363,1983-12-02,0,0,0,,25,0,0,11,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,6.045,6.045,6.045,,51,0.0762500000000008,0,1,88.1,8.3,5.71344377894065
"Adam Thielen","WR","MIN",2541785,1990-08-22,0,0,0,,92,0,0,2,8.7,1.9,2.51584033597775
"Adam Vinatieri","K","IND",2503471,1972-12-28,7.2,7.2,7.2,,16,0.3,0,20,18.1,3.5,4.94563588462671
"Adrian Peterson","RB","MIN",2507164,1985-03-21,11.0925,11.0925,11.0925,,6,0.92375,0,9,,,
"Alan Cross","TE","TB",2556508,1993-05-02,0,0,0,,42,0,0,0,72,15,9.24576814617129
"Albert Wilson","WR","KC",2550272,1992-07-12,0,0,0,,92,0,0,2,67.8,6.6,4.86408036440363
"Aldrick Robinson","WR","ATL",2495331,1988-09-24,4.6625,4.6625,4.6625,,60,0.12125,0,5,,,
"Alex Erickson","WR","CIN",2556519,1992-11-06,0.6,0.6,0.6,,84,0.10625,0,0,105.6,9.6,6.36295697829248
"Alex Smith","QB","KC",2506340,1984-05-07,17.9,17.9,17.9,,4,0.675000000000001,0,11,4.2,2.8,5.1045396906816
"Alex Tanney","QB","FA",2534870,1987-11-11,0,0,0,,25,0,0,4,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,2.5925,2.5925,2.5925,,44,0.085,0,2,68.9,5.7,4.78861697792289
"Alfred Morris","RB","DAL",2533457,1988-12-12,2.575,2.575,2.575,,45,0.33375,0,4,17.6,3.8,3.74542803780209
"Allen Hurns","WR","JAC",2550353,1991-11-21,8.775,8.775,8.775,,27,0.154999999999999,0,2,95.1,16.3,9.71044808264427
"Allen Robinson","WR","JAC",2543509,1993-08-24,0,0,0,,92,0,0,2,,,
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,8.8375,8.8375,8.8375,,26,0.131249999999998,0,4,,,
"Amari Cooper","WR","OAK",2552487,1994-06-18,12.1875,12.1875,12.1875,,6,0.648749999999998,0,1,43.6,16.8,9.96026085162574
"Ameer Abdullah","RB","DET",2552374,1993-06-13,9.0625,9.0625,9.0625,,11,0.224999999999998,0,1,50.2,11.1,7.75346975510832
"Andre Ellington","RB","ARI",2539217,1989-02-03,4.825,4.825,4.825,,36,0.260000000000001,0,3,,,
"Andre Holmes","WR","OAK",2495453,1988-06-16,4.5,4.5,4.5,,63,0.0962499999999995,0,5,,,
"Andre Roberts","WR","DET",497320,1988-01-09,0.8,0.8,0.8,,82,0.14375,0,6,,,
"Andre Williams","RB","SD",2543565,1992-08-28,0,0,0,,60,0,0,2,,,
"Andrew Hawkins","WR","CLE",2508097,1986-03-10,0,0,0,,92,0,0,5,,,
"Andrew Luck","QB","IND",2533031,1989-09-12,0,0,0,,25,0,0,4,,,
"Andrew Turzilli","WR","DET",2553829,1991-10-13,0,0,0,,92,0,0,1,,,
"Andy Dalton","QB","CIN",2495143,1987-10-29,10.76,10.76,10.76,,18,0.150000000000002,0,5,20.2,3.4,6.26251780284702
"Andy Janovich","RB","DEN",2555432,1993-05-23,0,0,0,,60,0,0,0,84.5,9.5,6.87499485816449
"Anquan Boldin","WR","DET",2505587,1980-10-03,0,0,0,,92,0,0,13,,,
