playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2504211,Tom Brady,NE,QB,38,15,4,20.652,20.652,20.652,NA,1,1.84,1,0,NA,2.8,1.1,2.180214111,NA,NA
2506363,Aaron Rodgers,GB,QB,32,10,7,18.872,18.872,18.872,NA,2,0.423,1,0,NA,5.4,1.2,2.444569039,NA,NA
2505245,Carson Palmer,ARI,QB,36,12,9,18.752,18.752,18.752,NA,3,0.778,0,0,NA,3.5,1.2,2.444569039,NA,NA
2504775,Drew Brees,NO,QB,36,14,11,18.146,18.146,18.146,NA,4,0.563,0,0,NA,6.9,1.9,4.295053528,NA,NA
79860,Matthew Stafford,DET,QB,27,6,9,17.802,17.802,17.802,NA,5,0.959,0,0,NA,7.4,2.2,5.088118309,NA,NA
2543477,Blake Bortles,JAC,QB,24,1,8,17.364,17.364,17.364,NA,6,1.235,0,0,NA,7.3,1.4,2.973278893,NA,NA
2506121,Philip Rivers,SD,QB,34,11,10,16.322,16.322,16.322,NA,7,0.427,0,0,NA,14.9,3.8,9.317797142,NA,NA
2543499,Derek Carr,OAK,QB,24,1,6,15.936,15.936,15.936,NA,8,0.195,0,0,NA,12.9,2.8,6.674247871,NA,NA
2506581,Ryan Fitzpatrick,NYJ,QB,33,10,5,15.854,15.854,15.854,NA,9,0.859,0,0,NA,11,2.2,5.088118309,NA,NA
2506109,Ben Roethlisberger,PIT,QB,33,11,11,15.628,15.628,15.628,NA,10,1.317,0,0,NA,9.9,1.9,4.295053528,NA,NA
2507164,Adrian Peterson,MIN,RB,30,8,5,15.04,15.04,15.04,NA,1,1.39,1,0,NA,1.1,0.4,-0.324359322,NA,NA
2532956,Ryan Tannehill,MIA,QB,27,3,5,14.362,14.362,14.362,NA,11,0.829,0,0,NA,17.1,2.5,5.88118309,NA,NA
310,Matt Ryan,ATL,QB,30,7,10,14.26,14.26,14.26,NA,12,1.525,0,0,NA,16.3,2.6,6.145538017,NA,NA
79607,LeSean McCoy,BUF,RB,27,6,8,13.95,13.95,13.95,NA,2,1.23,1,0,NA,3.3,1.8,2.925976311,NA,NA
2553435,David Johnson,ARI,RB,24,0,9,13.35,13.35,13.35,NA,3,1.455,1,0,NA,4,2.3,4.086810465,NA,NA
2495454,Julio Jones,ATL,WR,26,4,10,12.99,12.99,12.99,NA,1,0.69,1,0,NA,2,1.7,1.785972439,NA,NA
