"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,5.95,5.95,5.95,,22,0.125,0,47,,,
"A.J. Derby","TE","MIA",2552580,1991-09-20,4.1375,4.1375,4.1375,,36,0.09375,0,2,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,14.925,14.925,14.925,,3,0.268749999999999,0,6,,,
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,31,0,0,3,,,
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,,124,0,0,1,,,
"Aaron Dobson","WR","FA",2539256,1991-07-23,0,0,0,,124,0,0,4,,,
"Aaron Jones","RB","GB",2558116,1994-12-02,0,0,0,,83,0,0,0,,,
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,,31,0,0,3,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,83,0,0,2,,,
"Aaron Rodgers","QB","GB",2506363,1983-12-02,22.71,22.71,22.71,,2,3.165,1,12,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,0,0,0,,124,0,0,2,,,
"Adam Shaheen","TE","CHI",2558144,1994-01-01,2.4625,2.4625,2.4625,,53,0.14375,0,0,,,
"Adam Thielen","WR","MIN",2541785,1990-08-22,9.9125,9.9125,9.9125,,36,0.0475000000000012,0,3,,,
"Adam Vinatieri","K","IND",2503471,1972-12-28,8.7,8.7,8.7,,15,0.0500000000000007,0,21,,,
"Adrian Peterson","RB","ARI",2507164,1985-03-21,7.405,7.405,7.405,,41,0.1925,0,10,,,
"Akeem Hunt","RB","KC",2553660,1993-02-22,0,0,0,,83,0,0,2,,,
"Alan Cross","TE","TB",2556508,1993-05-02,0,0,0,,63,0,0,1,,,
"Albert Wilson","WR","KC",2550272,1992-07-12,2.95,2.95,2.95,,100,0.09375,0,3,,,
"Aldrick Robinson","WR","SF",2495331,1988-09-24,0,0,0,,124,0,0,6,,,
"Aldrick Rosas","K","NYG",2556771,1994-12-30,7.9,7.9,7.9,,24,0.200000000000001,0,1,,,
"Alex Collins","RB","BAL",2555430,1994-08-26,0,0,0,,83,0,0,1,,,
"Alex Erickson","WR","CIN",2556519,1992-11-06,0.6,0.6,0.6,,121,0.6,0,1,,,
"Alex Smith","QB","KC",2506340,1984-05-07,12.46,12.46,12.46,,21,1.31,0,12,,,
"Alexander Armah","RB","CAR",2558833,1994-05-17,0,0,0,,83,0,0,0,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,0,0,0,,83,0,0,3,,,
"Alfred Morris","RB","DAL",2533457,1988-12-12,1.23,1.23,1.23,,78,0.24375,0,5,,,
"Allen Hurns","WR","JAC",2550353,1991-11-21,5.4125,5.4125,5.4125,,81,0.108750000000001,0,3,,,
"Allen Robinson","WR","JAC",2543509,1993-08-24,11.5375,11.5375,11.5375,,17,0.067499999999999,0,3,,,
"Alshon Jeffery","WR","PHI",2533039,1990-02-14,11.6,11.6,11.6,,16,0.0875000000000004,0,5,,,
"Alvin Kamara","RB","NO",2558019,1996-06-25,5.0875,5.0875,5.0875,,60,0.36875,0,0,,,
"Amara Darboh","WR","SEA",2557905,1994-02-01,1.85,1.85,1.85,,111,0.17875,0,0,,,
"Amari Cooper","WR","OAK",2552487,1994-06-18,14.2125,14.2125,14.2125,,7,1.0875,0,2,,,
"Amba Etta-Tawo","WR","FA",2559170,1993-11-10,0,0,0,,124,0,0,0,,,
"Ameer Abdullah","RB","DET",2552374,1993-06-13,8.265,8.265,8.265,,33,0.58125,0,2,,,
"Andre Ellington","RB","HOU",2539217,1989-02-03,0,0,0,,83,0,0,4,,,
"Andre Holmes","WR","BUF",2495453,1988-06-16,7.45,7.45,7.45,,68,0.0937500000000009,0,6,,,
"Andre Roberts","WR","ATL",497320,1988-01-09,2.8375,2.8375,2.8375,,102,0.16375,0,7,,,
"Andre Williams","RB","LAC",2543565,1992-08-28,0,0,0,,83,0,0,3,,,
"Andrew Franks","K","FA",2553648,1993-01-11,0,0,0,,31,0,0,2,,,
"Andrew Hawkins","WR","FA",2508097,1986-03-10,0,0,0,,124,0,0,6,,,
"Andrew Luck","QB","IND",2533031,1989-09-12,0,0,0,,31,0,0,5,,,
"Andy Dalton","QB","CIN",2495143,1987-10-29,15.93,15.93,15.93,,14,0.430000000000001,0,6,,,
"Andy Janovich","RB","DEN",2555432,1993-05-23,0,0,0,,83,0,0,1,,,
"Anquan Boldin","WR","FA",2505587,1980-10-03,0,0,0,,124,0,0,14,,,
"Anthony Fasano","TE","MIA",2495835,1984-04-20,0,0,0,,63,0,0,11,,,
"Anthony Sherman","RB","KC",2495340,1988-12-11,0,0,0,,83,0,0,6,,,
"Antone Smith","RB","FA",89798,1985-09-17,0,0,0,,83,0,0,8,,,
"Antonio Andrews","RB","FA",2550474,1992-08-17,0,0,0,,83,0,0,3,,,
"Antonio Brown","WR","PIT",2508061,1988-07-10,15.7,15.7,15.7,,2,0.893750000000001,1,7,,,
"Antonio Gates","TE","LAC",2505299,1980-06-18,6.05,6.05,6.05,,21,0.243749999999999,0,14,,,
"Antwan Goodley","WR","FA",2553526,1991-09-06,0,0,0,,124,0,0,2,,,
"ArDarius Stewart","WR","NYJ",2558150,1993-12-08,4.5875,4.5875,4.5875,,88,0.15625,0,0,,,
"Arrelious Benn","WR","JAC",497270,1988-09-08,0,0,0,,124,0,0,7,,,
"Artavis Scott","WR","FA",2559246,1994-12-12,0,0,0,,124,0,0,0,,,
"Asante Cleveland","TE","LAC",2550454,1992-03-21,0,0,0,,63,0,0,3,,,
"Austin Carr","WR","NO",2558928,1993-12-25,0,0,0,,124,0,0,0,,,
"Austin Davis","QB","SEA",2533349,1989-06-02,0,0,0,,31,0,0,5,,,
"Austin Ekeler","RB","LAC",2559169,1995-05-17,0,0,0,,83,0,0,0,,,
"Austin Hooper","TE","ATL",2555415,1994-10-29,6.925,6.925,6.925,,16,0.4125,0,1,,,
"Austin Seferian-Jenkins","TE","NYJ",2543683,1992-09-29,0,0,0,,63,0,0,3,,,
"Austin Traylor","TE","DEN",2556900,1993-09-03,0,0,0,,63,0,0,1,,,
"Bears","DST","CHI",100005,,5.7,5.7,5.7,,26,0.325,0,47,,,
"Beau Sandland","TE","FA",2555487,1993-02-23,0,0,0,,63,0,0,1,,,
"Ben Braunecker","TE","CHI",2556478,1994-02-07,0,0,0,,63,0,0,1,,,
"Ben Koyack","TE","JAC",2552396,1993-04-09,0,0,0,,63,0,0,2,,,
"Ben Roethlisberger","QB","PIT",2506109,1982-03-02,17.25,17.25,17.25,,10,0.0899999999999963,0,13,,,
"Bengals","DST","CIN",100006,,5.9,5.9,5.9,,23,0.15,0,47,,,
"Benjamin Watson","TE","BAL",2506122,1980-12-18,5.1,5.1,5.1,,28,0.293749999999999,0,13,,,
"Bennie Fowler","WR","DEN",2550198,1991-06-10,2.35,2.35,2.35,,109,0.29375,0,3,,,
"Benny Cunningham","RB","CHI",2541544,1990-07-07,2.8075,2.8075,2.8075,,70,0.35875,0,4,,,
"Bernard Pierce","RB","FA",2533545,1991-05-10,0,0,0,,83,0,0,5,,,
"Bilal Powell","RB","NYJ",2495328,1988-10-27,10.2225,10.2225,10.2225,,17,0.243749999999999,0,6,,,
"Bills","DST","BUF",100003,,10.3,10.3,10.3,,3,3.05,0,47,,,
"Bishop Sankey","RB","MIN",2543682,1992-09-15,0,0,0,,83,0,0,3,,,
"Blaine Gabbert","QB","ARI",2495441,1989-10-15,0,0,0,,31,0,0,6,,,
"Blair Walsh","K","SEA",2532968,1990-01-08,9,9,9,,10,0.0500000000000007,0,5,,,
"Blake Bell","TE","MIN",2552478,1991-08-07,0,0,0,,63,0,0,2,,,
"Blake Bortles","QB","JAC",2543477,1991-12-16,10.48,10.48,10.48,,24,0.74,0,3,,,
"Bralon Addison","RB","FA",2556457,1993-10-12,0,0,0,,83,0,0,1,,,
"Branden Oliver","RB","LAC",2550658,1991-05-07,5.9825,5.9825,5.9825,,53,0.19875,0,3,,,
"Brandin Cooks","WR","NE",2543498,1993-09-25,14.6875,14.6875,14.6875,,4,0.106249999999999,0,3,,,
"Brandon Allen","QB","LAR",2555365,1992-09-05,0,0,0,,31,0,0,1,,,
"Brandon Bolden","RB","NE",2532797,1990-01-26,0,0,0,,83,0,0,5,,,
"Brandon Burks","RB","FA",2556728,1993-11-01,0,0,0,,83,0,0,1,,,
"Brandon Coleman","WR","NO",2550328,1992-06-22,6.0375,6.0375,6.0375,,77,0.212499999999999,0,3,,,
"Brandon Doughty","QB","FA",2555302,1991-10-06,0,0,0,,31,0,0,1,,,
"Brandon LaFell","WR","CIN",497302,1986-11-04,7.7625,7.7625,7.7625,,65,0.103750000000001,0,7,,,
"Brandon Marshall","WR","NYG",2495893,1984-03-23,10.0625,10.0625,10.0625,,32,0.0500000000000007,0,11,,,
"Brandon McManus","K","DEN",2541556,1991-07-25,8.8,8.8,8.8,,13,0.0500000000000007,0,3,,,
"Brandon Myers","TE","FA",89766,1985-09-04,0,0,0,,63,0,0,8,,,
"Brandon Radcliff","RB","FA",2558898,1993-03-18,0,0,0,,83,0,0,0,,,
"Brandon Tate","WR","BUF",81306,1987-10-05,0.6,0.6,0.6,,121,0,0,8,,,
"Brandon Weeden","QB","TEN",2532970,1983-10-14,0,0,0,,31,0,0,5,,,
"Brandon Williams","TE","IND",2539645,1987-10-12,0,0,0,,63,0,0,5,,,
"Braxton Miller","WR","HOU",2555348,1992-11-30,6.675,6.675,6.675,,72,0.325,0,1,,,
"Brent Celek","TE","PHI",2507218,1985-01-25,2.5875,2.5875,2.5875,,49,0.0437500000000002,0,10,,,
"Brenton Bersin","WR","CAR",2535966,1990-05-09,0,0,0,,124,0,0,4,,,
"Breshad Perriman","WR","BAL",2552597,1993-09-10,9.23,9.23,9.23,,44,0.137499999999999,0,2,,,
"Brett Hundley","QB","GB",2552588,1993-06-15,0,0,0,,31,0,0,2,,,
"Brian Hill","RB","CIN",2558112,1995-11-09,0,0,0,,83,0,0,0,,,
"Brian Hoyer","QB","NE",81294,1985-10-31,10.87,10.87,10.87,,23,0.435,0,8,,,
"Brian Quick","WR","WAS",2532933,1989-06-05,5.2375,5.2375,5.2375,,83,0.128749999999999,0,5,,,
"Brice Butler","WR","DAL",2541388,1990-01-29,4.4125,4.4125,4.4125,,90,0.118749999999999,0,4,,,
