playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2553435,David Johnson,ARI,RB,25,1,9,19.49,18.252,20.312,1.083095212,1,2.645,1,2.06,NA,1.2,0.4,2.694463823,NA,NA
2495455,Cam Newton,CAR,QB,27,5,7,18.13166667,17.255,19.17,0.996863414,1,0.54202381,1,1.915,NA,10.8,3.5,6.165879334,NA,NA
2540175,LeVeon Bell,PIT,RB,24,3,8,17.89571429,15.894,19.368,1.554606059,2,2.458214286,2,3.474,NA,2.2,0.8,3.647187825,NA,NA
2532975,Russell Wilson,SEA,QB,28,4,5,17.71028571,15.968,19.696,2.10794235,2,0.463428571,1,3.728,NA,4.8,2.6,6.035448838,NA,NA
2506363,Aaron Rodgers,GB,QB,33,11,4,17.469,16.3676,19.004,1.329397339,3,0.603285714,1,2.6364,NA,NA,NA,5.777880638,NA,NA
2504775,Drew Brees,NO,QB,37,15,5,17.02471429,16.0812,18.504,1.157189679,4,0.327857143,2,2.4228,NA,2.5,2.2,4.5865858,NA,NA
2532820,Kirk Cousins,WAS,QB,28,4,9,16.70671429,13.586,20.2008,3.033762892,5,0.0595,2,6.6148,NA,8.3,3,7.460306078,NA,NA
2495186,Colin Kaepernick,SF,QB,29,5,8,16.687,15.154,18.798,2.064728715,6,0.091571429,2,3.644,NA,16.3,3.5,7.194069008,NA,NA
79860,Matthew Stafford,DET,QB,28,7,10,16.60742857,16.068,17.5308,0.751309714,7,0.077142857,2,1.4628,NA,6.6,3,5.262655506,NA,NA
2504211,Tom Brady,NE,QB,39,16,9,16.58342857,12.7936,19.292,3.508805386,8,0.116928571,2,6.4984,NA,5.5,3.1,8.051057465,NA,NA
2552033,Jameis Winston,TB,QB,22,1,6,16.47714286,16.136,17.8284,0.856163091,9,0.159380952,2,1.6924,NA,6.6,2.3,4.430102292,NA,NA
2533031,Andrew Luck,IND,QB,27,4,10,16.45585714,15.5816,18.5096,1.637601978,10,0.313880952,2,2.928,NA,NA,NA,6.371387753,NA,NA
