playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2506363,Aaron Rodgers,GB,QB,33,11,4,21.67392857,20.409,23.867,1.622882709,1,2.382946429,1,3.458,NA,1.2,0.5,3.963570499,NA,NA
2504775,Drew Brees,NO,QB,37,15,5,19.97235714,19.3238,21.6516,1.050149785,2,1.913982143,2,2.3278,NA,2.8,1.3,4.27372611,NA,NA
310,Matt Ryan,ATL,QB,31,8,11,18.60960714,15.9562,21.0302,2.6720465,3,1.293428571,2,5.074,NA,2.9,1.2,5.825843188,NA,NA
2555224,Ezekiel Elliott,DAL,RB,21,0,7,17.58803571,13.832,19.446,2.475075396,1,1.734732143,1,5.614,NA,1.1,0.3,4.260759623,NA,NA
2555260,Dak Prescott,DAL,QB,23,0,7,17.50714286,15.4444,18.708,1.916117752,4,0.433107143,3,3.2636,NA,7.3,2,5.948007563,NA,NA
2506121,Philip Rivers,SD,QB,35,12,11,17.12521429,14.4546,19.8014,3.221198357,5,0.339089286,3,5.3468,NA,6.4,1.6,6.838310186,NA,NA
2552033,Jameis Winston,TB,QB,22,1,6,17.02285714,16.2076,18.358,1.473090629,6,0.555410714,3,2.1504,NA,7.7,1.3,4.707738028,NA,NA
2540175,LeVeon Bell,PIT,RB,24,3,8,16.60357143,13.518,19.496,3.350066097,2,1.993125,1,5.978,NA,2.3,0.8,5.446383334,NA,NA
2495455,Cam Newton,CAR,QB,27,5,7,16.54939286,14.081,18.8274,2.012746223,7,0.171,3,4.7464,NA,5.4,1.6,5.598225107,NA,NA
2533031,Andrew Luck,IND,QB,27,4,10,16.3855,13.7952,19.027,2.44049591,8,0.380428571,3,5.2318,NA,NA,NA,8.715403357,NA,NA
2552466,Marcus Mariota,TEN,QB,23,1,13,16.37128571,14.4858,19.11,2.193847447,9,1.089946429,3,4.6242,NA,9.9,2.3,6.569712461,NA,NA
2495186,Colin Kaepernick,SF,QB,29,5,8,15.63885714,13.934,17.5648,2.183403067,10,0.768303571,3,3.6308,NA,13.1,4.4,8.915931334,NA,NA
2543583,Devonta Freeman,ATL,RB,24,2,11,15.10303571,13.706,17.282,1.836319592,3,1.020714286,2,3.576,NA,4.5,1.7,4.348126271,NA,NA
2532975,Russell Wilson,SEA,QB,28,4,5,14.92382143,13.762,15.9086,1.06570912,11,0.127678571,4,2.1466,NA,NA,NA,5.893855798,NA,NA
2495240,Tyrod Taylor,BUF,QB,27,5,10,14.81728571,11.728,18.496,3.69516368,12,0.215071429,4,6.768,NA,20.4,3.6,9.569383792,NA,NA
2532956,Ryan Tannehill,MIA,QB,28,4,8,14.775,13.271,16.496,1.72538999,13,0.355428571,4,3.225,NA,15.7,3,6.874638018,NA,NA
2532842,Nick Foles,KC,QB,27,4,5,14.42942857,11.4596,18.896,3.642644591,14,0.189714286,4,7.4364,NA,20.5,3.5,9.403254864,NA,NA
382,Joe Flacco,BAL,QB,31,8,8,14.40971429,13.3112,15.956,1.379340629,15,0.397,4,2.6448,NA,20,3.3,6.85623556,NA,NA
2552469,Melvin Gordon,SD,RB,23,1,11,14.11785714,11.587,15.378,1.83037662,4,0.225,2,3.791,NA,5,2,4.503870384,NA,NA
100016,Chiefs,KC,DST,NA,NA,5,14.1,13.11,14.27,0.626099034,1,1.495,1,1.16,NA,2,1.8,1.27895583,NA,NA
2506109,Ben Roethlisberger,PIT,QB,34,12,8,14.06971429,12.4492,15.721,1.706132803,16,0.245910714,4,3.2718,NA,NA,NA,7.208231157,NA,NA
2550268,Charcandrick West,KC,RB,25,2,5,14.04678571,11.955,15.776,2.115392567,5,0.345178571,2,3.821,NA,10.3,4.5,6.151837449,NA,NA
497095,Sam Bradford,MIN,QB,29,6,6,13.95571429,12.077,16.3512,2.140058143,17,0.506482143,4,4.2742,NA,18.6,3.1,7.412395775,NA,NA
2495207,DeMarco Murray,TEN,RB,28,5,13,13.73892857,10.992,16.158,2.227400791,6,0.092321429,2,5.166,NA,3.9,1.6,4.703407964,NA,NA
