,Points,Salary
0,124.22000000000001,58900.0
0,101.22000000000001,58700.0
0,162.76,59000.0
0,129.62,57600.0
0,112.14,57300.0
0,104.69999999999999,57300.0
0,116.03999999999999,57300.0
0,121.82000000000002,56300.0
0,121.04,55900.0
0,91.88000000000001,56400.0
0,137.36,56400.0
0,105.16000000000001,57400.0
0,111.11999999999999,55600.0
0,150.79999999999998,55200.0
0,120.32,55400.0
0,129.17999999999998,55500.0
0,101.94,55400.0
0,110.46000000000001,55100.0
0,120.6,59000.0
0,102.89999999999999,56300.0
0,152.14000000000001,56200.0
0,126.0,55600.0
0,97.61999999999999,57500.0
0,146.58,58200.0
0,120.62,55200.0
0,92.9,56900.0
0,104.92000000000002,56700.0
0,104.92000000000002,59600.0
0,92.97999999999999,58300.0
0,132.64,55500.0
0,93.18,59700.0
0,129.48000000000002,59400.0
0,114.13999999999999,57700.0
0,67.78,57300.0
0,119.92,56900.0
0,122.23999999999998,58300.0
0,90.06,56400.0
0,128.56,59700.0
0,120.04000000000002,58900.0
0,92.08,55600.0
0,82.625603571,58000.0
0,111.30000000000001,55100.0
0,103.66,55100.0
0,100.64,57900.0
0,103.52000000000001,56000.0
0,85.9,55100.0
0,101.15999999999998,55200.0
0,130.0,56800.0
0,93.86,55900.0
0,124.85999999999999,55300.0
0,102.64,55800.0
0,119.33999999999999,57000.0
0,88.08,58700.0
0,118.44,56300.0
0,120.1,57500.0
0,99.08000000000001,57700.0
0,111.72000000000001,57800.0
0,92.2,56400.0
0,122.54,55700.0
0,138.12,56400.0
0,81.16,57200.0
0,93.58,58400.0
0,105.88,55800.0
0,107.47999999999999,56000.0
0,119.49999999999999,57100.0
0,101.5,56000.0
0,95.22,55800.0
0,125.88,56100.0
0,117.67999999999999,57800.0
0,96.5,55100.0
0,135.04,55100.0
0,74.25999999999999,55500.0
0,98.88,55300.0
0,96.22,58000.0
