,Points,Salary,Count
0,129.82,59300.0,69
0,123.02000000000001,58100.0,70
0,106.52,58100.0,71
0,142.22000000000003,59500.0,72
0,138.04000000000002,58300.0,73
0,109.7,59400.0,74
0,102.22,58200.0,75
0,90.38000000000001,59800.0,76
0,108.91999999999999,58200.0,77
0,136.24,58400.0,78
0,135.94,59500.0,52
0,122.78,59100.0,53
0,120.27999999999999,59200.0,54
0,119.80000000000001,58900.0,55
0,87.2,59800.0,56
0,98.75999999999999,59800.0,57
0,130.6,58300.0,58
0,108.49999999999999,59800.0,59
0,138.6,59400.0,60
0,108.28,59100.0,62
0,155.07999999999998,58800.0,63
0,112.67999999999999,58100.0,64
0,155.1,59200.0,65
0,115.1,59100.0,66
0,102.94,59600.0,67
0,109.17999999999999,58500.0,35
0,112.56,58200.0,36
0,130.89999999999998,58100.0,37
0,111.47999999999999,59900.0,38
0,121.94,58600.0,39
0,130.86,58300.0,40
0,116.32,59000.0,41
0,125.52000000000001,59100.0,42
0,100.86000000000001,58800.0,43
0,121.36,59400.0,44
0,116.93999999999998,59800.0,45
0,129.7,59600.0,46
0,145.56,59100.0,47
0,145.60000000000002,58300.0,48
0,125.86,59600.0,49
0,93.18,58700.0,50
0,83.015323806,58700.0,51
0,97.64,58400.0,18
0,87.35999999999999,59900.0,19
0,114.0,58500.0,20
0,112.39999999999999,59100.0,21
0,104.99999999999999,58100.0,22
0,125.38,58100.0,23
0,107.44000000000001,58200.0,24
0,115.46,58800.0,26
0,111.72,58500.0,27
0,69.67999999999999,58100.0,28
0,139.01999999999998,58200.0,29
0,92.64,58400.0,30
0,54.48,58300.0,31
0,146.82,59500.0,33
0,102.76,59100.0,1
0,137.14,59500.0,2
0,165.44,58600.0,3
0,89.92,59000.0,4
0,88.48,58800.0,5
0,117.16,59500.0,6
0,134.68,58600.0,7
0,107.58000000000001,58600.0,8
0,106.24000000000001,58600.0,9
0,95.63999999999999,58500.0,10
0,79.96,59300.0,11
0,99.49999999999999,58600.0,12
0,128.64,59800.0,13
0,125.42,59100.0,14
0,100.96000000000001,58300.0,15
0,150.44,59600.0,16
0,132.57999999999998,58300.0,17
