,Points,Salary,Count
0,137.64,58400.0,69
0,103.7,59000.0,70
0,152.24,58900.0,71
0,126.22,58300.0,72
0,129.76,58600.0,73
0,109.27999999999999,58200.0,75
0,143.83999999999997,58700.0,76
0,120.03999999999999,58200.0,77
0,130.71999999999997,59300.0,78
0,89.57999999999998,58800.0,79
0,145.96,58100.0,53
0,126.77999999999999,59500.0,54
0,150.42000000000002,59200.0,56
0,97.58,59000.0,57
0,117.68,58900.0,58
0,127.1,59600.0,59
0,126.05999999999999,58800.0,60
0,145.92,58600.0,61
0,150.46,59700.0,62
0,148.98,58200.0,64
0,132.1,59200.0,65
0,107.57999999999998,59700.0,66
0,130.54000000000002,58900.0,67
0,103.32000000000001,58300.0,35
0,137.21999999999997,58200.0,36
0,112.80000000000001,58600.0,38
0,132.35999999999999,58200.0,39
0,103.56,58100.0,40
0,151.46,58300.0,41
0,121.88,58300.0,42
0,139.26,59100.0,43
0,93.8,58700.0,44
0,107.76,58200.0,45
0,112.94000000000001,59200.0,46
0,124.33999999999999,58400.0,47
0,104.34,59500.0,48
0,110.24000000000001,59000.0,49
0,82.7,59200.0,50
0,86.401617857,58600.0,51
0,137.3,58100.0,18
0,97.96000000000001,59200.0,19
0,169.1,58900.0,20
0,108.8,58100.0,21
0,148.26000000000002,59500.0,22
0,83.36,58300.0,23
0,122.08,58600.0,24
0,131.07999999999998,58400.0,26
0,103.80000000000001,59000.0,27
0,138.68,58400.0,29
0,137.38,59000.0,30
0,120.0,58900.0,31
0,108.28,59700.0,32
0,104.44000000000001,59600.0,1
0,121.76,58100.0,2
0,159.2,58900.0,3
0,109.16,58600.0,5
0,99.7,58200.0,6
0,134.48,58300.0,7
0,109.34,58500.0,8
0,144.78,58200.0,9
0,135.54000000000002,58200.0,10
0,113.7,58600.0,11
0,133.98000000000002,58300.0,12
0,116.64,58800.0,13
0,113.4,58700.0,14
0,102.76,58600.0,15
0,123.02000000000001,58100.0,16
