,Points,Salary,Count
0,97.8,58300.0,69
0,95.46,59400.0,70
0,134.42000000000002,58300.0,71
0,111.09999999999998,58100.0,72
0,111.14,58200.0,73
0,103.79999999999998,58800.0,74
0,148.24,58200.0,75
0,136.23999999999998,58200.0,76
0,97.98,58600.0,77
0,98.78,59900.0,78
0,152.74,58600.0,79
0,180.46,58700.0,52
0,114.32000000000001,59200.0,53
0,118.84,59500.0,54
0,169.6,59300.0,55
0,91.25999999999999,58400.0,56
0,147.49999999999997,59700.0,57
0,140.54000000000002,58200.0,58
0,129.96,59300.0,59
0,138.78,58100.0,60
0,139.32,58700.0,61
0,158.28,59000.0,62
0,134.7,59300.0,64
0,155.5,58900.0,65
0,144.5,59200.0,66
0,108.83999999999999,59400.0,67
0,113.24,58700.0,35
0,122.16,59700.0,36
0,160.88,58800.0,37
0,102.10000000000001,58700.0,38
0,115.75999999999999,58500.0,39
0,126.57999999999998,58200.0,40
0,113.56,59700.0,41
0,88.46,58300.0,42
0,112.5,58800.0,43
0,123.34,59100.0,44
0,137.06,59900.0,45
0,96.78,58100.0,46
0,125.9,59800.0,47
0,145.85999999999999,59500.0,48
0,82.54,59200.0,49
0,116.51999999999998,59900.0,50
0,86.78569999699998,58700.0,51
0,106.08000000000001,58800.0,18
0,98.42,58200.0,19
0,119.85999999999999,58400.0,20
0,125.82000000000001,59300.0,21
0,105.39999999999999,58900.0,22
0,107.16,59000.0,23
0,128.84000000000003,59700.0,24
0,145.6,58500.0,25
0,130.01999999999998,58100.0,26
0,153.74,59000.0,27
0,127.77999999999999,59300.0,28
0,127.66000000000001,58100.0,29
0,138.0,58300.0,30
0,109.13999999999999,59100.0,31
0,122.94,59300.0,32
0,106.89999999999999,58700.0,33
0,98.7,59300.0,34
0,95.82,59800.0,1
0,122.60000000000001,58500.0,2
0,121.62,58700.0,3
0,89.26,58500.0,4
0,125.42,59400.0,5
0,110.21999999999998,59300.0,6
0,98.70000000000002,58200.0,7
0,108.34,59700.0,8
0,160.57999999999998,58500.0,9
0,130.51999999999998,58500.0,10
0,131.57999999999998,58100.0,11
0,158.24,58100.0,12
0,141.1,58800.0,13
0,101.3,59500.0,14
0,120.66,58400.0,15
0,117.94000000000001,58900.0,16
