,Actual_Points,sdPts
4,33.6,0.8
6,33.4,1.4
2,31.7,1.7
26,27.6,1.5
1,27.3,2.2
77,27.2,1.9
13,25.6,1.2
7,25.0,1.3
19,24.9,1.1
47,24.3,1.2
23,22.6,2.4
3,21.8,1.9
44,20.7,1.3
17,20.6,1.5
1227,18.6,0.4
24,18.0,0.8
5,16.6,0.7
37,16.5,1.0
65,14.8,1.7
41,14.8,1.6
40,14.6,2.1
20,14.3,0.6
56,13.0,1.9
9,12.9,1.6
14,12.4,2.1
22,11.4,3.0
75,11.2,2.9
15,10.7,1.0
11,10.4,1.4
8,10.1,1.3
12,9.2,1.3
863,8.2,0.5

1,31.6,1.7
2,12.9,1.2
3,24.7,1.5
5,19.5,1.0
6,30.9,1.5
7,11.3,1.4
8,28.7,0.9
9,22.1,0.9
10,19.1,1.2
12,14.4,1.6
13,24.2,1.5
16,11.9,1.1
17,16.0,0.9
20,22.2,1.3
21,13.2,1.5
22,11.7,1.3
23,19.6,1.0
25,17.1,1.8
27,10.9,1.0
28,5.6,1.6
33,23.7,2.0
34,13.4,1.3
43,17.3,1.0
45,16.4,1.7
46,16.7,1.6
62,12.2,1.7
65,16.7,1.0
69,16.1,1.6
1137,12.2,0.5
1167,7.1,0.4

1,23.5,2.1
2,21.3,1.5
3,27.9,1.7
6,20.1,1.5
7,41.3,1.5
8,25.8,0.8
9,13.3,1.0
10,23.5,1.1
11,19.6,0.8
12,19.3,2.0
13,21.7,0.7
14,26.5,1.2
16,19.8,1.4
18,12.1,2.0
19,12.6,0.7
20,16.2,0.8
21,11.4,1.2
22,20.8,0.7
24,10.7,2.1
28,20.4,1.5
31,18.1,1.6
33,15.5,1.3
34,34.2,1.7
45,15.6,0.9
47,24.3,2.3
54,16.3,1.4
56,6.0,1.1
60,14.6,1.3
61,16.7,1.3
65,18.0,1.7
142,9.3,1.9

1,18.0,2.0
2,26.5,2.0
3,14.3,1.0
4,11.6,0.7
5,20.4,1.1
6,23.7,1.8
7,8.6,0.8
8,26.5,0.6
11,15.7,0.6
12,14.3,1.3
14,19.7,0.6
15,23.4,2.6
16,4.7,1.5
17,17.3,1.8
18,23.5,1.3
20,30.3,1.9
22,23.3,0.7
24,16.9,1.5
26,3.3,1.0
29,11.7,1.7
31,4.6,1.4
41,13.5,1.4
42,16.8,1.7
43,7.5,1.7
54,16.7,1.3
64,7.3,1.1
67,23.0,1.1
98,10.2,2.6
789,3.6,2.2
1075,12.2,0.4
1137,4.1,0.2

1,18.5,2.0
2,14.4,1.9
3,41.7,0.8
4,12.1,1.4
6,29.9,1.0
7,26.2,1.8
8,32.9,0.7
9,9.4,1.4
10,24.9,1.1
11,6.1,1.5
12,17.5,0.9
13,11.9,1.6
17,18.9,0.9
18,25.4,1.5
19,19.0,0.9
23,14.9,2.5
24,20.5,1.4
26,9.2,1.6
30,28.3,2.0
33,11.5,1.2
34,15.4,2.0
36,8.6,1.4
39,9.0,1.1
51,21.2,1.6
54,11.6,1.8
68,18.5,3.3
75,8.0,2.5
327,5.2,5.0

1,30.6,1.6
2,19.8,1.6
3,30.9,1.1
4,31.4,0.8
5,28.9,0.9
7,18.2,1.2
8,28.8,1.3
9,23.0,0.6
10,19.3,2.1
13,21.5,2.0
14,17.1,0.8
15,16.8,1.4
19,28.3,1.8
20,5.6,1.6
23,17.4,1.5
25,14.6,1.0
28,13.1,1.9
29,11.5,1.7
39,13.6,1.5
44,22.5,2.9
49,6.0,1.3
54,15.6,5.3
56,8.2,0.8
66,20.6,2.9
883,9.8,0.8
936,5.4,0.4
988,10.3,0.5

1,23.3,1.3
2,15.3,0.7
3,7.2,0.4
4,17.5,1.2
5,7.0,1.2
6,3.6,0.8
7,21.3,1.1
8,21.6,0.7
9,43.8,1.6
10,25.0,0.5
12,7.8,0.6
13,11.4,1.2
14,13.0,0.8
17,27.6,0.7
18,21.0,0.9
20,21.2,1.2
22,7.0,2.1
23,29.2,1.4
28,29.6,1.4
31,21.3,1.7
32,20.0,1.7
34,6.5,1.4
38,16.7,1.1
42,20.2,0.7
56,19.9,1.7
97,3.1,2.9
115,21.6,2.6
796,9.0,0.8
975,8.6,0.5
978,6.5,0.4
989,5.4,0.3

1,15.7,1.1
2,27.8,1.3
3,27.1,1.6
4,22.9,1.1
6,24.4,0.9
8,18.4,0.6
9,11.6,1.0
11,17.3,1.2
13,10.1,1.1
15,9.5,0.9
16,24.0,1.4
17,21.3,1.3
22,28.2,1.4
23,17.0,2.2
24,19.4,0.9
25,23.4,1.5
26,11.0,1.8
30,14.4,1.4
31,8.1,1.6
34,19.0,1.0
35,14.0,1.8
36,17.7,1.1
54,13.3,2.4
56,7.9,1.2
62,3.3,2.2
66,12.6,1.5
78,15.6,2.8
84,3.2,2.2
138,25.9,4.1
752,13.8,0.9
760,21.4,1.9
1114,22.6,0.3

1,39.2,1.8
2,22.5,2.0
3,19.7,1.1
4,12.9,2.3
6,28.6,1.6
8,25.8,1.1
9,11.8,1.9
10,17.6,1.9
12,9.8,1.3
13,15.1,1.0
14,20.2,2.0
15,21.3,0.9
17,14.4,1.5
18,19.6,0.7
20,28.9,1.2
25,23.0,1.8
26,12.8,1.8
31,25.0,2.3
35,6.5,1.0
39,23.7,3.0
40,13.5,3.6
42,17.1,1.1
43,11.1,1.7
51,15.9,1.9
52,15.0,4.9
77,17.0,1.6
268,7.2,4.8
983,8.0,0.1
1038,16.3,0.4

1,33.4,2.0
