,Points,Salary,Count
0,121.88,59100.0,69
0,125.82000000000002,59400.0,70
0,114.5,59000.0,71
0,146.79999999999998,58300.0,72
0,157.22,58300.0,73
0,116.42000000000002,58300.0,74
0,67.24,58200.0,75
0,114.99999999999999,58500.0,76
0,114.4,58700.0,77
0,112.67999999999999,58700.0,78
0,103.33999999999999,58300.0,53
0,132.03999999999996,59300.0,54
0,196.26,59800.0,55
0,110.82,59600.0,56
0,100.39999999999999,59600.0,57
0,122.86,58600.0,58
0,97.85999999999999,58500.0,59
0,153.94,58800.0,60
0,135.44,58100.0,62
0,92.88000000000001,58100.0,63
0,145.94,59800.0,64
0,120.28,59100.0,65
0,88.79999999999998,58800.0,66
0,139.84,58200.0,67
0,85.94,58400.0,35
0,114.5,58100.0,36
0,153.6,59100.0,37
0,88.4,59600.0,38
0,85.76,58500.0,39
0,120.94,59100.0,40
0,109.98,58200.0,41
0,115.88,59200.0,42
0,112.14,58400.0,43
0,121.9,58200.0,44
0,124.29999999999998,58500.0,45
0,102.44,58800.0,46
0,115.6,58200.0,47
0,100.40000000000002,59800.0,48
0,96.78,58300.0,49
0,89.32000000000001,58600.0,50
0,88.25687857100002,58800.0,51
0,96.45999999999998,58600.0,18
0,81.82000000000001,58900.0,19
0,136.46,58800.0,20
0,141.64,59000.0,21
0,99.78,58300.0,22
0,102.57999999999998,59200.0,23
0,81.68,59800.0,24
0,137.48000000000002,59500.0,25
0,101.04,58700.0,26
0,127.78,58600.0,27
0,134.2,58200.0,28
0,107.53999999999999,59300.0,29
0,106.48,58200.0,30
0,92.9,59600.0,31
0,123.80000000000001,58200.0,32
0,168.98000000000002,58100.0,33
0,159.06,59400.0,1
0,119.64000000000001,58500.0,2
0,148.12,58700.0,3
0,131.96,58100.0,4
0,103.6,58500.0,5
0,99.40000000000002,59900.0,6
0,115.76,58600.0,7
0,99.38,59800.0,8
0,115.54000000000002,59000.0,9
0,99.08,58600.0,10
0,119.38000000000001,59600.0,11
0,114.57999999999998,58200.0,12
0,136.38,58100.0,13
0,86.48,58400.0,14
0,144.00000000000003,59600.0,15
0,129.12,58400.0,16
0,127.26,58400.0,17
