,Actual_Points,sdPts
16,20.4,2.8
18,15.9,1.3
21,37.9,1.0
25,10.0,1.2
27,25.0,1.5
28,21.1,1.7
29,12.8,1.6
30,9.4,1.6
32,22.7,1.3
33,20.2,1.4
34,8.5,1.1
36,10.6,1.3
38,7.2,1.3
61,28.4,1.5
62,36.4,1.2
63,23.8,1.4
64,22.7,1.9
67,4.4,2.2
68,8.6,1.5
69,15.5,2.3
71,5.0,1.5
79,25.4,1.5
84,3.7,1.8
93,6.5,2.9
97,5.3,1.3
106,11.0,1.2
112,6.6,0.9
149,5.5,1.7
151,10.7,0.9
160,8.9,1.4
163,3.2,1.1
169,3.7,0.9
174,6.6,1.3
200,12.3,1.4
202,11.7,1.1
219,6.6,0.6
292,3.5,1.1
335,9.8,1.2
371,11.3,1.0
386,9.8,1.7
394,3.7,1.1
432,4.5,0.9
473,7.3,0.3
497,9.0,1.3
508,6.6,0.6
535,4.9,1.5
536,5.6,1.0
592,11.0,1.2
606,8.3,1.2
646,9.8,0.8
655,17.3,1.3
789,11.6,0.9
793,5.3,1.2
821,4.6,0.4
868,4.5,0.5
995,3.4,0.4
1302,6.6,0.2

4,6.3,1.0
14,21.0,1.4
18,6.5,0.6
19,19.0,1.6
24,17.8,1.5
26,15.9,1.5
29,20.3,0.9
30,12.0,1.1
31,26.6,1.4
32,16.3,1.3
36,8.2,1.4
37,9.9,1.3
39,14.2,1.1
42,12.5,1.4
44,10.7,2.0
49,7.9,2.2
52,7.3,1.4
54,8.7,1.4
55,13.7,1.1
56,7.1,1.7
73,3.1,1.9
74,15.8,1.2
78,7.9,1.4
81,23.0,1.1
84,10.2,1.5
87,8.6,2.2
106,10.4,1.5
114,5.2,2.1
117,3.8,1.8
123,4.2,2.7
133,11.7,1.2
144,7.3,1.5
150,13.3,1.3
161,9.0,1.7
198,3.5,1.0
205,7.6,0.9
221,6.9,1.4
269,7.8,1.8
308,12.7,0.6
310,3.1,1.4
315,15.4,0.6
339,5.5,0.6
348,15.3,0.8
351,22.6,1.2
355,5.2,1.5
407,13.0,1.1
417,3.6,1.3
436,11.6,0.8
648,5.5,0.9
677,6.5,1.0
875,4.5,0.5
902,4.6,0.7
930,9.1,0.9
936,3.2,0.9
1097,3.5,0.4

4,26.3,1.3
5,14.9,1.6
15,5.7,1.3
17,22.3,1.3
23,11.6,1.0
25,32.6,1.3
26,15.1,0.8
27,15.5,1.2
29,4.3,1.0
30,8.3,1.4
37,12.2,2.0
38,14.8,1.3
39,3.6,1.7
40,11.1,1.4
42,7.1,1.0
49,5.7,1.4
52,10.8,1.1
58,15.8,2.7
68,9.6,1.4
71,33.5,1.3
76,15.9,1.5
79,6.5,1.6
81,9.8,2.6
95,4.4,1.4
97,27.0,0.9
104,11.6,2.5
112,9.3,2.1
115,11.0,1.5
116,3.9,1.9
124,16.5,2.1
154,21.5,1.8
187,3.4,0.8
189,7.9,1.2
199,6.7,1.3
206,5.9,1.5
227,15.9,1.2
239,3.4,1.1
274,12.8,0.7
299,5.0,0.7
321,9.6,1.6
453,9.7,1.6
484,12.6,1.3
504,3.9,2.0
512,20.3,1.4
514,4.4,1.1
545,3.2,1.1
580,11.8,1.3
596,7.8,0.5
598,4.4,1.2
769,6.8,1.0
802,3.8,0.9
852,6.6,0.4
878,4.4,1.0
1066,13.4,0.5
1170,3.2,0.1

9,28.9,1.2
10,26.7,1.4
13,10.4,0.7
19,13.5,1.0
23,3.9,1.7
25,22.5,0.8
27,16.0,1.8
28,22.5,1.2
32,37.8,1.6
34,25.5,1.2
35,14.7,1.1
36,11.3,0.6
37,17.9,1.1
45,7.6,0.8
46,6.5,1.6
59,8.3,0.9
62,14.8,1.2
65,8.2,1.2
78,16.5,2.1
85,11.8,1.4
88,8.4,1.6
90,14.0,1.5
91,24.8,0.5
95,6.3,0.7
106,10.9,2.1
130,15.9,1.7
137,9.8,2.7
145,7.0,1.4
147,8.0,1.6
150,7.2,0.7
151,8.8,1.2
186,7.9,0.9
250,17.1,1.3
259,8.8,1.1
275,8.8,0.6
293,14.7,0.7
331,31.0,1.4
464,4.0,1.1
477,3.9,0.5
491,4.1,0.7
497,10.1,0.9
515,7.5,1.0
559,19.5,1.0
612,8.8,0.6
646,6.4,0.6
688,3.7,0.7
689,3.3,0.4
698,3.6,0.5
705,4.6,1.3
709,3.1,0.4
723,10.4,1.7
729,12.4,0.7
808,6.4,0.8
842,11.4,0.4
860,4.4,0.2

5,44.7,0.9
14,22.8,1.3
15,16.1,1.3
16,13.9,1.3
20,10.4,0.9
21,21.7,1.4
22,17.1,1.3
29,13.8,0.7
35,11.4,0.5
38,12.3,1.5
41,14.8,2.9
42,17.2,1.0
43,5.8,1.3
44,11.9,1.4
45,18.8,1.2
50,22.7,1.8
55,45.7,1.5
66,26.4,3.2
70,19.8,1.2
71,10.1,1.9
74,11.5,2.8
78,7.9,2.0
79,8.4,2.5
87,12.0,1.4
92,15.5,1.4
102,12.2,1.4
122,27.8,1.1
126,6.6,1.5
161,7.7,1.3
173,6.3,1.4
199,16.3,1.9
207,10.2,0.5
219,5.3,1.2
233,7.2,1.0
238,7.9,2.1
330,9.6,1.2
336,15.7,1.2
346,6.5,1.2
374,5.9,0.8
375,3.4,0.6
462,4.1,1.0
473,4.0,1.2
484,5.2,1.2
487,9.4,1.0
526,4.4,0.9
572,4.8,0.3
618,16.1,0.8
623,4.2,0.8
702,11.1,0.8
721,10.7,1.1
746,3.3,0.7

6,19.7,1.1
12,12.4,1.3
16,23.7,1.3
17,10.1,0.7
18,26.4,0.5
21,14.8,1.7
22,6.0,0.9
24,11.8,1.1
26,13.1,1.7
27,14.4,0.8
30,27.4,1.6
31,6.3,1.9
32,3.8,1.1
34,25.2,2.7
35,23.9,1.2
42,12.3,1.6
47,14.5,1.7
50,4.9,1.4
63,8.5,2.4
64,4.3,1.7
65,8.3,2.9
70,10.0,1.6
75,25.3,1.8
76,17.5,1.9
96,4.9,2.0
106,9.0,0.9
107,14.6,1.3
140,13.1,2.0
144,10.1,1.3
145,7.0,0.9
158,16.7,0.9
193,5.4,1.4
211,12.4,0.5
261,13.7,1.5
355,21.6,1.0
428,3.4,1.1
447,3.4,0.9
450,3.4,0.9
456,11.5,1.1
472,4.3,1.2
478,10.0,0.5
480,9.4,0.8
491,4.0,1.5
579,9.4,0.8
598,6.7,1.0
630,3.1,0.3
634,10.0,0.6
656,3.2,0.7
680,5.3,0.8
705,5.7,0.4

11,15.5,1.6
15,27.4,1.4
16,15.5,1.5
19,23.7,0.8
24,3.7,2.1
25,8.9,1.4
26,8.1,1.2
27,17.3,1.3
37,14.9,0.5
39,7.1,1.5
40,16.3,1.5
41,11.9,1.4
47,7.1,1.3
50,5.8,0.9
51,6.9,1.6
54,4.1,3.0
58,3.5,1.8
64,7.9,1.0
68,7.1,1.4
82,14.7,0.6
88,21.9,1.6
90,29.5,1.9
114,3.5,1.2
125,6.6,1.5
126,22.0,1.2
134,7.3,1.2
136,11.1,1.0
144,6.1,1.5
158,4.7,1.4
174,8.6,1.0
186,9.4,0.9
187,34.0,2.8
248,6.6,1.4
283,7.4,1.3
327,4.4,1.1
397,6.3,0.7
436,4.6,1.1
480,3.5,0.7
525,7.0,1.0
530,4.6,0.4
579,6.1,2.0
622,6.7,0.6
657,7.7,0.5
771,4.2,0.2
872,5.3,0.3
922,7.9,0.3
979,3.5,0.4

5,25.6,1.5
10,25.5,0.8
12,24.3,1.3
14,17.1,1.6
18,15.0,1.6
19,22.5,1.6
20,10.4,1.2
27,38.1,0.9
29,6.8,1.4
32,10.3,0.7
37,5.0,1.4
41,15.5,1.8
47,12.2,1.2
50,7.4,0.9
55,36.8,1.7
59,9.1,2.5
65,6.3,2.6
72,32.2,3.5
79,10.1,0.9
82,8.3,1.3
83,10.4,1.9
92,4.3,1.1
104,22.7,1.5
109,15.7,1.1
120,9.9,2.3
123,11.0,0.6
128,9.2,0.8
137,17.6,1.3
140,5.5,1.1
162,3.4,1.6
168,17.1,0.9
202,12.9,0.7
203,5.7,0.4
212,21.3,1.1
240,9.0,1.0
243,11.4,1.8
262,3.3,0.5
268,7.9,1.8
269,11.3,1.6
300,6.1,1.3
328,4.9,1.2
441,7.4,1.2
510,5.5,0.9
513,3.2,1.5
554,5.5,1.8
566,8.9,0.5
587,6.1,0.6
600,3.7,1.9
666,5.4,0.5
716,12.0,1.4
728,4.6,0.4
820,3.8,0.4

5,36.1,0.9
7,13.6,1.5
11,13.9,1.3
16,12.5,1.4
19,9.7,1.5
21,16.1,1.8
22,3.4,0.5
23,11.1,1.8
27,24.0,0.9
28,23.4,1.0
29,4.6,1.4
30,12.3,1.1
44,12.8,3.3
46,8.9,1.5
55,15.2,1.5
60,21.1,2.0
62,3.5,1.4
65,11.3,1.9
66,14.8,1.9
68,24.4,2.3
100,13.4,1.2
114,5.6,1.4
117,13.5,2.1
123,14.0,1.7
131,15.4,3.1
134,26.2,1.6
140,13.9,1.7
169,21.5,0.9
184,15.2,0.9
213,5.1,1.4
232,16.6,1.1
241,8.8,0.8
272,19.8,1.3
344,10.2,2.3
470,3.9,1.4
503,3.3,0.9
511,3.3,0.8
521,8.7,0.4
529,14.7,0.5
534,3.5,1.5
538,5.8,0.7
596,8.3,1.2
619,7.3,0.8
648,7.8,0.5
724,9.0,1.0
891,4.7,0.3
939,8.3,0.2

4,23.1,0.5
11,27.8,0.8
12,5.6,1.4
14,7.3,1.4
17,11.4,0.5
19,27.3,0.6
22,8.7,1.0
26,32.1,1.0
27,17.6,0.3
28,13.1,0.6
34,6.0,1.3
35,14.8,2.0
36,9.4,0.9
37,17.6,1.0
39,19.8,1.2
44,9.2,1.1
48,7.3,1.6
49,5.5,2.5
57,6.5,2.6
66,11.4,2.1
79,16.1,1.1
80,6.3,1.2
82,11.8,2.0
98,18.6,0.9
111,3.5,0.5
138,6.3,1.0
170,6.5,1.1
193,7.1,1.2
238,11.7,1.4
267,10.9,0.8
325,8.5,0.6
335,11.2,1.1
381,6.4,1.1
450,5.9,0.8
490,13.6,0.7
522,6.3,0.7
577,3.9,0.5
580,4.0,1.0

4,22.2,1.6
6,38.6,1.2
15,15.2,2.5
16,16.1,0.8
23,23.1,1.7
30,7.0,3.4
31,4.9,1.2
37,19.8,2.2
38,10.5,2.2
41,10.5,1.4
42,31.7,2.3
47,6.5,1.8
52,13.2,1.8
53,23.4,2.0
54,6.4,2.5
63,8.1,2.5
67,11.4,1.4
71,7.4,1.5
72,3.6,2.3
74,7.1,3.3
80,4.7,1.5
84,13.0,2.4
85,20.2,1.7
94,11.9,2.6
95,21.6,2.2
100,6.9,1.1
110,5.2,2.5
113,7.0,2.3
138,19.5,1.0
143,7.6,1.7
145,22.2,1.5
149,11.0,1.0
152,7.4,1.7
161,5.6,1.4
164,21.8,1.8
195,13.6,1.1
277,5.6,1.3
295,3.8,1.3
310,4.2,1.6
315,11.7,1.5
317,3.5,1.1
347,6.0,0.9
354,21.1,1.4
364,14.4,1.6
385,6.1,1.3
446,5.2,0.6
462,6.3,1.9
486,8.7,1.6
514,4.5,1.6
546,3.6,2.7
549,9.6,1.0
595,17.2,2.8
603,6.8,0.8
622,10.4,2.4
692,12.4,1.3
749,6.1,1.4
792,3.1,1.6
811,3.3,0.9
1009,10.1,0.8
1202,4.2,0.2

2,14.9,1.6
4,30.8,0.6
13,17.2,1.2
23,27.6,1.2
24,17.0,1.3
26,5.6,1.5
29,17.8,1.7
34,14.5,1.0
38,20.9,1.3
42,10.5,1.4
44,14.5,1.0
45,8.3,1.6
49,8.1,1.8
55,9.2,1.3
58,8.0,2.0
63,9.2,4.3
65,6.5,1.6
66,15.0,1.7
70,10.5,1.7
72,8.8,1.3
77,4.8,2.2
78,11.5,1.4
81,8.6,1.3
95,8.8,1.0
97,15.8,1.3
103,9.0,1.1
108,13.8,1.7
112,4.9,1.8
113,16.5,2.0
119,3.4,1.2
143,23.4,1.6
151,9.1,2.7
156,11.9,1.9
157,11.6,0.7
160,5.9,1.0
206,17.0,1.5
223,4.1,1.9
239,7.4,1.8
278,11.3,1.2
286,12.9,1.4
335,9.2,0.8
363,4.5,0.8
383,3.1,0.6
387,4.9,0.7
392,6.2,2.6
442,4.6,1.9
454,5.9,2.2
477,9.9,1.6
491,4.0,1.5
516,7.0,1.5
567,3.6,1.2
596,4.5,0.5
627,10.2,1.0
633,16.4,0.1
690,5.1,0.7
719,3.7,1.0
740,6.6,0.7

4,22.1,1.1
12,26.5,2.2
18,13.3,1.6
27,12.0,1.7
28,20.4,1.2
31,20.2,1.4
34,16.4,1.6
36,14.1,1.7
37,15.4,1.7
43,15.1,1.9
44,11.7,1.4
46,5.6,1.2
53,11.6,1.2
57,17.1,2.2
58,9.0,1.4
70,23.3,1.7
77,16.1,1.4
79,14.9,1.8
81,13.2,1.1
91,5.5,2.4
103,24.0,1.1
105,12.0,2.8
108,3.3,1.3
113,5.5,1.7
120,18.1,1.7
129,3.6,1.6
167,12.6,1.0
170,7.3,0.7
179,5.4,1.8
187,12.7,1.3
203,5.7,1.5
214,12.3,0.9
215,12.0,1.1
235,8.3,2.6
245,19.4,1.2
268,6.6,1.2
280,16.1,1.2
289,5.1,1.2
359,4.3,1.0
363,5.0,1.9
382,6.8,1.7
401,9.8,1.4
421,9.5,1.4
423,7.5,1.4
438,16.6,1.2
464,3.9,1.2
470,14.1,1.6
480,5.2,0.8
491,9.4,0.8
559,8.9,1.0
569,4.3,1.1
645,4.0,1.0
691,6.9,1.0
714,4.2,0.7
723,10.8,1.4
1084,7.2,0.3
1117,7.6,0.2

7,38.6,1.7
8,23.6,0.9
12,32.0,1.0
23,27.4,1.1
27,19.0,1.7
30,7.9,1.2
36,16.7,1.2
38,23.6,2.5
39,9.2,0.7
43,25.0,1.0
48,4.0,2.7
50,14.2,0.9
57,17.2,1.0
60,17.2,1.9
65,4.9,1.2
67,9.0,0.9
85,5.2,1.1
88,12.1,1.9
94,14.9,1.8
99,11.1,2.4
102,8.6,0.9
104,12.7,1.5
108,9.6,1.3
119,27.2,1.6
150,4.1,1.5
171,14.7,2.3
182,5.7,1.3
190,3.5,1.4
194,7.2,0.8
226,12.6,1.2
267,23.8,0.7
273,21.5,2.2
327,4.8,1.2
361,26.9,0.7
375,11.6,1.0
388,12.3,1.8
394,12.7,1.3
401,4.7,1.0
424,8.4,0.6
446,5.1,0.8
458,3.1,1.0
522,4.9,1.0
621,6.9,0.9
675,4.7,1.2
701,22.5,0.6
839,26.4,0.9
929,3.3,1.1
1020,3.7,0.4

8,31.3,0.9
17,20.0,0.6
18,5.4,0.7
23,11.9,0.8
24,17.8,1.3
28,20.1,0.7
29,32.5,1.3
31,26.9,1.6
36,17.5,0.8
37,22.2,2.2
38,15.9,1.8
44,19.0,2.2
57,5.1,1.1
69,8.7,1.4
71,20.3,1.4
72,12.6,1.7
77,9.6,1.2
79,5.1,1.6
80,9.5,1.6
84,6.9,2.0
90,5.6,1.6
91,4.3,1.9
94,9.2,1.8
95,7.9,1.7
102,18.7,1.9
104,5.2,2.1
117,4.0,1.2
124,8.8,1.9
132,6.2,1.3
138,11.8,1.3
158,7.1,1.7
162,13.2,1.5
164,12.4,1.4
165,21.0,0.9
181,29.6,1.4
191,6.6,1.3
219,12.5,1.4
269,15.9,1.4
277,6.3,1.3
286,10.6,1.8
290,4.3,1.0
302,3.8,1.3
331,8.2,1.6
378,3.3,1.1
386,16.6,1.3
401,4.7,0.6
404,14.5,1.0
411,8.7,0.8
466,4.9,2.0
483,14.2,1.1
492,4.3,1.1
611,8.4,1.0
681,11.7,1.3
705,7.5,1.5
1028,6.9,0.4

6,35.5,0.9
19,34.0,1.0
20,18.2,1.0
21,26.9,1.8
23,10.1,0.9
25,33.4,1.3
28,16.4,1.5
30,27.0,1.2
31,22.6,0.8
41,10.6,0.8
42,12.0,1.1
46,8.5,0.7
53,3.4,0.8
54,5.9,1.2
56,7.4,1.6
57,4.9,1.6
59,11.7,1.4
78,9.7,1.3
79,9.6,0.9
80,10.9,1.6
81,5.9,2.4
102,8.1,1.1
122,4.1,1.8
127,14.4,1.4
135,6.2,2.0
143,5.6,1.5
145,4.5,2.4
149,7.8,1.8
160,17.4,2.0
168,22.3,2.6
171,19.6,1.5
178,3.4,0.6
199,3.1,1.5
224,18.6,1.5
230,6.0,1.2
247,3.1,0.9
263,9.1,1.5
265,9.8,1.5
334,12.4,1.1
338,5.3,1.0
347,4.4,1.6
381,12.9,0.7
389,9.2,0.8
395,8.6,0.4
419,3.4,1.6
468,12.1,2.7
588,3.9,0.7
611,8.7,1.2
712,5.2,0.6
819,8.0,0.8

1,28.6,1.0
5,21.9,1.4
14,5.2,1.2
21,34.6,0.7
25,6.6,1.2
27,14.5,1.1
29,8.5,1.3
33,11.0,1.6
37,9.3,2.6
46,14.0,1.2
48,15.3,1.6
56,15.2,1.0
60,5.2,0.8
64,21.3,1.6
69,11.2,1.8
70,3.2,1.5
77,6.3,0.6
78,16.1,1.2
80,18.9,1.1
83,18.3,1.3
86,11.3,1.0
92,30.9,1.5
96,25.7,0.9
109,4.7,1.7
118,16.4,0.9
132,3.9,1.6
140,9.7,1.3
143,16.7,1.3
161,5.5,1.1
165,3.8,1.5
167,5.5,1.5
181,18.5,0.7
200,13.5,1.4
225,3.9,1.2
273,4.7,1.1
375,11.0,1.5
403,12.1,1.5
476,9.8,1.3
491,13.6,1.1
494,9.3,0.9
573,10.4,0.8
629,7.6,0.7
667,5.9,0.9
697,3.6,0.8
807,3.6,0.6
808,9.5,0.7
933,9.3,0.4

1,30.5,1.7
16,15.6,1.5
17,17.1,1.0
18,35.7,1.4
23,23.1,1.4
27,27.3,1.3
32,12.0,0.8
35,20.4,1.2
38,18.7,1.7
45,19.6,1.5
49,12.1,1.7
50,27.9,1.1
56,8.5,0.9
58,26.1,1.4
61,19.3,1.1
63,17.5,1.6
67,18.0,1.8
78,4.3,1.4
80,14.1,1.2
82,19.4,1.1
84,11.3,1.0
94,10.7,2.2
103,7.9,1.3
105,12.5,1.8
114,12.5,2.1
126,22.5,1.1
166,13.6,1.3
167,3.2,1.2
199,10.4,1.0
201,14.5,1.2
203,15.6,1.3
219,6.3,1.5
253,4.2,2.6
285,12.1,2.0
292,5.0,2.2
310,9.3,0.9
335,9.5,1.6
342,4.0,0.8
365,3.7,1.3
371,4.2,0.8
379,3.1,1.2
385,6.9,1.5
661,7.2,0.6
745,4.9,0.5

5,16.9,1.2
9,31.6,3.1
14,32.6,0.8
21,30.2,1.4
22,13.2,1.1
26,18.8,1.3
27,25.8,0.7
31,4.8,1.5
32,25.3,1.6
41,15.5,0.8
44,9.4,1.3
49,4.0,2.3
50,11.2,1.7
52,5.8,1.5
56,5.9,1.6
57,7.6,1.7
59,30.1,1.3
73,5.5,1.8
78,16.7,1.8
82,4.9,1.6
89,7.4,1.3
91,6.5,1.6
94,10.4,1.4
96,5.2,0.9
111,20.2,2.2
123,5.0,1.2
165,3.9,1.7
200,6.9,0.9
220,10.2,1.6
222,12.9,1.1
224,25.1,1.1
226,6.4,1.4
250,7.4,1.0
276,14.2,1.2
341,8.2,1.2
348,3.9,1.4
366,6.4,1.5
371,7.1,0.9
389,12.9,2.2
409,10.0,1.5
422,7.1,0.8
448,3.9,1.5
467,14.6,1.3
561,10.1,0.7
626,8.3,0.8
662,3.9,0.3
758,3.8,1.2

1,10.9,1.9
9,17.3,1.7
11,34.2,1.7
14,29.6,1.1
15,18.6,0.9
19,18.6,1.3
21,14.0,1.2
23,15.9,1.2
28,7.9,0.7
37,21.1,1.9
43,24.8,1.4
48,12.7,1.7
51,10.0,1.1
53,16.7,1.5
60,24.6,1.6
61,7.8,1.3
62,3.7,2.0
64,17.1,1.8
67,13.4,1.6
70,12.3,1.4
80,22.3,2.1
83,12.3,1.4
104,4.5,1.0
121,7.0,1.7
126,6.3,1.9
138,18.0,1.3
168,14.7,1.7
203,4.6,1.9
209,6.0,1.0
228,5.5,1.0
229,3.2,1.3
256,10.8,1.1
276,7.9,1.3
284,9.5,1.0
303,3.9,0.8
308,4.2,1.3
344,4.5,0.5
349,4.6,0.6
451,4.6,1.1
623,4.4,2.1
693,9.0,0.4
695,4.5,0.6
744,3.9,0.6
884,19.5,0.6

2,10.3,2.0
15,22.8,1.1
17,29.7,1.1
19,41.2,1.3
21,9.5,1.1
23,19.6,1.5
25,8.9,1.5
28,26.3,0.9
32,24.3,1.4
36,19.0,0.9
43,15.5,1.7
44,10.6,0.8
45,7.6,1.0
46,16.8,1.7
49,17.0,1.2
53,21.5,1.1
55,15.1,2.1
62,9.8,0.7
64,23.2,1.4
73,5.4,1.4
74,13.3,1.5
75,11.8,1.7
76,16.4,1.2
77,8.3,1.7
85,15.4,2.0
96,5.8,1.2
98,13.3,2.2
104,7.6,1.2
117,8.2,2.2
123,7.5,1.5
134,24.1,0.8
150,4.4,1.6
198,9.5,1.6
199,3.1,1.1
202,22.8,2.0
