,Actual_Points,sdPts
76,10.3,1.7
81,9.4,1.9
90,7.9,1.4
117,3.2,1.6
131,23.1,2.1
148,4.7,1.2
206,5.0,2.0
209,11.7,1.7
231,8.0,0.7
251,20.8,1.6
278,20.0,1.8
356,10.5,2.1
405,5.6,1.1
419,12.2,0.7
442,10.5,0.6
457,5.2,0.5
467,13.9,0.8
515,9.0,0.8
528,3.4,1.0
546,22.1,0.8
585,3.7,0.6
658,8.6,1.4
663,11.4,0.9
666,4.1,0.9
721,5.6,0.8
749,10.0,0.4
953,3.3,0.8
983,4.1,0.3
1073,4.5,0.7

41,20.2,1.9
71,6.9,2.6
75,7.8,3.5
93,13.2,2.1
104,5.9,3.7
109,21.2,3.4
111,9.3,2.4
197,5.4,2.0
222,14.0,3.1
230,3.5,1.7
249,19.3,1.8
313,4.4,2.7
492,8.4,0.9
502,10.5,1.5
531,10.0,1.5
535,3.1,1.9
578,5.3,0.5
580,19.5,1.3
617,3.1,0.9
619,6.6,0.8
724,4.3,1.7
734,3.6,1.3
755,3.5,0.6
756,3.9,1.1
786,4.1,0.8
817,3.3,0.4
1094,3.5,0.5
1164,4.8,0.3
1181,3.4,0.2

53,12.4,1.2
80,8.4,2.3
87,8.7,1.9
100,20.3,1.5
184,9.9,1.9
191,22.5,1.7
244,6.9,2.1
296,20.6,0.6
319,21.6,0.4
363,8.1,1.3
446,6.2,1.0
463,15.2,1.0
494,4.0,0.8
604,3.2,0.4
608,6.6,0.5
615,4.0,0.7
628,6.7,1.0
737,20.8,0.4
768,15.1,0.7
857,7.8,0.1
883,13.4,0.6
890,3.5,0.9
992,4.6,0.5

51,12.0,1.2
71,7.4,1.5
97,10.0,1.4
105,8.8,1.9
109,11.1,2.1
172,17.5,1.4
214,11.3,1.8
222,15.2,1.1
344,10.2,0.3
392,4.8,1.0
446,3.6,0.9
460,5.0,0.4
469,10.2,0.8
513,3.7,0.5
545,10.1,0.5
550,15.1,0.4
580,3.6,0.3
600,7.3,0.4
618,12.9,0.9
621,4.9,0.1
624,6.4,0.5
661,11.1,1.0
677,3.8,0.4
678,6.1,0.9
730,3.2,0.8
777,15.7,0.7
784,3.9,0.4
846,4.4,0.3
861,10.5,0.7
916,5.3,0.5
995,4.0,0.2

40,9.0,1.5
82,14.2,2.3
83,17.8,1.5
105,7.0,2.5
117,5.9,2.7
133,10.8,1.8
139,10.6,1.7
148,7.7,0.9
308,4.4,2.3
377,5.6,0.6
467,3.4,0.8
469,12.1,0.9
520,3.1,0.7
541,4.9,0.7
598,17.1,0.7
659,5.2,0.6
664,6.2,1.2
666,3.1,0.5
672,15.0,0.2
752,6.2,0.5
759,3.2,0.5
804,6.6,0.4
820,5.4,0.2
944,10.9,0.7
953,3.2,0.4
1031,7.3,0.2

52,7.8,1.6
78,14.3,1.6
99,5.4,1.5
101,21.7,1.8
104,10.9,2.0
203,7.2,1.1
373,5.8,0.6
396,4.1,0.6
433,8.2,0.4
437,11.2,0.5
459,4.5,0.8
463,12.2,1.5
497,4.5,1.1
516,5.4,0.9
546,4.0,0.9
567,9.9,0.6
606,11.7,1.0
635,5.1,0.9
636,6.6,0.5
639,4.1,1.2
641,10.3,0.6
645,3.4,0.8
673,6.0,1.3
691,3.6,0.6
721,10.9,0.6
743,26.0,1.7

65,7.4,1.5
81,5.3,1.8
91,4.9,2.1
94,4.8,1.5
95,12.6,1.9
116,28.1,2.7
141,12.7,1.8
275,14.5,1.6
277,5.3,1.8
347,13.0,0.7
376,15.0,0.6
401,4.7,0.5
445,3.7,1.0
460,3.2,0.5
493,3.6,0.9
522,11.8,0.5
611,14.3,0.9
613,6.1,0.6
623,6.6,0.6
624,9.4,0.6
655,7.9,0.2
701,10.3,0.5
768,5.4,0.5
855,3.5,0.4
902,3.2,0.1
921,3.2,0.4

89,15.5,1.8
95,14.3,1.5
96,8.1,1.9
101,12.0,1.5
102,11.6,1.8
134,6.7,1.7
251,3.5,1.7
383,4.1,0.9
410,4.7,1.1
411,3.4,0.7
443,16.8,0.7
461,3.2,0.7
466,20.8,0.9
477,5.4,1.1
550,5.1,0.6
