,Actual_Points,sdPts
35,27.1,1.1
43,10.8,1.7
46,5.6,1.6
48,3.1,1.5
50,3.8,1.8
52,12.1,2.2
55,10.6,2.0
58,17.3,1.5
59,10.9,2.1
72,11.8,2.0
73,13.4,2.2
74,22.3,1.7
78,19.6,1.8
80,4.9,1.6
82,10.3,2.2
86,12.2,1.5
87,4.7,1.6
92,9.1,2.3
96,12.6,0.9
98,11.7,2.5
103,3.9,1.5
104,13.7,2.1
105,8.1,2.1
109,14.8,2.2
110,19.6,1.8
111,12.8,0.5
118,24.7,0.7
121,3.8,2.0
130,7.2,0.7
133,4.7,2.1
137,8.0,2.2
140,15.5,2.2
161,19.3,1.9
170,7.9,0.6
178,17.1,1.1
181,19.5,0.6
182,14.4,1.0
188,8.4,1.3
192,21.3,1.1
194,42.3,1.1
195,9.7,0.9
213,31.4,0.6
223,21.8,1.3
285,13.6,1.1
288,7.2,0.8
296,8.2,0.8
306,5.6,0.7
310,9.0,1.2
354,17.3,1.4
381,11.1,0.7
396,31.3,1.2
416,3.4,0.8
420,11.3,1.0
434,9.6,1.1
441,4.7,0.8
450,6.5,0.8
461,7.0,1.1
477,19.9,0.6
480,28.7,1.3
481,5.6,1.1
499,18.7,0.8
500,6.1,1.7
502,14.9,0.8
507,8.9,0.8
513,11.2,1.4
532,22.6,0.7
553,23.5,1.0
564,3.2,1.6
639,21.0,1.8
640,11.5,1.2
660,7.1,1.0
673,3.1,0.6
746,5.9,1.2
778,6.5,1.3
807,9.9,0.9
894,4.5,0.5
936,6.1,0.5
942,4.1,0.7
1006,4.0,0.7
1064,10.4,0.7
1132,3.3,0.4
1239,6.2,0.3

35,7.9,1.6
38,6.5,1.4
40,25.1,1.7
47,13.8,1.7
48,10.9,1.8
50,25.1,1.6
51,13.9,1.7
53,14.1,1.6
58,7.2,1.5
60,12.4,1.8
63,8.1,1.5
64,12.9,2.2
68,10.0,1.9
72,12.3,1.5
76,17.2,1.7
77,15.1,1.8
86,13.4,2.2
89,13.1,2.3
90,9.4,1.5
91,21.7,1.8
92,15.1,2.3
95,10.7,2.4
97,5.2,1.1
99,6.1,1.5
105,6.0,2.5
112,9.8,1.6
113,22.1,0.6
121,12.6,2.7
126,20.5,1.6
131,12.9,2.2
134,6.0,2.0
146,10.1,0.9
154,14.1,2.6
156,6.0,2.1
159,19.2,0.9
163,4.7,0.8
196,23.3,1.5
200,11.8,1.0
218,6.8,0.9
235,5.3,0.9
236,14.4,1.1
241,9.8,2.2
250,3.6,1.1
255,3.4,0.7
278,14.7,3.0
365,15.2,0.9
378,15.0,0.8
383,9.1,0.9
401,6.0,0.7
427,5.6,1.0
432,4.5,1.2
434,20.7,0.9
454,6.4,1.1
455,9.3,1.3
460,14.1,1.3
469,10.3,1.2
476,4.0,1.1
496,3.3,1.4
504,3.3,0.4
525,4.8,1.1
528,32.2,0.7
530,5.6,1.4
547,5.4,1.7
551,8.5,0.9
582,9.6,1.5
583,17.9,1.4
600,5.0,0.4
607,8.3,1.3
627,5.0,1.1
681,3.9,1.1
716,3.3,0.9
727,6.6,0.4
746,7.7,0.5
851,3.4,0.7
864,7.5,1.4
957,6.0,0.6
1022,11.4,0.2
1025,6.9,0.8
1050,4.3,0.6
1146,14.9,0.4
1168,7.5,0.3

32,9.7,1.7
35,23.8,1.9
36,37.1,1.9
41,8.9,1.8
43,22.8,1.9
44,8.6,2.0
46,7.6,1.2
51,41.0,1.4
57,5.5,1.5
59,26.9,2.3
62,19.1,1.7
63,15.7,1.9
64,15.6,1.9
67,13.9,1.6
72,16.5,1.9
75,5.9,2.1
77,16.0,2.2
84,7.5,2.9
88,12.1,2.1
89,9.7,2.2
90,27.7,2.4
92,9.0,2.2
99,12.9,2.2
106,11.4,2.1
109,7.6,2.3
110,10.4,1.8
111,19.0,3.1
113,19.1,2.1
119,7.3,1.2
123,6.0,2.0
147,10.9,1.0
157,23.6,0.6
166,16.0,3.0
185,11.2,0.2
211,3.5,1.2
212,3.3,1.2
228,13.8,0.5
233,15.6,0.6
249,5.1,2.2
273,7.7,1.3
287,7.5,0.8
288,15.5,1.7
297,5.9,0.3
300,18.9,0.6
332,11.8,1.7
337,5.9,1.0
359,10.7,1.3
372,17.4,0.8
373,4.0,0.8
393,7.1,1.4
400,5.7,0.7
402,10.8,1.1
464,29.2,0.7
469,18.3,1.0
472,5.1,0.8
506,6.2,0.7
515,5.5,1.0
542,8.8,1.2
552,3.4,1.2
553,4.9,1.4
555,10.9,1.2
560,4.3,1.2
569,4.3,0.9
600,12.3,0.4
613,8.2,1.3
622,13.3,1.5
639,10.0,1.1
650,4.8,0.6
651,9.7,3.1
714,3.9,1.1
722,4.7,1.5
741,4.5,1.6
779,8.0,0.3
827,4.1,1.0
863,12.3,0.3
891,11.6,0.6
932,9.8,0.5
939,4.8,0.9
1177,3.9,0.4

21,7.3,1.3
30,7.3,1.6
33,5.6,1.7
40,23.0,1.3
44,7.1,2.0
47,10.1,2.5
48,16.9,1.6
49,4.9,1.4
50,22.4,2.2
56,7.3,2.0
58,21.2,2.7
63,14.0,1.7
70,13.4,2.4
74,4.8,1.6
75,4.2,2.5
79,35.2,2.4
81,5.0,2.7
83,7.2,2.0
87,5.9,2.3
93,9.2,2.1
94,6.3,2.4
96,11.2,2.2
107,3.8,2.9
110,11.3,1.9
111,9.4,2.6
113,22.9,2.0
123,6.4,1.9
127,21.2,2.5
139,11.1,0.6
160,6.2,0.5
165,4.8,0.9
167,6.1,0.8
171,4.7,0.6
178,5.1,0.8
179,12.9,0.9
202,12.3,1.6
209,5.5,1.2
216,20.7,1.2
264,13.6,1.2
276,17.6,0.5
303,9.1,1.1
313,6.6,1.7
341,5.6,0.9
349,15.0,1.1
357,11.0,0.8
364,3.4,0.8
375,10.1,2.5
384,3.4,1.4
413,14.7,1.6
468,13.1,0.8
489,22.9,0.4
507,13.4,0.9
509,12.3,3.1
585,8.4,0.3
594,6.5,1.3
597,9.2,0.7
599,7.0,1.7
633,7.2,0.7
683,3.5,1.8
702,5.6,1.1
758,10.7,0.6
826,5.5,0.5
958,7.6,0.5

25,5.7,2.1
27,3.8,2.0
28,12.3,2.3
46,22.2,2.3
47,35.7,2.2
48,28.0,2.2
49,4.0,1.9
53,12.3,2.3
56,34.1,2.8
61,6.1,2.5
62,23.3,1.9
63,28.5,2.1
64,15.0,2.2
69,21.0,3.1
72,8.8,2.0
73,8.2,2.4
80,9.7,2.9
84,17.2,2.9
85,5.7,3.3
86,8.4,3.1
89,25.2,1.9
91,7.2,3.0
96,10.0,3.0
101,12.1,2.4
118,32.4,2.2
119,7.3,1.9
141,5.9,1.2
143,17.3,1.0
159,3.8,3.4
172,4.6,2.9
192,46.7,0.2
214,5.9,1.0
228,20.8,1.2
243,12.8,1.3
253,10.4,1.8
258,10.1,0.5
263,9.5,1.3
276,5.2,1.1
285,7.1,1.3
299,6.6,2.0
307,3.6,0.6
309,11.7,0.7
326,9.3,1.1
334,3.8,0.6
409,10.6,1.0
415,3.1,0.9
416,3.7,0.5
434,6.8,0.8
444,4.0,1.8
448,6.7,1.0
460,7.1,0.7
472,5.0,0.5
509,8.7,0.5
533,7.2,1.9
591,7.5,1.0
606,6.7,2.3
617,3.4,0.4
671,6.3,0.1
688,14.2,0.6
783,3.2,0.3
784,3.2,0.3
818,6.2,1.4
835,4.2,0.8
852,4.3,1.1
988,7.9,0.3
1052,19.3,0.6

36,14.8,1.6
37,12.0,1.9
38,3.7,1.3
41,4.3,2.1
46,20.1,1.8
48,12.9,1.5
51,16.1,1.6
55,15.8,2.2
58,14.7,2.0
59,10.3,1.9
67,14.6,1.7
68,5.8,1.2
72,9.9,2.2
74,6.9,1.6
77,7.6,1.8
80,12.1,1.7
82,24.0,1.3
85,9.6,1.6
86,6.8,1.6
88,13.1,1.1
95,18.6,2.3
98,21.8,2.5
100,22.5,3.5
108,12.8,1.3
125,21.0,2.7
126,6.7,2.2
127,4.7,1.7
129,9.7,2.3
151,5.1,1.2
174,40.0,1.4
183,4.4,1.3
196,6.8,0.6
198,19.2,0.9
225,10.3,1.4
227,11.6,0.8
237,12.8,1.3
