,Actual_Points,sdPts
16,20.4,2.8
18,15.9,1.3
21,37.9,1.0
25,10.0,1.2
27,25.0,1.5
28,21.1,1.7
29,12.8,1.6
30,9.4,1.6
32,22.7,1.3
33,20.2,1.4
34,8.5,1.1
36,10.6,1.3
38,7.2,1.3
39,2.7,1.3
61,28.4,1.5
62,36.4,1.2
63,23.8,1.4
64,22.7,1.9
66,1.4,1.8
67,4.4,2.2
68,8.6,1.5
69,15.5,2.3
70,2.6,1.5
71,5.0,1.5
79,25.4,1.5
84,3.7,1.8
93,6.5,2.9
97,5.3,1.3
106,11.0,1.2
112,6.6,0.9
149,5.5,1.7
151,10.7,0.9
160,8.9,1.4
163,3.2,1.1
169,3.7,0.9
174,6.6,1.3
185,1.8,1.7
200,12.3,1.4
202,11.7,1.1
219,6.6,0.6
240,2.8,0.8
274,2.0,0.3
292,3.5,1.1
303,0.3,1.1
335,9.8,1.2
349,2.4,2.2
365,0.0,1.6
366,1.7,0.8
371,11.3,1.0
386,9.8,1.7
394,3.7,1.1
432,4.5,0.9
460,1.1,0.9
471,2.7,1.2
473,7.3,0.3
496,2.5,1.3
497,9.0,1.3
508,6.6,0.6
517,0.0,0.9
520,0.4,0.9
535,4.9,1.5
536,5.6,1.0
577,0.7,1.6
592,11.0,1.2
606,8.3,1.2
646,9.8,0.8
655,17.3,1.3
677,0.8,1.5
709,0.5,0.5
748,0.0,0.9
779,0.0,0.5
789,11.6,0.9
793,5.3,1.2
808,0.0,0.6
821,4.6,0.4
827,0.8,0.5
829,0.6,1.0
830,0.0,0.8
868,4.5,0.5
884,0.0,0.4
885,0.0,0.2
912,0.7,1.2
934,0.0,0.4
941,0.0,0.6
963,0.0,0.6
968,0.1,0.5
970,0.0,0.9
995,3.4,0.4
1005,0.0,0.3
1010,0.8,0.2
1021,0.0,0.6
1057,0.0,0.3
1092,0.0,0.3
1100,0.0,0.3
1105,0.0,0.9
1117,0.0,0.3
1126,0.0,0.6
1129,0.0,0.1
1140,0.3,0.6
1156,0.0,0.4
1160,0.0,0.5
1164,2.0,0.7
1185,0.0,0.3
1196,0.0,0.3
1200,0.0,0.3
1213,0.0,0.2
1251,1.9,0.2
1273,0.0,0.2
1276,0.4,0.2
1282,0.0,0.2
1286,0.0,0.2
1297,0.5,0.2
1300,0.0,0.1
1302,6.6,0.2
1315,0.0,0.1
4,6.3,1.0
14,21.0,1.4
18,6.5,0.6
19,19.0,1.6
24,17.8,1.5
26,15.9,1.5
29,20.3,0.9
30,12.0,1.1
31,26.6,1.4
32,16.3,1.3
36,8.2,1.4
37,9.9,1.3
39,14.2,1.1
42,12.5,1.4
44,10.7,2.0
49,7.9,2.2
52,7.3,1.4
54,8.7,1.4
55,13.7,1.1
56,7.1,1.7
73,3.1,1.9
74,15.8,1.2
78,7.9,1.4
81,23.0,1.1
84,10.2,1.5
87,8.6,2.2
106,10.4,1.5
114,5.2,2.1
117,3.8,1.8
123,4.2,2.7
133,11.7,1.2
144,7.3,1.5
150,13.3,1.3
161,9.0,1.7
164,1.8,2.0
198,3.5,1.0
205,7.6,0.9
221,6.9,1.4
234,2.8,1.4
262,0.9,1.0
269,7.8,1.8
308,12.7,0.6
310,3.1,1.4
315,15.4,0.6
324,1.9,1.5
338,1.5,0.7
339,5.5,0.6
344,0.1,1.3
347,0.8,0.9
348,15.3,0.8
351,22.6,1.2
355,5.2,1.5
371,1.1,0.9
381,1.7,0.5
392,1.5,1.3
407,13.0,1.1
417,3.6,1.3
436,11.6,0.8
456,1.9,1.1
522,1.9,1.5
562,2.5,0.8
594,3.0,1.0
605,0.0,0.5
648,5.5,0.9
671,1.4,0.8
677,6.5,1.0
708,2.3,0.8
765,0.0,0.8
822,0.0,0.5
825,0.0,0.6
840,2.7,0.4
843,0.0,1.1
850,0.1,1.7
856,0.2,0.7
875,4.5,0.5
889,1.6,0.7
902,4.6,0.7
930,9.1,0.9
934,-2.0,0.5
936,3.2,0.9
963,0.0,0.6
984,0.0,0.6
985,0.2,0.4
1005,0.3,0.5
1047,0.0,0.7
1074,2.3,0.4
1082,0.0,0.3
1092,0.0,0.3
1093,0.0,0.5
1097,3.5,0.4
1099,0.0,0.6
1122,0.0,0.2
1129,0.0,0.4
1157,0.0,0.2
1159,0.0,0.1
1172,0.0,0.2
1178,0.0,0.3
1188,0.8,0.2
1189,0.0,0.3
1224,0.0,0.2
1231,0.0,0.1
1232,0.0,0.1
1248,0.0,0.2
1249,0.0,0.2
4,26.3,1.3
5,14.9,1.6
15,5.7,1.3
17,22.3,1.3
23,11.6,1.0
25,32.6,1.3
26,15.1,0.8
27,15.5,1.2
29,4.3,1.0
30,8.3,1.4
37,12.2,2.0
38,14.8,1.3
39,3.6,1.7
40,11.1,1.4
42,7.1,1.0
49,5.7,1.4
52,10.8,1.1
58,15.8,2.7
68,9.6,1.4
71,33.5,1.3
76,15.9,1.5
79,6.5,1.6
81,9.8,2.6
95,4.4,1.4
97,27.0,0.9
104,11.6,2.5
112,9.3,2.1
115,11.0,1.5
116,3.9,1.9
124,16.5,2.1
154,21.5,1.8
187,3.4,0.8
189,7.9,1.2
199,6.7,1.3
206,5.9,1.5
227,15.9,1.2
239,3.4,1.1
274,12.8,0.7
299,5.0,0.7
321,9.6,1.6
369,0.0,0.6
419,0.7,0.7
445,2.2,0.5
450,0.2,1.3
453,9.7,1.6
473,2.5,0.9
480,0.8,1.6
484,12.6,1.3
504,3.9,2.0
505,0.4,0.7
512,20.3,1.4
514,4.4,1.1
525,0.0,1.3
526,-0.2,1.3
543,1.0,1.4
545,3.2,1.1
574,0.2,1.0
580,11.8,1.3
596,7.8,0.5
598,4.4,1.2
626,0.0,1.5
645,0.0,0.9
658,0.1,1.3
711,0.1,0.6
728,3.0,0.6
733,2.9,1.7
757,2.2,0.8
769,6.8,1.0
775,1.3,0.4
788,0.0,0.8
802,3.8,0.9
818,0.0,0.7
852,6.6,0.4
866,0.0,0.5
878,4.4,1.0
911,0.0,0.6
931,0.0,0.4
944,0.0,0.4
975,0.0,0.6
987,0.6,0.6
1022,2.8,0.4
1066,13.4,0.5
1067,-0.1,0.2
1074,0.0,0.1
1081,0.0,0.4
1095,0.5,0.2
1098,0.0,0.4
1107,0.0,0.4
1110,0.0,0.3
1114,0.0,0.2
1123,0.0,0.3
1136,0.0,0.2
1137,0.0,0.2
1159,0.0,0.1
1170,3.2,0.1
1198,0.0,0.0
1209,1.5,0.2
1213,0.0,0.1
1222,0.0,0.0
1234,0.9,0.1
9,28.9,1.2
10,26.7,1.4
13,10.4,0.7
19,13.5,1.0
23,3.9,1.7
25,22.5,0.8
27,16.0,1.8
28,22.5,1.2
32,37.8,1.6
34,25.5,1.2
35,14.7,1.1
36,11.3,0.6
37,17.9,1.1
45,7.6,0.8
46,6.5,1.6
59,8.3,0.9
62,14.8,1.2
65,8.2,1.2
78,16.5,2.1
85,11.8,1.4
88,8.4,1.6
90,14.0,1.5
91,24.8,0.5
95,6.3,0.7
106,10.9,2.1
122,2.8,1.4
130,15.9,1.7
137,9.8,2.7
145,7.0,1.4
147,8.0,1.6
150,7.2,0.7
151,8.8,1.2
186,7.9,0.9
199,1.2,0.8
234,0.5,0.8
250,17.1,1.3
259,8.8,1.1
275,8.8,0.6
293,14.7,0.7
331,31.0,1.4
409,1.4,0.9
464,4.0,1.1
473,0.7,1.4
477,3.9,0.5
490,0.0,0.7
491,4.1,0.7
497,10.1,0.9
508,2.5,0.8
515,7.5,1.0
528,0.4,0.7
552,1.9,1.6
559,19.5,1.0
564,1.8,0.9
588,2.3,1.0
612,8.8,0.6
623,1.2,1.9
646,6.4,0.6
688,3.7,0.7
689,3.3,0.4
698,3.6,0.5
705,4.6,1.3
709,3.1,0.4
712,2.7,0.4
723,10.4,1.7
729,12.4,0.7
745,1.9,0.4
808,6.4,0.8
815,0.1,0.8
820,0.0,1.1
842,11.4,0.4
843,0.0,0.3
851,0.0,0.3
857,0.0,0.6
860,4.4,0.2
881,0.0,0.7
930,0.0,0.7
931,0.0,0.7
951,0.0,0.1
959,2.6,0.1
969,0.0,0.5
975,0.0,0.5
1007,0.0,0.2
1015,0.0,0.4
1022,0.9,0.3
1023,0.0,0.3
1026,0.8,0.3
1027,2.4,0.2
1051,2.5,0.2
1063,0.0,0.4
1076,0.0,0.2
1079,0.0,0.4
1081,2.8,0.1
1083,0.0,0.2
1100,0.0,0.2
1113,0.0,0.1
1114,0.0,0.1
1121,0.0,0.0
1128,0.0,0.1
5,44.7,0.9
14,22.8,1.3
15,16.1,1.3
16,13.9,1.3
20,10.4,0.9
21,21.7,1.4
22,17.1,1.3
29,13.8,0.7
35,11.4,0.5
38,12.3,1.5
41,14.8,2.9
42,17.2,1.0
43,5.8,1.3
44,11.9,1.4
45,18.8,1.2
50,22.7,1.8
55,45.7,1.5
57,1.3,1.9
66,26.4,3.2
70,19.8,1.2
71,10.1,1.9
74,11.5,2.8
78,7.9,2.0
79,8.4,2.5
81,1.4,1.2
87,12.0,1.4
92,15.5,1.4
102,12.2,1.4
122,27.8,1.1
126,6.6,1.5
161,7.7,1.3
173,6.3,1.4
199,16.3,1.9
207,10.2,0.5
219,5.3,1.2
233,7.2,1.0
238,7.9,2.1
272,2.0,1.1
278,1.8,1.6
330,9.6,1.2
336,15.7,1.2
346,6.5,1.2
374,5.9,0.8
375,3.4,0.6
384,0.0,1.3
445,2.8,1.3
462,4.1,1.0
473,4.0,1.2
484,5.2,1.2
487,9.4,1.0
508,2.8,1.0
521,0.3,1.4
526,4.4,0.9
544,1.9,1.3
572,4.8,0.3
576,0.0,0.5
618,16.1,0.8
623,4.2,0.8
637,1.1,1.3
667,0.1,0.4
675,0.4,0.8
702,11.1,0.8
721,10.7,1.1
736,0.7,0.5
746,3.3,0.7
816,3.0,0.7
834,2.7,0.4
849,0.0,0.4
856,1.1,0.3
864,0.0,0.7
897,-2.0,0.8
904,2.9,0.7
905,0.0,0.4
920,0.0,0.7
942,0.0,0.6
950,0.0,0.8
958,2.4,0.2
983,0.0,0.4
992,0.0,0.4
1002,0.4,0.4
1003,0.0,0.5
1005,1.4,0.3
1011,0.0,0.5
1027,0.0,0.7
1032,0.0,0.3
1040,0.0,0.4
1047,0.0,0.2
1053,0.0,0.3
1056,0.0,0.4
1059,0.0,0.5
1062,0.2,0.3
1065,1.3,0.3
1085,0.0,0.3
1092,0.0,0.3
1106,0.0,0.0
1143,0.4,0.6
1144,0.0,0.1
6,19.7,1.1
12,12.4,1.3
16,23.7,1.3
17,10.1,0.7
18,26.4,0.5
21,14.8,1.7
22,6.0,0.9
24,11.8,1.1
26,13.1,1.7
27,14.4,0.8
30,27.4,1.6
31,6.3,1.9
32,3.8,1.1
34,25.2,2.7
35,23.9,1.2
42,12.3,1.6
47,14.5,1.7
50,4.9,1.4
63,8.5,2.4
64,4.3,1.7
65,8.3,2.9
70,10.0,1.6
75,25.3,1.8
76,17.5,1.9
96,4.9,2.0
106,9.0,0.9
107,14.6,1.3
140,13.1,2.0
144,10.1,1.3
145,7.0,0.9
150,3.0,1.4
158,16.7,0.9
193,5.4,1.4
201,2.5,0.1
211,12.4,0.5
235,2.8,1.3
261,13.7,1.5
350,0.6,1.0
355,21.6,1.0
428,3.4,1.1
447,3.4,0.9
450,3.4,0.9
456,11.5,1.1
472,4.3,1.2
478,10.0,0.5
480,9.4,0.8
491,4.0,1.5
521,0.0,0.8
522,1.3,1.0
529,1.3,1.0
558,2.7,0.5
569,1.1,1.7
579,9.4,0.8
598,6.7,1.0
603,0.1,0.9
629,0.4,0.5
630,3.1,0.3
634,10.0,0.6
637,2.1,1.0
656,3.2,0.7
680,5.3,0.8
705,5.7,0.4
729,0.8,0.5
733,0.0,0.3
736,0.0,0.7
837,0.0,0.2
849,0.0,0.5
852,0.0,0.5
874,0.0,0.3
898,0.0,0.7
913,0.5,0.4
914,0.0,0.4
922,0.0,0.3
928,0.0,0.5
929,0.0,0.4
938,1.3,0.4
943,0.0,0.4
950,0.0,0.2
968,0.0,0.5
971,0.0,0.2
983,0.0,0.4
984,0.0,0.3
991,0.0,0.3
1006,0.0,0.5
1022,0.0,0.2
1049,0.0,0.2
1050,0.0,0.2
1063,0.0,0.1
1080,2.5,0.1
11,15.5,1.6
15,27.4,1.4
16,15.5,1.5
19,23.7,0.8
21,0.2,1.9
24,3.7,2.1
25,8.9,1.4
26,8.1,1.2
27,17.3,1.3
37,14.9,0.5
39,7.1,1.5
40,16.3,1.5
41,11.9,1.4
43,2.3,1.7
47,7.1,1.3
50,5.8,0.9
51,6.9,1.6
54,4.1,3.0
55,0.9,1.5
58,3.5,1.8
64,7.9,1.0
68,7.1,1.4
82,14.7,0.6
88,21.9,1.6
90,29.5,1.9
114,3.5,1.2
117,1.6,1.5
125,6.6,1.5
126,22.0,1.2
129,2.6,1.4
134,7.3,1.2
136,11.1,1.0
144,6.1,1.5
158,4.7,1.4
174,8.6,1.0
186,9.4,0.9
187,34.0,2.8
248,6.6,1.4
283,7.4,1.3
327,4.4,1.1
386,0.2,1.2
397,6.3,0.7
404,0.7,0.8
419,1.4,0.9
436,4.6,1.1
443,1.8,1.3
474,2.1,0.8
480,3.5,0.7
500,0.0,1.8
525,7.0,1.0
530,4.6,0.4
537,1.2,1.1
546,0.0,1.2
551,2.8,0.9
557,0.0,1.2
579,6.1,2.0
607,0.3,1.0
622,6.7,0.6
643,0.0,0.9
657,7.7,0.5
665,1.7,0.6
685,2.0,0.8
702,0.9,0.8
727,1.6,0.5
771,4.2,0.2
808,0.0,0.6
811,1.1,0.6
819,0.0,0.7
821,0.0,0.5
831,1.2,1.0
838,0.3,0.3
867,0.0,0.4
869,0.9,1.0
872,5.3,0.3
883,0.0,0.3
885,0.0,0.5
894,2.7,0.4
914,0.0,0.4
916,0.7,0.5
922,7.9,0.3
930,0.0,0.3
945,2.0,0.2
949,0.0,0.1
979,3.5,0.4
1000,0.0,0.3
1003,0.0,0.4
1026,0.0,0.2
1037,0.0,0.2
1043,0.0,0.2
1047,0.0,0.2
1053,0.0,0.1
5,25.6,1.5
10,25.5,0.8
12,24.3,1.3
14,17.1,1.6
18,15.0,1.6
19,22.5,1.6
20,10.4,1.2
27,38.1,0.9
29,6.8,1.4
32,10.3,0.7
37,5.0,1.4
41,15.5,1.8
47,12.2,1.2
50,7.4,0.9
55,36.8,1.7
59,9.1,2.5
65,6.3,2.6
70,2.3,2.9
72,32.2,3.5
79,10.1,0.9
82,8.3,1.3
83,10.4,1.9
92,4.3,1.1
104,22.7,1.5
109,15.7,1.1
120,9.9,2.3
123,11.0,0.6
128,9.2,0.8
137,17.6,1.3
140,5.5,1.1
162,3.4,1.6
168,17.1,0.9
202,12.9,0.7
203,5.7,0.4
212,21.3,1.1
240,9.0,1.0
243,11.4,1.8
262,3.3,0.5
267,2.5,1.0
268,7.9,1.8
269,11.3,1.6
300,6.1,1.3
328,4.9,1.2
337,1.6,1.9
441,7.4,1.2
452,0.0,1.5
510,5.5,0.9
513,3.2,1.5
541,1.8,1.8
547,0.7,0.8
554,5.5,1.8
560,1.3,1.6
566,8.9,0.5
587,6.1,0.6
600,3.7,1.9
620,2.4,0.5
666,5.4,0.5
673,0.6,0.4
684,1.0,0.8
689,0.5,0.7
696,0.7,0.9
701,2.5,0.8
716,12.0,1.4
728,4.6,0.4
734,0.0,0.7
808,1.8,1.2
814,0.0,0.1
820,3.8,0.4
854,0.0,0.2
876,0.0,0.6
891,1.3,0.6
899,0.1,0.4
901,1.4,0.5
920,2.4,0.3
939,1.9,0.4
940,0.0,0.4
946,1.1,0.3
951,0.4,0.9
952,0.0,0.4
954,0.0,0.2
956,0.4,0.6
957,0.0,0.5
985,0.0,0.2
995,0.3,0.4
1010,0.0,0.3
1012,0.0,0.1
1013,0.0,0.4
1046,0.0,0.1
1054,0.0,0.3
1067,0.9,0.2
1068,0.0,0.5
1072,0.0,0.1
1089,0.0,0.2
1092,0.0,0.3
1097,0.2,0.1
1102,0.0,0.1
1130,0.0,0.0
1139,0.0,0.1
1144,0.0,0.1
5,36.1,0.9
7,13.6,1.5
11,13.9,1.3
16,12.5,1.4
19,9.7,1.5
21,16.1,1.8
22,3.4,0.5
23,11.1,1.8
27,24.0,0.9
28,23.4,1.0
29,4.6,1.4
30,12.3,1.1
44,12.8,3.3
46,8.9,1.5
55,15.2,1.5
60,21.1,2.0
62,3.5,1.4
65,11.3,1.9
66,14.8,1.9
68,24.4,2.3
79,1.5,1.2
100,13.4,1.2
107,1.4,1.2
114,5.6,1.4
116,1.9,1.3
117,13.5,2.1
123,14.0,1.7
131,15.4,3.1
134,26.2,1.6
140,13.9,1.7
169,21.5,0.9
184,15.2,0.9
213,5.1,1.4
232,16.6,1.1
241,8.8,0.8
247,1.5,0.7
272,19.8,1.3
334,2.6,1.2
344,10.2,2.3
377,0.6,1.0
447,1.3,0.4
457,1.9,1.9
459,1.2,1.2
470,3.9,1.4
483,2.4,0.9
503,3.3,0.9
511,3.3,0.8
516,-0.3,0.4
521,8.7,0.4
529,14.7,0.5
534,3.5,1.5
538,5.8,0.7
552,-0.2,1.3
596,8.3,1.2
619,7.3,0.8
648,7.8,0.5
662,0.0,1.2
682,0.0,0.8
689,1.7,1.0
699,1.9,0.9
703,0.0,0.9
709,0.7,1.3
724,9.0,1.0
729,0.1,0.7
744,0.0,0.6
746,1.6,0.3
791,0.0,0.5
792,1.5,0.6
822,0.0,0.3
840,0.0,0.4
842,0.4,0.6
854,1.9,0.6
869,0.0,0.6
878,0.7,0.6
891,4.7,0.3
897,0.0,0.5
920,0.0,0.5
924,0.0,0.5
925,0.0,0.4
933,0.0,0.5
934,0.0,0.6
939,8.3,0.2
944,0.0,0.2
948,0.0,0.1
964,0.0,0.2
976,0.0,0.2
986,0.0,0.1
1022,0.0,0.1
1028,0.0,0.2
1030,0.0,0.3
1068,0.0,0.1
1072,0.0,0.2
4,23.1,0.5
11,27.8,0.8
12,5.6,1.4
14,7.3,1.4
17,11.4,0.5
19,27.3,0.6
22,8.7,1.0
26,32.1,1.0
27,17.6,0.3
28,13.1,0.6
34,6.0,1.3
35,14.8,2.0
36,9.4,0.9
37,17.6,1.0
39,19.8,1.2
44,9.2,1.1
46,-0.5,1.8
48,7.3,1.6
49,5.5,2.5
57,6.5,2.6
66,11.4,2.1
79,16.1,1.1
80,6.3,1.2
82,11.8,2.0
98,18.6,0.9
111,3.5,0.5
112,2.9,1.7
138,6.3,1.0
170,6.5,1.1
193,7.1,1.2
200,2.4,1.3
231,2.1,1.4
238,11.7,1.4
267,10.9,0.8
325,8.5,0.6
335,11.2,1.1
381,6.4,1.1
387,0.4,0.8
392,-0.7,0.4
394,2.5,1.0
403,0.5,1.3
408,1.7,0.9
425,0.0,0.9
450,5.9,0.8
455,-1.8,1.2
490,13.6,0.7
491,-0.4,0.9
514,2.9,0.6
522,6.3,0.7
531,2.0,1.2
577,3.9,0.5
580,4.0,1.0
591,1.0,0.5
625,1.5,0.8
639,1.1,0.7
650,1.0,0.6
663,0.0,0.5
666,2.3,0.5
676,0.0,0.1
685,0.0,0.6
717,2.0,0.4
731,0.0,0.9
781,-0.1,0.3
784,0.0,0.3
808,1.5,0.2
809,0.0,0.4
816,0.0,0.9
818,0.6,0.4
821,0.0,0.2
824,0.0,0.4
842,0.0,0.3
846,0.0,0.2
862,0.0,0.4
869,0.0,0.3
871,0.0,0.3
876,0.8,0.2
884,0.0,0.3
916,0.0,0.3
919,0.0,0.3
932,0.0,0.3
938,1.2,0.3
940,0.1,0.2
946,1.2,0.1
960,0.0,0.4
968,0.1,0.1
975,0.0,0.2
983,0.0,0.1
995,0.0,0.1
3,20.9,1.4
7,18.3,1.2
9,17.1,0.9
11,16.7,0.6
19,15.4,1.2
21,15.1,0.9
23,14.8,1.7
34,13.0,1.3
37,12.7,1.5
41,12.1,1.7
43,12.0,2.0
44,12.0,1.7
46,11.9,1.5
57,11.4,1.5
60,11.1,1.2
61,11.1,1.2
67,10.4,1.3
69,10.2,1.7
74,9.9,1.2
78,9.8,3.1
82,9.5,0.5
89,9.2,1.4
98,8.8,1.6
114,8.3,2.7
121,8.1,1.2
140,7.6,0.9
144,7.5,1.8
172,6.9,0.8
177,6.8,1.3
185,6.7,0.9
198,6.5,0.7
207,6.4,2.2
224,6.1,0.5
229,6.1,1.2
240,6.0,1.0
321,5.2,1.1
341,5.0,0.6
354,4.8,1.6
408,4.3,0.9
423,4.1,0.9
429,4.1,1.3
462,3.7,0.3
468,3.7,0.9
475,3.6,1.6
487,3.5,0.6
495,3.4,1.1
512,3.2,0.8
528,3.1,1.1
548,2.9,0.5
550,2.9,1.1
579,2.6,0.5
585,2.6,0.8
603,2.5,0.5
621,2.3,0.7
630,2.3,0.5
637,2.2,0.9
660,2.0,0.3
674,1.9,1.1
679,1.9,0.7
680,1.9,0.8
686,1.9,0.8
695,1.8,0.8
720,1.7,0.6
749,1.5,1.0
802,1.2,0.5
806,1.2,0.0
