,Actual_Points,sdPts
42,13.0,4.2
45,0.0,3.3
49,9.0,3.9
51,12.0,4.6
53,1.0,4.7
54,2.0,5.5
57,0.0,4.4
60,6.0,5.4
94,7.0,4.4
100,5.0,3.7
115,7.0,3.6
122,18.0,4.7
129,10.0,3.6
135,16.0,4.0
147,10.0,3.7
216,9.0,0.4
218,12.0,1.1
226,-3.0,0.4
234,27.0,1.6
256,0.0,0.7
265,7.0,1.0
272,14.0,1.0
273,7.0,1.8
280,0.0,0.4
291,-4.0,0.6
293,6.0,0.4
299,23.0,0.6
301,4.0,0.8
315,-4.0,0.6
351,2.0,0.7
372,4.0,0.6
399,0.0,0.5
,Actual_Points,sdPts
42,13.0,4.2
45,0.0,3.3
49,9.0,3.9
51,12.0,4.6
53,1.0,4.7
54,2.0,5.5
57,0.0,4.4
60,6.0,5.4
94,7.0,4.4
100,5.0,3.7
115,7.0,3.6
122,18.0,4.7
129,10.0,3.6
135,16.0,4.0
147,10.0,3.7
216,9.0,0.4
218,12.0,1.1
226,-3.0,0.4
234,27.0,1.6
256,0.0,0.7
265,7.0,1.0
272,14.0,1.0
273,7.0,1.8
280,0.0,0.4
291,-4.0,0.6
293,6.0,0.4
299,23.0,0.6
301,4.0,0.8
315,-4.0,0.6
351,2.0,0.7
372,4.0,0.6
399,0.0,0.5
