,Actual_Points,sdPts
12,9.2,1.3
863,8.2,0.5
1177,7.1,0.4
31,7.0,2.1
10,6.4,1.6
4,33.6,0.8
6,33.4,1.4
2,31.7,1.7
26,27.6,1.5
1,27.3,2.2
77,27.2,1.9
13,25.6,1.2
7,25.0,1.3
19,24.9,1.1
47,24.3,1.2
23,22.6,2.4
3,21.8,1.9
44,20.7,1.3
17,20.6,1.5
1173,2.5,0.5
1227,18.6,0.4
24,18.0,0.8
5,16.6,0.7
37,16.5,1.0
65,14.8,1.7
41,14.8,1.6
40,14.6,2.1
20,14.3,0.6
56,13.0,1.9
9,12.9,1.6
14,12.4,2.1
22,11.4,3.0
,Actual_Points,sdPts
12,9.2,1.3
863,8.2,0.5
1177,7.1,0.4
31,7.0,2.1
10,6.4,1.6
4,33.6,0.8
6,33.4,1.4
2,31.7,1.7
26,27.6,1.5
1,27.3,2.2
77,27.2,1.9
13,25.6,1.2
7,25.0,1.3
19,24.9,1.1
47,24.3,1.2
23,22.6,2.4
3,21.8,1.9
44,20.7,1.3
17,20.6,1.5
1173,2.5,0.5
1227,18.6,0.4
24,18.0,0.8
5,16.6,0.7
37,16.5,1.0
65,14.8,1.7
41,14.8,1.6
40,14.6,2.1
20,14.3,0.6
56,13.0,1.9
9,12.9,1.6
14,12.4,2.1
22,11.4,3.0
