,Actual_Points,sdPts
807,9.9,0.9
195,9.7,0.9
434,9.6,1.1
92,9.1,2.3
310,9.0,1.2
507,8.9,0.8
188,8.4,1.3
296,8.2,0.8
105,8.1,2.1
137,8.0,2.2
170,7.9,0.6
288,7.2,0.8
130,7.2,0.7
660,7.1,1.0
461,7.0,1.1
450,6.5,0.8
778,6.5,1.3
1239,6.2,0.3
936,6.1,0.5
500,6.1,1.7
746,5.9,1.2
481,5.6,1.1
306,5.6,0.7
46,5.6,1.6
194,42.3,1.1
80,4.9,1.6
87,4.7,1.6
441,4.7,0.8
133,4.7,2.1
894,4.5,0.5
942,4.1,0.7
1006,4.0,0.7
213,31.4,0.6
396,31.3,1.2
103,3.9,1.5
121,3.8,2.0
50,3.8,1.8
416,3.4,0.8
1132,3.3,0.4
564,3.2,1.6
673,3.1,0.6
48,3.1,1.5
480,28.7,1.3
35,27.1,1.1
118,24.7,0.7
553,23.5,1.0
532,22.6,0.7
74,22.3,1.7
223,21.8,1.3
192,21.3,1.1
639,21.0,1.8
715,2.8,0.6
340,2.8,0.9
865,2.7,1.0
1024,2.7,0.4
796,2.7,0.8
268,2.4,1.0
465,2.3,0.8
586,2.2,0.7
281,2.2,0.6
428,2.1,1.2
423,2.0,0.8
1058,2.0,0.5
477,19.9,0.6
110,19.6,1.8
78,19.6,1.8
181,19.5,0.6
161,19.3,1.9
499,18.7,0.8
354,17.3,1.4
58,17.3,1.5
178,17.1,1.1
140,15.5,2.2
502,14.9,0.8
109,14.8,2.2
182,14.4,1.0
104,13.7,2.1
285,13.6,1.1
73,13.4,2.2
111,12.8,0.5
96,12.6,0.9
86,12.2,1.5
52,12.1,2.2
72,11.8,2.0
98,11.7,2.5
640,11.5,1.2
420,11.3,1.0
513,11.2,1.4
381,11.1,0.7
59,10.9,2.1
43,10.8,1.7
55,10.6,2.0
1064,10.4,0.7
82,10.3,2.2
648,1.9,0.8
1028,1.7,0.6
392,1.5,1.2
744,1.5,1.2
613,1.4,0.8
661,1.4,0.8
803,1.3,1.1
822,1.3,0.5
823,1.3,0.5
1063,1.2,0.4
126,1.2,0.9
236,1.2,0.8
851,1.0,0.7
430,1.0,1.3
632,0.6,0.6
764,0.5,1.0
932,0.4,0.4
1283,0.0,0.2
991,0.0,0.8
1268,0.0,0.2
1272,0.0,0.2
1243,0.0,0.3
1267,0.0,0.2
1077,0.0,0.4
1083,0.0,0.5
1109,0.0,0.8
1265,0.0,0.2
1142,0.0,0.1
1161,0.0,0.4
1170,0.0,0.3
1172,0.0,0.2
1218,0.0,0.3
1141,0.0,0.4
498,0.0,1.6
940,0.0,0.8
922,0.0,0.6
518,0.0,1.0
307,0.0,0.6
573,0.0,1.6
617,0.0,0.8
636,0.0,1.4
279,0.0,1.3
652,0.0,0.6
665,0.0,1.2
191,0.0,0.6
686,0.0,0.6
728,0.0,0.7
729,0.0,0.8
733,0.0,0.6
753,0.0,0.7
758,0.0,0.6
784,0.0,0.8
797,0.0,0.9
810,0.0,0.9
856,0.0,1.1
864,0.0,2.4
,Actual_Points,sdPts
807,9.9,0.9
195,9.7,0.9
