,Points,Salary
0,132.09999999999997,57900.0
0,86.38,55700.0
0,115.89999999999999,59500.0
0,120.36,57400.0
0,119.63999999999999,55300.0
0,96.44,58700.0
0,153.6,57100.0
0,104.89999999999999,58100.0
0,110.32000000000001,59300.0
0,161.0,57100.0
0,77.42,57500.0
0,105.2,57000.0
0,110.42,55400.0
0,98.66,58400.0
0,137.7,59100.0
0,114.14,55500.0
0,117.11999999999999,59800.0
0,144.86,55900.0
0,138.02,56600.0
0,125.41999999999999,55500.0
0,92.3,58700.0
0,144.2,58900.0
0,117.99999999999999,55500.0
0,117.80000000000001,55500.0
0,110.14,56600.0
0,102.56,57400.0
0,163.27999999999997,59700.0
0,97.03999999999999,56100.0
0,98.44000000000001,58100.0
0,126.48,58200.0
0,97.89999999999999,58600.0
0,101.1,57300.0
0,127.92,57100.0
0,124.36,55800.0
0,135.88,59800.0
0,99.08,56600.0
0,116.06,59900.0
0,84.46000000000001,59000.0
0,73.18,58100.0
0,83.454332137,58100.0
0,119.24000000000001,56600.0
0,89.62,55300.0
0,153.86,56300.0
0,112.30000000000001,56700.0
0,113.4,58400.0
0,162.68,58500.0
0,98.24000000000001,55400.0
0,155.78,56700.0
0,107.0,57100.0
0,101.17999999999999,55900.0
0,100.3,55300.0
0,120.74,57500.0
0,109.18000000000002,56000.0
0,112.58,55700.0
0,113.06,57100.0
0,109.48,55600.0
0,93.9,57300.0
0,110.10000000000001,59300.0
0,118.44000000000001,58300.0
0,136.44,58300.0
0,99.58,58600.0
0,73.91999999999999,55300.0
0,91.4,56200.0
0,140.16000000000003,57400.0
0,114.36,55300.0
0,109.12,57600.0
0,129.88,59800.0
0,145.22,58600.0
0,109.92000000000002,56800.0
0,101.9,55600.0
0,108.24,55900.0
0,103.14000000000001,59600.0
0,115.16,55700.0
0,121.24000000000001,56600.0
