,Points,Salary,Count
0,77.50000000000001,59100.0,69
0,103.86,59600.0,70
0,106.3,59700.0,71
0,115.89999999999999,59500.0,72
0,90.24,59900.0,73
0,86.02000000000001,59400.0,74
0,98.13999999999999,59200.0,75
0,92.28,59200.0,77
0,110.32000000000001,59300.0,78
0,160.84,59600.0,52
0,92.68,59400.0,54
0,108.68,59900.0,56
0,137.7,59100.0,57
0,123.7,59200.0,58
0,117.11999999999999,59800.0,59
0,123.86,59600.0,60
0,143.28,59300.0,62
0,121.26,59400.0,64
0,117.66,59400.0,66
0,121.22,59100.0,67
0,99.34,59900.0,35
0,106.82,59700.0,36
0,163.27999999999997,59700.0,37
0,108.53999999999999,59200.0,38
0,129.95999999999998,59200.0,39
0,128.64,59500.0,40
0,139.22,59900.0,41
0,93.78,59500.0,42
0,97.24,59600.0,43
0,142.4,59600.0,44
0,115.94,59500.0,45
0,135.88,59800.0,46
0,118.10000000000001,59100.0,47
0,116.06,59900.0,48
0,102.74000000000001,59200.0,49
0,75.3,59700.0,50
0,89.36559166999999,59200.0,51
0,120.98,59700.0,20
0,127.2,59600.0,21
0,108.5,59700.0,22
0,112.85999999999999,59100.0,23
0,113.53999999999999,59500.0,24
0,143.02,59200.0,25
0,100.08,59800.0,27
0,125.88,59300.0,28
0,128.98000000000002,59900.0,30
0,103.16,59700.0,31
0,114.2,59400.0,32
0,94.76,59500.0,33
0,110.10000000000001,59300.0,1
0,121.24000000000001,59500.0,2
0,167.1,59900.0,3
0,110.22,59600.0,4
0,85.62,59600.0,5
0,117.72,59500.0,6
0,125.64,59700.0,7
0,123.86000000000003,59800.0,8
0,87.08,59600.0,10
0,129.88,59800.0,11
0,147.42,59100.0,12
0,100.68,59500.0,14
0,131.14,59100.0,15
0,103.14000000000001,59600.0,16
0,118.9,59100.0,17
