,Actual_Points,sdPts
0,20.4,2.8
1,15.9,1.3
2,37.9,1.0
3,10.0,1.2
4,25.0,1.5
5,21.1,1.7
6,12.8,1.6
7,9.4,1.6
8,22.7,1.3
9,20.2,1.4
10,8.5,1.1
11,10.6,1.3
12,7.2,1.3
13,28.4,1.5
14,36.4,1.2
15,23.8,1.4
16,22.7,1.9
17,4.4,2.2
18,8.6,1.5
19,15.5,2.3
20,5.0,1.5
21,25.4,1.5
22,3.7,1.8
23,6.5,2.9
24,5.3,1.3
25,11.0,1.2
26,6.6,0.9
27,5.5,1.7
28,10.7,0.9
29,8.9,1.4
30,3.2,1.1
31,3.7,0.9
32,6.6,1.3
33,12.3,1.4
34,11.7,1.1
35,6.6,0.6
36,3.5,1.1
37,9.8,1.2
38,11.3,1.0
39,9.8,1.7
40,3.7,1.1
41,4.5,0.9
42,7.3,0.3
43,9.0,1.3
44,6.6,0.6
45,4.9,1.5
46,5.6,1.0
47,11.0,1.2
48,8.3,1.2
49,9.8,0.8
50,17.3,1.3
51,11.6,0.9
52,5.3,1.2
53,4.6,0.4
54,4.5,0.5
55,3.4,0.4
56,6.6,0.2
57,27.1,1.1
58,10.8,1.7
59,5.6,1.6
60,3.1,1.5
61,3.8,1.8
62,12.1,2.2
63,10.6,2.0
64,17.3,1.5
65,10.9,2.1
66,11.8,2.0
67,13.4,2.2
68,22.3,1.7
69,19.6,1.8
70,4.9,1.6
71,10.3,2.2
72,12.2,1.5
73,4.7,1.6
74,9.1,2.3
75,12.6,0.9
76,11.7,2.5
77,3.9,1.5
78,13.7,2.1
79,8.1,2.1
80,14.8,2.2
81,19.6,1.8
82,12.8,0.5
83,24.7,0.7
84,3.8,2.0
85,7.2,0.7
86,4.7,2.1
87,8.0,2.2
88,15.5,2.2
89,19.3,1.9
90,7.9,0.6
91,17.1,1.1
92,19.5,0.6
93,14.4,1.0
94,8.4,1.3
95,21.3,1.1
96,42.3,1.1
97,9.7,0.9
98,31.4,0.6
99,21.8,1.3
100,13.6,1.1
101,7.2,0.8
102,8.2,0.8
103,5.6,0.7
104,9.0,1.2
105,17.3,1.4
106,11.1,0.7
107,31.3,1.2
108,3.4,0.8
109,11.3,1.0
110,9.6,1.1
111,4.7,0.8
112,6.5,0.8
113,7.0,1.1
114,19.9,0.6
115,28.7,1.3
116,5.6,1.1
117,18.7,0.8
118,6.1,1.7
119,14.9,0.8
120,8.9,0.8
121,11.2,1.4
122,22.6,0.7
123,23.5,1.0
124,3.2,1.6
125,21.0,1.8
126,11.5,1.2
127,7.1,1.0
128,3.1,0.6
129,5.9,1.2
130,6.5,1.3
131,9.9,0.9
132,4.5,0.5
133,6.1,0.5
134,4.1,0.7
135,4.0,0.7
136,10.4,0.7
137,3.3,0.4
138,6.2,0.3
139,10.3,1.7
140,9.4,1.9
141,7.9,1.4
142,3.2,1.6
143,23.1,2.1
144,4.7,1.2
145,5.0,2.0
146,11.7,1.7
147,8.0,0.7
148,20.8,1.6
149,20.0,1.8
150,10.5,2.1
151,5.6,1.1
152,12.2,0.7
153,10.5,0.6
154,5.2,0.5
155,13.9,0.8
156,9.0,0.8
157,3.4,1.0
158,22.1,0.8
159,3.7,0.6
160,8.6,1.4
161,11.4,0.9
162,4.1,0.9
163,5.6,0.8
164,10.0,0.4
165,3.3,0.8
166,4.1,0.3
167,4.5,0.7

0,6.3,1.0
1,21.0,1.4
2,6.5,0.6
3,19.0,1.6
4,17.8,1.5
5,15.9,1.5
6,20.3,0.9
7,12.0,1.1
8,26.6,1.4
9,16.3,1.3
10,8.2,1.4
11,9.9,1.3
12,14.2,1.1
13,12.5,1.4
14,10.7,2.0
15,7.9,2.2
16,7.3,1.4
17,8.7,1.4
18,13.7,1.1
19,7.1,1.7
20,3.1,1.9
21,15.8,1.2
22,7.9,1.4
23,23.0,1.1
24,10.2,1.5
25,8.6,2.2
26,10.4,1.5
27,5.2,2.1
28,3.8,1.8
29,4.2,2.7
30,11.7,1.2
31,7.3,1.5
32,13.3,1.3
33,9.0,1.7
34,3.5,1.0
35,7.6,0.9
36,6.9,1.4
37,7.8,1.8
38,12.7,0.6
39,3.1,1.4
40,15.4,0.6
41,5.5,0.6
42,15.3,0.8
43,22.6,1.2
44,5.2,1.5
45,13.0,1.1
46,3.6,1.3
47,11.6,0.8
48,5.5,0.9
49,6.5,1.0
50,4.5,0.5
51,4.6,0.7
52,9.1,0.9
53,3.2,0.9
54,3.5,0.4
55,7.9,1.6
56,6.5,1.4
57,25.1,1.7
58,13.8,1.7
59,10.9,1.8
60,25.1,1.6
61,13.9,1.7
62,14.1,1.6
63,7.2,1.5
64,12.4,1.8
65,8.1,1.5
66,12.9,2.2
67,10.0,1.9
68,12.3,1.5
69,17.2,1.7
70,15.1,1.8
71,13.4,2.2
72,13.1,2.3
73,9.4,1.5
74,21.7,1.8
75,15.1,2.3
76,10.7,2.4
77,5.2,1.1
78,6.1,1.5
79,6.0,2.5
80,9.8,1.6
81,22.1,0.6
82,12.6,2.7
83,20.5,1.6
84,12.9,2.2
85,6.0,2.0
86,10.1,0.9
87,14.1,2.6
88,6.0,2.1
89,19.2,0.9
90,4.7,0.8
91,23.3,1.5
92,11.8,1.0
93,6.8,0.9
94,5.3,0.9
95,14.4,1.1
96,9.8,2.2
97,3.6,1.1
98,3.4,0.7
99,14.7,3.0
100,15.2,0.9
101,15.0,0.8
102,9.1,0.9
103,6.0,0.7
104,5.6,1.0
105,4.5,1.2
106,20.7,0.9
107,6.4,1.1
108,9.3,1.3
109,14.1,1.3
110,10.3,1.2
111,4.0,1.1
112,3.3,1.4
113,3.3,0.4
114,4.8,1.1
115,32.2,0.7
116,5.6,1.4
117,5.4,1.7
118,8.5,0.9
119,9.6,1.5
120,17.9,1.4
121,5.0,0.4
122,8.3,1.3
123,5.0,1.1
124,3.9,1.1
125,3.3,0.9
126,6.6,0.4
127,7.7,0.5
128,3.4,0.7
129,7.5,1.4
130,6.0,0.6
131,11.4,0.2
132,6.9,0.8
133,4.3,0.6
134,14.9,0.4
135,7.5,0.3
136,20.2,1.9
137,6.9,2.6
138,7.8,3.5
139,13.2,2.1
140,5.9,3.7
141,21.2,3.4
142,9.3,2.4
143,5.4,2.0
144,14.0,3.1
145,3.5,1.7
146,19.3,1.8
147,4.4,2.7
148,8.4,0.9
149,10.5,1.5
150,10.0,1.5
151,3.1,1.9
152,5.3,0.5
153,19.5,1.3
154,3.1,0.9
155,6.6,0.8
156,4.3,1.7
157,3.6,1.3
158,3.5,0.6
159,3.9,1.1
160,4.1,0.8
161,3.3,0.4
162,3.5,0.5
163,4.8,0.3
164,3.4,0.2

0,26.3,1.3
1,14.9,1.6
2,5.7,1.3
3,22.3,1.3
4,11.6,1.0
5,32.6,1.3
6,15.1,0.8
7,15.5,1.2
8,4.3,1.0
9,8.3,1.4
10,12.2,2.0
11,14.8,1.3
12,3.6,1.7
13,11.1,1.4
14,7.1,1.0
15,5.7,1.4
16,10.8,1.1
17,15.8,2.7
18,9.6,1.4
19,33.5,1.3
20,15.9,1.5
21,6.5,1.6
22,9.8,2.6
23,4.4,1.4
24,27.0,0.9
25,11.6,2.5
26,9.3,2.1
27,11.0,1.5
28,3.9,1.9
29,16.5,2.1
30,21.5,1.8
31,3.4,0.8
32,7.9,1.2
33,6.7,1.3
34,5.9,1.5
35,15.9,1.2
36,3.4,1.1
37,12.8,0.7
38,5.0,0.7
39,9.6,1.6
40,9.7,1.6
41,12.6,1.3
42,3.9,2.0
43,20.3,1.4
44,4.4,1.1
45,3.2,1.1
46,11.8,1.3
47,7.8,0.5
48,4.4,1.2
49,6.8,1.0
50,3.8,0.9
51,6.6,0.4
52,4.4,1.0
53,13.4,0.5
54,3.2,0.1
55,9.7,1.7
56,23.8,1.9
57,37.1,1.9
58,8.9,1.8
59,22.8,1.9
60,8.6,2.0
61,7.6,1.2
62,41.0,1.4
63,5.5,1.5
64,26.9,2.3
65,19.1,1.7
66,15.7,1.9
67,15.6,1.9
68,13.9,1.6
69,16.5,1.9
70,5.9,2.1
71,16.0,2.2
72,7.5,2.9
73,12.1,2.1
74,9.7,2.2
75,27.7,2.4
76,9.0,2.2
77,12.9,2.2
78,11.4,2.1
79,7.6,2.3
80,10.4,1.8
81,19.0,3.1
82,19.1,2.1
83,7.3,1.2
84,6.0,2.0
85,10.9,1.0
86,23.6,0.6
87,16.0,3.0
88,11.2,0.2
89,3.5,1.2
90,3.3,1.2
91,13.8,0.5
92,15.6,0.6
93,5.1,2.2
94,7.7,1.3
95,7.5,0.8
96,15.5,1.7
97,5.9,0.3
