,Points,Salary,Count
0,117.10000000000001,59000.0,69
0,120.22000000000001,58300.0,70
0,103.56,59200.0,71
0,150.3,59700.0,72
0,166.61999999999998,58400.0,73
0,71.03999999999999,58500.0,75
0,116.46,58700.0,76
0,125.34,58700.0,77
0,126.11999999999999,58500.0,78
0,90.36000000000001,59600.0,79
0,141.74,58100.0,53
0,116.03999999999999,59300.0,54
0,131.42,58500.0,55
0,147.6,59100.0,56
0,103.82,58500.0,57
0,115.17999999999999,58800.0,58
0,112.0,58300.0,59
0,130.9,58100.0,60
0,136.72,59200.0,61
0,108.14,58600.0,62
0,109.77999999999999,59000.0,64
0,112.28,59000.0,65
0,98.88,59600.0,66
0,137.04000000000002,58100.0,67
0,88.34,59800.0,35
0,101.60000000000001,59000.0,36
0,166.07999999999998,59600.0,37
0,91.86,58100.0,38
0,108.66,58200.0,39
0,104.74,59100.0,40
0,106.28,59800.0,42
0,102.34,58700.0,43
0,93.80000000000001,59900.0,44
0,121.98,58500.0,45
0,100.98000000000002,58200.0,46
0,118.72000000000001,58100.0,47
0,93.26,58700.0,48
0,138.28,58600.0,49
0,115.28,59800.0,50
0,88.706225,58600.0,51
0,123.71999999999998,58200.0,18
0,92.72,58400.0,19
0,160.6,58300.0,20
0,157.44,58500.0,21
0,113.25999999999999,58100.0,22
0,123.66,58300.0,23
0,94.89999999999999,58400.0,24
0,111.86,58500.0,25
0,108.28000000000002,58100.0,27
0,100.33999999999999,58600.0,28
0,100.32,58900.0,29
0,144.04,59400.0,31
0,98.4,59200.0,32
0,121.86,58100.0,33
0,122.5,58800.0,34
0,134.22,59000.0,1
0,95.2,59300.0,2
0,160.3,59500.0,3
0,115.17999999999998,59700.0,4
0,132.09999999999997,58800.0,5
0,148.20000000000002,58300.0,6
0,94.8,58200.0,7
0,77.04,58700.0,8
0,148.34,58200.0,9
0,116.32,58300.0,10
0,83.06,59100.0,11
0,91.33999999999999,58900.0,12
0,127.58,59600.0,13
0,120.38000000000001,58300.0,14
0,116.25999999999999,58300.0,15
0,121.76,58600.0,16
