,Points,Salary,Count
0,124.22000000000001,58900.0,69
0,90.96,58500.0,70
0,162.76,59000.0,71
0,129.42,59400.0,72
0,114.84,58100.0,73
0,133.22000000000003,58100.0,74
0,115.64,58200.0,75
0,122.69999999999999,58100.0,76
0,112.61999999999999,58300.0,77
0,107.27999999999999,58300.0,78
0,148.16,59300.0,52
0,114.64,58400.0,53
0,123.7,58300.0,54
0,109.61999999999999,58200.0,56
0,162.04,58900.0,57
0,102.38,58400.0,58
0,120.6,59700.0,59
0,120.6,59000.0,60
0,112.39999999999999,59400.0,62
0,102.3,58300.0,64
0,129.98,58800.0,65
0,100.24,58100.0,66
0,146.58,58200.0,67
0,135.28,59400.0,35
0,91.28,59400.0,36
0,136.98000000000002,58800.0,37
0,96.56,59400.0,38
0,114.12,58100.0,39
0,128.97999999999996,58100.0,40
0,93.76,59600.0,41
0,129.48000000000002,59400.0,42
0,141.89999999999998,58200.0,43
0,71.0,58300.0,44
0,100.36,58600.0,45
0,122.23999999999998,58300.0,46
0,111.30000000000001,59200.0,47
0,128.56,59700.0,48
0,134.36,58600.0,49
0,93.63999999999999,58100.0,50
0,79.988784527,58900.0,51
0,122.4,58300.0,18
0,78.92,58300.0,19
0,95.8,59100.0,20
0,114.28,58900.0,21
0,108.10000000000001,58300.0,22
0,160.20000000000002,59400.0,23
0,135.74,58400.0,24
0,121.04,58300.0,27
0,97.53999999999999,59700.0,28
0,88.68,58100.0,29
0,128.48,59600.0,30
0,109.22,58100.0,31
0,98.62000000000002,58400.0,32
0,120.28000000000002,59400.0,33
0,95.34,58100.0,34
0,98.4,59300.0,1
0,133.60000000000002,58600.0,2
0,119.32,59900.0,3
0,97.11999999999999,58900.0,4
0,93.58,58400.0,5
0,113.6,59900.0,6
0,123.19999999999999,59100.0,7
0,156.06,58100.0,8
0,90.78000000000002,58200.0,9
0,124.98,58500.0,10
0,97.22000000000001,58100.0,11
0,130.7,58700.0,12
0,83.58,58900.0,13
0,129.0,59500.0,14
0,102.97999999999999,58300.0,15
0,116.38,59200.0,16
0,97.68,58400.0,17
