,Actual_Points,sdPts
12,9.2,1.3
863,8.2,0.5
1177,7.1,0.4
31,7.0,2.1
10,6.4,1.6
4,33.6,0.8
6,33.4,1.4
2,31.7,1.7
26,27.6,1.5
1,27.3,2.2
77,27.2,1.9
13,25.6,1.2
7,25.0,1.3
19,24.9,1.1
47,24.3,1.2
23,22.6,2.4
3,21.8,1.9
44,20.7,1.3
17,20.6,1.5
1173,2.5,0.5
1227,18.6,0.4
24,18.0,0.8
5,16.6,0.7
37,16.5,1.0
65,14.8,1.7
41,14.8,1.6
40,14.6,2.1
20,14.3,0.6
56,13.0,1.9
9,12.9,1.6
14,12.4,2.1
22,11.4,3.0
1167,7.1,0.4
28,5.6,1.6
1,31.6,1.7
6,30.9,1.5
11,3.0,0.4
8,28.7,0.9
3,24.7,1.5
13,24.2,1.5
33,23.7,2.0
20,22.2,1.3
9,22.1,0.9
1023,2.9,0.7
804,2.6,0.7
23,19.6,1.0
5,19.5,1.0
10,19.1,1.2
43,17.3,1.0
25,17.1,1.8
46,16.7,1.6
65,16.7,1.0
45,16.4,1.7
69,16.1,1.6
17,16.0,0.9
12,14.4,1.6
34,13.4,1.3
21,13.2,1.5
2,12.9,1.2
62,12.2,1.7
1137,12.2,0.5
16,11.9,1.1
22,11.7,1.3
7,11.3,1.4
142,9.3,1.9
56,6.0,1.1
7,41.3,1.5
34,34.2,1.7
3,27.9,1.7
14,26.5,1.2
8,25.8,0.8
47,24.3,2.3
1,23.5,2.1
10,23.5,1.1
13,21.7,0.7
2,21.3,1.5
22,20.8,0.7
28,20.4,1.5
6,20.1,1.5
224,2.9,3.7
16,19.8,1.4
11,19.6,0.8
12,19.3,2.0
31,18.1,1.6
65,18.0,1.7
61,16.7,1.3
54,16.3,1.4
20,16.2,0.8
45,15.6,0.9
33,15.5,1.3
60,14.6,1.3
9,13.3,1.0
19,12.6,0.7
18,12.1,2.0
21,11.4,1.2
24,10.7,2.1
7,8.6,0.8
43,7.5,1.7
64,7.3,1.1
16,4.7,1.5
31,4.6,1.4
1137,4.1,0.2
20,30.3,1.9
