,Actual_Points,sdPts
76,10.3,1.7
81,9.4,1.9
90,7.9,1.4
117,3.2,1.6
131,23.1,2.1
148,4.7,1.2
206,5.0,2.0
209,11.7,1.7
231,8.0,0.7
251,20.8,1.6
278,20.0,1.8
289,1.3,2.2
323,1.7,1.5
356,10.5,2.1
405,5.6,1.1
419,12.2,0.7
425,0.0,1.0
442,10.5,0.6
457,5.2,0.5
467,13.9,0.8
503,2.5,0.9
515,9.0,0.8
528,3.4,1.0
531,1.1,0.9
546,22.1,0.8
585,3.7,0.6
631,1.8,1.0
634,1.2,0.8
658,8.6,1.4
663,11.4,0.9
666,4.1,0.9
687,0.0,0.8
705,1.0,0.7
712,2.2,1.2
721,5.6,0.8
738,2.2,0.9
741,2.6,0.8
743,0.0,0.9
749,10.0,0.4
757,2.5,0.8
774,2.0,0.9
799,0.6,0.7
835,0.0,0.9
836,1.3,0.6
854,0.3,0.6
857,0.8,0.7
890,0.0,1.3
902,2.0,0.5
904,0.9,0.4
906,0.0,0.6
943,0.8,0.9
950,1.3,0.4
953,3.3,0.8
962,0.0,0.8
971,3.0,1.0
982,0.0,0.6
983,4.1,0.3
997,0.0,0.9
998,2.4,1.1
1017,0.0,0.6
1042,0.0,0.7
1044,0.0,0.5
1047,0.0,0.6
1056,0.0,0.5
1073,4.5,0.7
1107,0.0,0.7
1116,0.0,0.7
1119,1.2,0.4
1122,0.0,0.2
1137,0.0,0.6
1151,0.0,0.4
1158,0.0,0.2
1165,0.0,0.5
1184,0.0,0.5
1191,0.0,0.4
1197,0.0,0.4
1202,0.0,0.2
1269,0.0,0.2
1285,0.0,0.2
1304,0.0,0.1
1307,0.0,0.2
1321,0.0,0.1
41,20.2,1.9
71,6.9,2.6
75,7.8,3.5
93,13.2,2.1
104,5.9,3.7
107,1.2,4.3
109,21.2,3.4
111,9.3,2.4
182,0.0,3.1
197,5.4,2.0
222,14.0,3.1
230,3.5,1.7
248,0.0,1.5
249,19.3,1.8
313,4.4,2.7
350,0.0,1.5
492,8.4,0.9
502,10.5,1.5
513,2.4,1.6
531,10.0,1.5
534,2.7,2.7
535,3.1,1.9
560,0.0,1.9
578,5.3,0.5
580,19.5,1.3
612,1.5,1.5
617,3.1,0.9
619,6.6,0.8
661,1.6,0.7
689,2.0,0.8
699,0.0,0.7
704,2.9,0.5
724,4.3,1.7
728,1.4,1.1
734,3.6,1.3
755,3.5,0.6
756,3.9,1.1
769,0.0,0.7
778,1.8,0.6
779,1.9,0.5
786,4.1,0.8
817,3.3,0.4
826,0.0,0.7
837,2.3,1.3
857,0.0,0.7
885,0.0,1.0
890,0.0,1.0
895,0.0,1.3
905,1.3,0.5
919,1.1,0.6
926,0.9,0.4
943,0.0,1.0
944,2.6,0.4
945,0.0,0.8
1013,0.0,0.5
1016,1.4,0.5
1028,1.6,0.4
1032,0.9,0.5
1034,0.0,0.6
1035,0.0,0.6
1042,1.3,0.6
1064,0.0,0.3
1067,0.0,0.4
1078,0.0,0.7
1085,0.0,0.4
1090,0.0,0.3
1094,3.5,0.5
1106,0.0,0.1
1149,2.9,0.3
1153,0.0,0.4
1163,0.0,0.3
1164,4.8,0.3
1181,3.4,0.2
1184,0.0,0.2
1201,0.0,0.2
1211,1.2,0.2
1220,0.0,0.2
1239,0.0,0.1
53,12.4,1.2
80,8.4,2.3
87,8.7,1.9
94,3.0,1.9
100,20.3,1.5
184,9.9,1.9
191,22.5,1.7
244,6.9,2.1
296,20.6,0.6
319,21.6,0.4
356,1.5,0.7
363,8.1,1.3
366,0.6,0.5
428,1.2,1.0
446,6.2,1.0
454,1.6,1.1
463,15.2,1.0
476,0.0,0.8
494,4.0,0.8
566,2.3,0.7
576,2.5,0.9
591,0.8,1.1
604,3.2,0.4
608,6.6,0.5
615,4.0,0.7
628,6.7,1.0
671,1.7,1.3
688,2.4,0.6
696,1.0,0.4
725,0.0,0.6
726,2.4,0.2
727,3.0,0.5
736,1.3,0.4
737,20.8,0.4
738,0.0,1.0
768,15.1,0.7
783,1.9,1.1
790,3.0,0.4
820,1.8,0.4
828,0.8,0.4
831,1.4,0.4
843,2.4,1.0
