,Actual_Points,sdPts
0,20.4,2.8
1,15.9,1.3
2,37.9,1.0
3,10.0,1.2
4,25.0,1.5
5,21.1,1.7
6,12.8,1.6
7,9.4,1.6
8,22.7,1.3
9,20.2,1.4
10,8.5,1.1
11,10.6,1.3
12,7.2,1.3
13,2.7,1.3
14,28.4,1.5
15,36.4,1.2
16,23.8,1.4
17,22.7,1.9
18,1.4,1.8
19,4.4,2.2
20,8.6,1.5
21,15.5,2.3
22,2.6,1.5
23,5.0,1.5
24,25.4,1.5
25,3.7,1.8
26,6.5,2.9
27,5.3,1.3
28,11.0,1.2
29,6.6,0.9
30,5.5,1.7
31,10.7,0.9
32,8.9,1.4
33,3.2,1.1
34,3.7,0.9
35,6.6,1.3
36,1.8,1.7
37,12.3,1.4
38,11.7,1.1
39,6.6,0.6
40,2.8,0.8
41,2.0,0.3
42,3.5,1.1
43,0.3,1.1
44,9.8,1.2
45,2.4,2.2
46,0.0,1.6
47,1.7,0.8
48,11.3,1.0
49,9.8,1.7
50,3.7,1.1
51,4.5,0.9
52,1.1,0.9
53,2.7,1.2
54,7.3,0.3
55,2.5,1.3
56,9.0,1.3
57,6.6,0.6
58,0.0,0.9
59,0.4,0.9
60,4.9,1.5
61,5.6,1.0
62,0.7,1.6
63,11.0,1.2
64,8.3,1.2
65,9.8,0.8
66,17.3,1.3
67,0.8,1.5
68,0.5,0.5
69,0.0,0.9
70,0.0,0.5
71,11.6,0.9
72,5.3,1.2
73,0.0,0.6
74,4.6,0.4
75,0.8,0.5
76,0.6,1.0
77,0.0,0.8
78,4.5,0.5
79,0.0,0.4
80,0.0,0.2
81,0.7,1.2
82,0.0,0.4
83,0.0,0.6
84,0.0,0.6
85,0.1,0.5
86,0.0,0.9
87,3.4,0.4
88,0.0,0.3
89,0.8,0.2
90,0.0,0.6
91,0.0,0.3
92,0.0,0.3
93,0.0,0.3
94,0.0,0.9
95,0.0,0.3
96,0.0,0.6
97,0.0,0.1
98,0.3,0.6
99,0.0,0.4
100,0.0,0.5
101,2.0,0.7
102,0.0,0.3
103,0.0,0.3
104,0.0,0.3
105,0.0,0.2
106,1.9,0.2
107,0.0,0.2
108,0.4,0.2
109,0.0,0.2
110,0.0,0.2
111,0.5,0.2
112,0.0,0.1
113,6.6,0.2
114,0.0,0.1
115,9.9,0.9
116,9.7,0.9
117,9.6,1.1
118,9.1,2.3
119,9.0,1.2
120,8.9,0.8
121,8.4,1.3
122,8.2,0.8
123,8.1,2.1
124,8.0,2.2
125,7.9,0.6
126,7.2,0.8
127,7.2,0.7
128,7.1,1.0
129,7.0,1.1
130,6.5,0.8
131,6.5,1.3
132,6.2,0.3
133,6.1,0.5
134,6.1,1.7
135,5.9,1.2
136,5.6,1.1
137,5.6,0.7
138,5.6,1.6
139,42.3,1.1
140,4.9,1.6
141,4.7,1.6
142,4.7,0.8
143,4.7,2.1
144,4.5,0.5
145,4.1,0.7
146,4.0,0.7
147,31.4,0.6
148,31.3,1.2
149,3.9,1.5
150,3.8,2.0
151,3.8,1.8
152,3.4,0.8
153,3.3,0.4
154,3.2,1.6
155,3.1,0.6
156,3.1,1.5
157,28.7,1.3
158,27.1,1.1
159,24.7,0.7
160,23.5,1.0
161,22.6,0.7
162,22.3,1.7
163,21.8,1.3
164,21.3,1.1
165,21.0,1.8
166,2.8,0.6
167,2.8,0.9
168,2.7,1.0
169,2.7,0.4
170,2.7,0.8
171,2.4,1.0
172,2.3,0.8
173,2.2,0.7
174,2.2,0.6
175,2.1,1.2
176,2.0,0.8
177,2.0,0.5
178,19.9,0.6
179,19.6,1.8
180,19.6,1.8
181,19.5,0.6
182,19.3,1.9
183,18.7,0.8
184,17.3,1.4
185,17.3,1.5
186,17.1,1.1
187,15.5,2.2
188,14.9,0.8
189,14.8,2.2
190,14.4,1.0
191,13.7,2.1
192,13.6,1.1
193,13.4,2.2
194,12.8,0.5
195,12.6,0.9
196,12.2,1.5
197,12.1,2.2
198,11.8,2.0
199,11.7,2.5
200,11.5,1.2
201,11.3,1.0
202,11.2,1.4
203,11.1,0.7
204,10.9,2.1
205,10.8,1.7
206,10.6,2.0
207,10.4,0.7
208,10.3,2.2
209,1.9,0.8
210,1.7,0.6
211,1.5,1.2
212,1.5,1.2
213,1.4,0.8
214,1.4,0.8
215,1.3,1.1
216,1.3,0.5
217,1.3,0.5
218,1.2,0.4
219,1.2,0.9
220,1.2,0.8
221,1.0,0.7
222,1.0,1.3
223,0.6,0.6
224,0.5,1.0
225,0.4,0.4
226,0.0,0.2
227,0.0,0.8
228,0.0,0.2
229,0.0,0.2
230,0.0,0.3
231,0.0,0.2
232,0.0,0.4
233,0.0,0.5
234,0.0,0.8
235,0.0,0.2
236,0.0,0.1
237,0.0,0.4
238,0.0,0.3
239,0.0,0.2
240,0.0,0.3
241,0.0,0.4
242,0.0,1.6
243,0.0,0.8
244,0.0,0.6
245,0.0,1.0
246,0.0,0.6
247,0.0,1.6
248,0.0,0.8
249,0.0,1.4
250,0.0,1.3
251,0.0,0.6
252,0.0,1.2
253,0.0,0.6
254,0.0,0.6
255,0.0,0.7
256,0.0,0.8
257,0.0,0.6
258,0.0,0.7
259,0.0,0.6
260,0.0,0.8
261,0.0,0.9
262,0.0,0.9
263,0.0,1.1
264,0.0,2.4
265,10.3,1.7
266,9.4,1.9
267,7.9,1.4
268,3.2,1.6
269,23.1,2.1
270,4.7,1.2
271,5.0,2.0
272,11.7,1.7
273,8.0,0.7
274,20.8,1.6
275,20.0,1.8
276,1.3,2.2
277,1.7,1.5
278,10.5,2.1
279,5.6,1.1
280,12.2,0.7
281,0.0,1.0
282,10.5,0.6
283,5.2,0.5
284,13.9,0.8
285,2.5,0.9
286,9.0,0.8
287,3.4,1.0
288,1.1,0.9
289,22.1,0.8
290,3.7,0.6
291,1.8,1.0
292,1.2,0.8
293,8.6,1.4
294,11.4,0.9
295,4.1,0.9
296,0.0,0.8
297,1.0,0.7
298,2.2,1.2
299,5.6,0.8
300,2.2,0.9
301,2.6,0.8
302,0.0,0.9
303,10.0,0.4
304,2.5,0.8
305,2.0,0.9
306,0.6,0.7
307,0.0,0.9
308,1.3,0.6
309,0.3,0.6
310,0.8,0.7
311,0.0,1.3
312,2.0,0.5
313,0.9,0.4
314,0.0,0.6
315,0.8,0.9
316,1.3,0.4
317,3.3,0.8
318,0.0,0.8
319,3.0,1.0
320,0.0,0.6
321,4.1,0.3
322,0.0,0.9
323,2.4,1.1
324,0.0,0.6
325,0.0,0.7
326,0.0,0.5
327,0.0,0.6
328,0.0,0.5
329,4.5,0.7
330,0.0,0.7
331,0.0,0.7
332,1.2,0.4
333,0.0,0.2
334,0.0,0.6
335,0.0,0.4
336,0.0,0.2
337,0.0,0.5
338,0.0,0.5
339,0.0,0.4
340,0.0,0.4
341,0.0,0.2
342,0.0,0.2
343,0.0,0.2
344,0.0,0.1
345,0.0,0.2
346,0.0,0.1
,Actual_Points,sdPts
0,20.4,2.8
1,15.9,1.3
2,37.9,1.0
3,10.0,1.2
4,25.0,1.5
5,21.1,1.7
6,12.8,1.6
7,9.4,1.6
8,22.7,1.3
9,20.2,1.4
10,8.5,1.1
11,10.6,1.3
12,7.2,1.3
13,2.7,1.3
14,28.4,1.5
15,36.4,1.2
16,23.8,1.4
17,22.7,1.9
18,1.4,1.8
19,4.4,2.2
20,8.6,1.5
21,15.5,2.3
22,2.6,1.5
23,5.0,1.5
24,25.4,1.5
25,3.7,1.8
26,6.5,2.9
27,5.3,1.3
28,11.0,1.2
29,6.6,0.9
30,5.5,1.7
31,10.7,0.9
32,8.9,1.4
33,3.2,1.1
34,3.7,0.9
35,6.6,1.3
36,1.8,1.7
37,12.3,1.4
38,11.7,1.1
39,6.6,0.6
40,2.8,0.8
41,2.0,0.3
42,3.5,1.1
43,0.3,1.1
44,9.8,1.2
45,2.4,2.2
46,0.0,1.6
47,1.7,0.8
48,11.3,1.0
49,9.8,1.7
50,3.7,1.1
51,4.5,0.9
52,1.1,0.9
53,2.7,1.2
54,7.3,0.3
55,2.5,1.3
56,9.0,1.3
57,6.6,0.6
58,0.0,0.9
59,0.4,0.9
60,4.9,1.5
61,5.6,1.0
62,0.7,1.6
63,11.0,1.2
64,8.3,1.2
65,9.8,0.8
66,17.3,1.3
67,0.8,1.5
68,0.5,0.5
69,0.0,0.9
70,0.0,0.5
71,11.6,0.9
72,5.3,1.2
73,0.0,0.6
74,4.6,0.4
75,0.8,0.5
76,0.6,1.0
77,0.0,0.8
78,4.5,0.5
79,0.0,0.4
80,0.0,0.2
81,0.7,1.2
82,0.0,0.4
