,Actual_Points,sdPts
16,20.4,2.8
18,15.9,1.3
21,37.9,1.0
25,10.0,1.2
27,25.0,1.5
28,21.1,1.7
29,12.8,1.6
30,9.4,1.6
32,22.7,1.3
33,20.2,1.4
34,8.5,1.1
36,10.6,1.3
38,7.2,1.3
39,2.7,1.3
61,28.4,1.5
62,36.4,1.2
63,23.8,1.4
64,22.7,1.9
66,1.4,1.8
67,4.4,2.2
68,8.6,1.5
69,15.5,2.3
70,2.6,1.5
71,5.0,1.5
79,25.4,1.5
84,3.7,1.8
93,6.5,2.9
97,5.3,1.3
106,11.0,1.2
112,6.6,0.9
149,5.5,1.7
151,10.7,0.9
160,8.9,1.4
163,3.2,1.1
169,3.7,0.9
174,6.6,1.3
185,1.8,1.7
200,12.3,1.4
202,11.7,1.1
219,6.6,0.6
240,2.8,0.8
274,2.0,0.3
292,3.5,1.1
303,0.3,1.1
335,9.8,1.2
349,2.4,2.2
365,0.0,1.6
366,1.7,0.8
371,11.3,1.0
386,9.8,1.7
394,3.7,1.1
432,4.5,0.9
460,1.1,0.9
471,2.7,1.2
473,7.3,0.3
496,2.5,1.3
497,9.0,1.3
508,6.6,0.6
517,0.0,0.9
520,0.4,0.9
535,4.9,1.5
536,5.6,1.0
577,0.7,1.6
592,11.0,1.2
606,8.3,1.2
646,9.8,0.8
655,17.3,1.3
677,0.8,1.5
709,0.5,0.5
748,0.0,0.9
779,0.0,0.5
789,11.6,0.9
793,5.3,1.2
808,0.0,0.6
821,4.6,0.4
827,0.8,0.5
829,0.6,1.0
830,0.0,0.8
868,4.5,0.5
884,0.0,0.4
885,0.0,0.2
912,0.7,1.2
934,0.0,0.4
941,0.0,0.6
963,0.0,0.6
968,0.1,0.5
970,0.0,0.9
995,3.4,0.4
1005,0.0,0.3
1010,0.8,0.2
1021,0.0,0.6
1057,0.0,0.3
1092,0.0,0.3
1100,0.0,0.3
1105,0.0,0.9
1117,0.0,0.3
1126,0.0,0.6
1129,0.0,0.1
1140,0.3,0.6
1156,0.0,0.4
1160,0.0,0.5
1164,2.0,0.7
1185,0.0,0.3
1196,0.0,0.3
1200,0.0,0.3
1213,0.0,0.2
1251,1.9,0.2
1273,0.0,0.2
1276,0.4,0.2
1282,0.0,0.2
1286,0.0,0.2
1297,0.5,0.2
1300,0.0,0.1
1302,6.6,0.2
1315,0.0,0.1
,Actual_Points,sdPts
16,20.4,2.8
18,15.9,1.3
21,37.9,1.0
25,10.0,1.2
27,25.0,1.5
28,21.1,1.7
29,12.8,1.6
30,9.4,1.6
32,22.7,1.3
33,20.2,1.4
34,8.5,1.1
36,10.6,1.3
38,7.2,1.3
39,2.7,1.3
61,28.4,1.5
62,36.4,1.2
63,23.8,1.4
64,22.7,1.9
66,1.4,1.8
67,4.4,2.2
68,8.6,1.5
69,15.5,2.3
70,2.6,1.5
71,5.0,1.5
79,25.4,1.5
84,3.7,1.8
93,6.5,2.9
97,5.3,1.3
106,11.0,1.2
112,6.6,0.9
149,5.5,1.7
151,10.7,0.9
160,8.9,1.4
163,3.2,1.1
169,3.7,0.9
174,6.6,1.3
185,1.8,1.7
200,12.3,1.4
202,11.7,1.1
219,6.6,0.6
240,2.8,0.8
274,2.0,0.3
292,3.5,1.1
303,0.3,1.1
335,9.8,1.2
349,2.4,2.2
365,0.0,1.6
366,1.7,0.8
371,11.3,1.0
386,9.8,1.7
394,3.7,1.1
432,4.5,0.9
460,1.1,0.9
471,2.7,1.2
473,7.3,0.3
496,2.5,1.3
497,9.0,1.3
508,6.6,0.6
517,0.0,0.9
520,0.4,0.9
535,4.9,1.5
536,5.6,1.0
577,0.7,1.6
592,11.0,1.2
606,8.3,1.2
646,9.8,0.8
655,17.3,1.3
677,0.8,1.5
709,0.5,0.5
748,0.0,0.9
779,0.0,0.5
789,11.6,0.9
793,5.3,1.2
808,0.0,0.6
821,4.6,0.4
827,0.8,0.5
829,0.6,1.0
830,0.0,0.8
868,4.5,0.5
884,0.0,0.4
885,0.0,0.2
912,0.7,1.2
934,0.0,0.4
941,0.0,0.6
963,0.0,0.6
968,0.1,0.5
970,0.0,0.9
995,3.4,0.4
1005,0.0,0.3
1010,0.8,0.2
1021,0.0,0.6
1057,0.0,0.3
1092,0.0,0.3
1100,0.0,0.3
1105,0.0,0.9
1117,0.0,0.3
1126,0.0,0.6
1129,0.0,0.1
1140,0.3,0.6
1156,0.0,0.4
1160,0.0,0.5
1164,2.0,0.7
1185,0.0,0.3
1196,0.0,0.3
1200,0.0,0.3
1213,0.0,0.2
1251,1.9,0.2
1273,0.0,0.2
1276,0.4,0.2
1282,0.0,0.2
1286,0.0,0.2
1297,0.5,0.2
1300,0.0,0.1
1302,6.6,0.2
1315,0.0,0.1
