,Actual_Points,sdPts
76,10.3,1.7
81,9.4,1.9
90,7.9,1.4
117,3.2,1.6
131,23.1,2.1
148,4.7,1.2
206,5.0,2.0
209,11.7,1.7
231,8.0,0.7
251,20.8,1.6
278,20.0,1.8
289,1.3,2.2
323,1.7,1.5
356,10.5,2.1
405,5.6,1.1
419,12.2,0.7
425,0.0,1.0
442,10.5,0.6
457,5.2,0.5
467,13.9,0.8
503,2.5,0.9
515,9.0,0.8
528,3.4,1.0
531,1.1,0.9
546,22.1,0.8
585,3.7,0.6
631,1.8,1.0
634,1.2,0.8
658,8.6,1.4
663,11.4,0.9
666,4.1,0.9
687,0.0,0.8
705,1.0,0.7
712,2.2,1.2
721,5.6,0.8
738,2.2,0.9
741,2.6,0.8
743,0.0,0.9
749,10.0,0.4
757,2.5,0.8
774,2.0,0.9
799,0.6,0.7
835,0.0,0.9
836,1.3,0.6
854,0.3,0.6
857,0.8,0.7
890,0.0,1.3
902,2.0,0.5
904,0.9,0.4
906,0.0,0.6
943,0.8,0.9
950,1.3,0.4
953,3.3,0.8
962,0.0,0.8
971,3.0,1.0
982,0.0,0.6
983,4.1,0.3
997,0.0,0.9
998,2.4,1.1
1017,0.0,0.6
1042,0.0,0.7
1044,0.0,0.5
1047,0.0,0.6
1056,0.0,0.5
1073,4.5,0.7
1107,0.0,0.7
1116,0.0,0.7
1119,1.2,0.4
1122,0.0,0.2
1137,0.0,0.6
1151,0.0,0.4
1158,0.0,0.2
1165,0.0,0.5
1184,0.0,0.5
1191,0.0,0.4
1197,0.0,0.4
1202,0.0,0.2
1269,0.0,0.2
1285,0.0,0.2
1304,0.0,0.1
1307,0.0,0.2
1321,0.0,0.1
,Actual_Points,sdPts
76,10.3,1.7
81,9.4,1.9
90,7.9,1.4
117,3.2,1.6
131,23.1,2.1
148,4.7,1.2
206,5.0,2.0
209,11.7,1.7
231,8.0,0.7
251,20.8,1.6
278,20.0,1.8
289,1.3,2.2
323,1.7,1.5
356,10.5,2.1
405,5.6,1.1
419,12.2,0.7
425,0.0,1.0
442,10.5,0.6
457,5.2,0.5
467,13.9,0.8
503,2.5,0.9
515,9.0,0.8
528,3.4,1.0
531,1.1,0.9
546,22.1,0.8
585,3.7,0.6
631,1.8,1.0
634,1.2,0.8
658,8.6,1.4
663,11.4,0.9
666,4.1,0.9
687,0.0,0.8
705,1.0,0.7
712,2.2,1.2
721,5.6,0.8
738,2.2,0.9
741,2.6,0.8
743,0.0,0.9
749,10.0,0.4
757,2.5,0.8
774,2.0,0.9
799,0.6,0.7
835,0.0,0.9
836,1.3,0.6
854,0.3,0.6
857,0.8,0.7
890,0.0,1.3
902,2.0,0.5
904,0.9,0.4
906,0.0,0.6
943,0.8,0.9
950,1.3,0.4
953,3.3,0.8
962,0.0,0.8
971,3.0,1.0
982,0.0,0.6
983,4.1,0.3
997,0.0,0.9
998,2.4,1.1
1017,0.0,0.6
1042,0.0,0.7
1044,0.0,0.5
1047,0.0,0.6
1056,0.0,0.5
1073,4.5,0.7
1107,0.0,0.7
1116,0.0,0.7
1119,1.2,0.4
1122,0.0,0.2
1137,0.0,0.6
1151,0.0,0.4
1158,0.0,0.2
1165,0.0,0.5
1184,0.0,0.5
1191,0.0,0.4
1197,0.0,0.4
1202,0.0,0.2
1269,0.0,0.2
1285,0.0,0.2
1304,0.0,0.1
1307,0.0,0.2
1321,0.0,0.1
