playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2506340,Alex Smith,KC,QB,33,12,10,18.752,18.752,18.752,NA,1,0.857,1,0,NA,4.1,3,5.079893897,NA,NA
2504211,Tom Brady,NE,QB,40,17,9,18.352,18.352,18.352,NA,2,1.161,1,0,NA,1.1,0.3,-0.999305387,NA,NA
2555259,Carson Wentz,PHI,QB,25,1,10,17.438,17.438,17.438,NA,3,0.641,1,0,NA,3.6,1.4,1.477405432,NA,NA
79860,Matthew Stafford,DET,QB,29,8,7,16.944,16.944,16.944,NA,4,0.321,0,0,NA,8.1,4,7.331449188,NA,NA
2540175,LeVeon Bell,PIT,RB,25,4,9,16.68,16.68,16.68,NA,1,1.77,1,0,NA,1.2,0.6,1.127258996,NA,NA
310,Matt Ryan,ATL,QB,32,9,5,16.65,16.65,16.65,NA,5,0.092,0,0,NA,10,4.1,7.556604717,NA,NA
2552033,Jameis Winston,TB,QB,23,2,1,16.596,16.596,16.596,NA,6,0.139,0,0,NA,10.8,3.5,6.205671543,NA,NA
2506121,Philip Rivers,LAC,QB,36,13,9,16.52,16.52,16.52,NA,7,0.497,0,0,NA,3.6,1.8,2.378027549,NA,NA
2555334,Jared Goff,LAR,QB,23,1,8,16.394,16.394,16.394,NA,8,0.758,0,0,NA,9,3.3,5.755360485,NA,NA
2504775,Drew Brees,NO,QB,38,16,5,15.652,15.652,15.652,NA,9,0.055,0,0,NA,6.9,3.8,6.88113813,NA,NA
2495441,Blaine Gabbert,ARI,QB,28,6,8,15.62,15.62,15.62,NA,10,0.065,0,0,NA,22.3,3,5.079893897,NA,NA
2555260,Dak Prescott,DAL,QB,24,1,6,15.574,15.574,15.574,NA,11,0.205,0,0,NA,11,3.1,5.305049426,NA,NA
2543801,Jimmy Garoppolo,SF,QB,26,3,11,15.536,15.536,15.536,NA,12,0.345,0,0,NA,16.3,3.3,5.755360485,NA,NA
2495466,Mark Ingram,NO,RB,28,6,5,15.33,15.33,15.33,NA,2,0.855,1,0,NA,7,2.4,2.585480711,NA,NA
2543499,Derek Carr,OAK,QB,26,3,10,15.202,15.202,15.202,NA,13,0.07,0,0,NA,14.2,3.4,5.980516014,NA,NA
2495143,Andy Dalton,CIN,QB,30,6,6,15.18,15.18,15.18,NA,14,0.196,0,0,NA,18.5,4.5,8.457226833,NA,NA
2532975,Russell Wilson,SEA,QB,29,5,6,15.084,15.084,15.084,NA,15,0.349,0,0,NA,7.3,2.8,4.629582839,NA,NA
2505076,Josh McCown,NYJ,QB,38,15,11,14.884,14.884,14.884,NA,16,0.338,0,0,NA,17.4,4,7.331449188,NA,NA
2557983,DeShone Kizer,CLE,QB,21,0,9,14.586,14.586,14.586,NA,17,0.111,0,0,NA,20.8,3.6,6.430827072,NA,NA
2495455,Cam Newton,CAR,QB,28,6,11,14.506,14.506,14.506,NA,18,0.122,0,0,NA,12.9,3.3,5.755360485,NA,NA
2552469,Melvin Gordon,LAC,RB,24,2,9,14.49,14.49,14.49,NA,3,0.47,1,0,NA,4.9,1.1,1.532320584,NA,NA
79607,LeSean McCoy,BUF,RB,29,8,6,14.46,14.46,14.46,NA,4,0.965,0,0,NA,4.1,1.9,2.180419124,NA,NA
2553457,Trevor Siemian,DEN,QB,NA,NA,5,14.444,14.444,14.444,NA,19,0.151,0,0,NA,27.5,2.5,3.954116252,NA,NA
2543640,Tom Savage,HOU,QB,27,3,7,14.324,14.324,14.324,NA,20,0.144,0,0,NA,26.6,2.9,4.854738368,NA,NA
2532820,Kirk Cousins,WAS,QB,29,5,5,14.262,14.262,14.262,NA,21,0.361,0,0,NA,14.5,3.2,5.530204956,NA,NA
2506109,Ben Roethlisberger,PIT,QB,35,13,9,14.098,14.098,14.098,NA,22,0.509,0,0,NA,11,3.9,7.106293659,NA,NA
2495824,Jay Cutler,MIA,QB,34,11,1,13.704,13.704,13.704,NA,23,0.287,0,0,NA,27.4,2.4,3.728960723,NA,NA
2508061,Antonio Brown,PIT,WR,29,7,9,13.59,13.59,13.59,NA,1,2.255,1,0,NA,1.4,0.8,1.18653992,NA,NA
2557973,Leonard Fournette,JAC,RB,21,0,8,13.58,13.58,13.58,NA,5,0.28,0,0,NA,8.4,2.5,2.666493029,NA,NA
2505996,Eli Manning,NYG,QB,36,13,8,13.474,13.474,13.474,NA,24,0.122,0,0,NA,25,3,5.079893897,NA,NA
2543743,Carlos Hyde,SF,RB,26,3,11,13.41,13.41,13.41,NA,6,0.315,0,0,NA,15.6,3.2,3.233579251,NA,NA
2552466,Marcus Mariota,TEN,QB,24,2,8,13.36,13.36,13.36,NA,25,0.042,0,0,NA,18.2,3.3,5.755360485,NA,NA
2532888,Case Keenum,MIN,QB,29,5,9,13.344,13.344,13.344,NA,26,0.095,0,0,NA,15.8,3.3,5.755360485,NA,NA
2543477,Blake Bortles,JAC,QB,26,3,8,13.292,13.292,13.292,NA,27,0.383,0,0,NA,23.7,2.8,4.629582839,NA,NA
2555261,Jacoby Brissett,IND,QB,25,1,11,13.206,13.206,13.206,NA,28,1.105,0,0,NA,27.3,2.5,3.954116252,NA,NA
2533034,Lamar Miller,HOU,RB,26,5,7,13.19,13.19,13.19,NA,7,0.28,0,0,NA,7.7,3.1,3.152566934,NA,NA
2543583,Devonta Freeman,ATL,RB,25,3,5,13,13,13,NA,8,0.36,0,0,NA,10.5,3.2,3.233579251,NA,NA
2558019,Alvin Kamara,NO,RB,21,0,5,12.82,12.82,12.82,NA,9,0.43,0,0,NA,2.7,2.3,2.504468394,NA,NA
2552588,Brett Hundley,GB,QB,24,2,8,12.612,12.612,12.612,NA,29,1.042,0,0,NA,23.5,2.2,3.278649665,NA,NA
2540156,Giovani Bernard,CIN,RB,26,4,6,12.46,12.46,12.46,NA,10,0.165,0,0,NA,18,7.5,6.717108903,NA,NA
2558138,Samaje Perine,WAS,RB,22,0,5,12.32,12.32,12.32,NA,11,0.11,0,0,NA,13.4,4.5,4.286739379,NA,NA
2495663,Marshawn Lynch,OAK,RB,31,10,10,12.27,12.27,12.27,NA,12,0.35,0,0,NA,13.4,3.7,3.638640839,NA,NA
2495469,Dion Lewis,NE,RB,27,6,9,12.15,12.15,12.15,NA,13,0.51,0,0,NA,16.8,3.3,3.314591569,NA,NA
2555418,Jordan Howard,CHI,RB,23,1,9,11.69,11.69,11.69,NA,14,0.14,0,0,NA,17.7,3.8,3.719653156,NA,NA
2557917,Kareem Hunt,KC,RB,22,0,10,11.59,11.59,11.59,NA,15,0.475,0,0,NA,12.4,4.6,4.367751696,NA,NA
2558191,Nathan Peterman,BUF,QB,23,0,6,11.59,11.59,11.59,NA,30,0.098,0,0,NA,30.9,1.8,2.378027549,NA,NA
2540165,DeAndre Hopkins,HOU,WR,25,4,7,11.55,11.55,11.55,NA,2,0.565,1,0,NA,2.5,1.1,1.373160062,NA,NA
2558008,Mitchell Trubisky,CHI,QB,23,0,9,11.55,11.55,11.55,NA,31,0.116,0,0,NA,NA,NA,NA,NA,NA
2533457,Alfred Morris,DAL,RB,29,5,6,11.51,11.51,11.51,NA,16,0.985,0,0,NA,17.3,4.5,4.286739379,NA,NA
382,Joe Flacco,BAL,QB,32,9,10,11.434,11.434,11.434,NA,32,NA,0,0,NA,30.2,1.9,2.603183078,NA,NA
2495454,Julio Jones,ATL,WR,28,6,5,11.12,11.12,11.12,NA,3,0.605,0,0,NA,6.3,3.1,2.617294344,NA,NA
2495450,A.J. Green,CIN,WR,29,6,6,10.85,10.85,10.85,NA,4,0.705,0,0,NA,3.8,1.3,1.49757349,NA,NA
