playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2532975,Russell Wilson,SEA,QB,27,3,9,21.7,21.7,21.7,NA,1,1.75,1,0,NA,2.2,1,6.549193338,NA,NA
2506109,Ben Roethlisberger,PIT,QB,33,11,11,20.1,20.1,20.1,NA,2,0.4,1,0,NA,1.5,0.8,3.450806662,NA,NA
2506340,Alex Smith,KC,QB,31,10,9,19.8,19.8,19.8,NA,3,1,1,0,NA,5.4,0.8,3.450806662,NA,NA
2532820,Kirk Cousins,WAS,QB,27,3,8,19.6,19.6,19.6,NA,4,2.5,1,0,NA,3.3,1,6.549193338,NA,NA
2506363,Aaron Rodgers,GB,QB,32,10,7,18,18,18,NA,5,4.25,0,0,NA,3.4,1.1,8.098386677,NA,NA
2543465,Teddy Bridgewater,MIN,QB,23,1,5,16.2,16.2,16.2,NA,6,4.9,0,0,NA,7.5,0.8,3.450806662,NA,NA
2508061,Antonio Brown,PIT,WR,27,5,11,15.5,15.5,15.5,NA,1,0.75,1,0,NA,1.2,0.6,2.388756558,NA,NA
2540165,DeAndre Hopkins,HOU,WR,23,2,9,15.5,15.5,15.5,NA,1,1.5,1,0,NA,2.3,0.7,2.64772285,NA,NA
2540168,Eddie Lacy,GB,RB,24,2,7,14.5,14.5,14.5,NA,1,1.25,1,0,NA,3.6,1.8,4.284821739,NA,NA
80429,Jeremy Maclin,KC,WR,27,6,9,14,14,14,NA,3,0,1,0,NA,4.6,0.9,3.165655433,NA,NA
2495450,A.J. Green,CIN,WR,27,4,7,14,14,14,NA,3,0,1,0,NA,2.8,0.7,2.64772285,NA,NA
2507183,James Jones,GB,WR,31,8,7,14,14,14,NA,3,0.25,1,0,NA,9,2.1,6.273250935,NA,NA
2530747,Doug Baldwin,SEA,WR,27,4,9,14,14,14,NA,3,0.75,1,0,NA,4.6,1.2,3.942554309,NA,NA
1581,DeSean Jackson,WAS,WR,29,7,8,13.5,13.5,13.5,NA,7,1.25,0,0,NA,6.5,0.9,3.165655433,NA,NA
2539322,Christine Michael,FA,RB,25,2,NA,13.5,13.5,13.5,NA,2,3.25,1,0,NA,6.6,3.6,8.775475935,NA,NA
2540160,Jordan Reed,WAS,TE,25,2,8,13,13,13,NA,1,1.75,1,0,NA,1.1,0.2,2.039777385,NA,NA
2543603,Jeremy Hill,CIN,RB,23,1,7,13,13,13,NA,3,5.75,1,0,NA,3.6,2.2,5.282744894,NA,NA
2552608,Stefon Diggs,MIN,WR,22,0,5,13,13,13,NA,8,4.5,0,0,NA,13.6,1.9,5.755318351,NA,NA
2532887,Jermaine Kearse,SEA,WR,25,3,9,11.5,11.5,11.5,NA,9,6,0,0,NA,14.6,2,6.014284643,NA,NA
2540148,Tyler Eifert,CIN,TE,25,2,7,11.5,11.5,11.5,NA,2,0.5,1,0,NA,2.1,0.5,4.045089479,NA,NA
81294,Brian Hoyer,HOU,QB,30,6,9,11.3,11.3,11.3,NA,7,NA,0,0,NA,6.6,0.8,3.450806662,NA,NA
2506369,Heath Miller,PIT,TE,33,10,11,11,11,11,NA,3,0.25,0,0,NA,4.4,1,7.387276303,NA,NA
2540258,Travis Kelce,KC,TE,26,2,9,11,11,11,NA,3,3,1,0,NA,3.1,0.5,4.045089479,NA,NA
2495438,Kyle Rudolph,MIN,TE,26,4,5,10.5,10.5,10.5,NA,5,6.25,0,0,NA,5.2,0.8,6.050401573,NA,NA
2533457,Alfred Morris,WAS,RB,27,3,8,7.5,7.5,7.5,NA,4,0.5,0,0,NA,8.1,2.4,5.781706471,NA,NA
