"","Player","Points","FD_Salary"
"11","Newton, Cam","34.58","$7,900"
"12","Rodgers, Aaron","33.96","$8,900"
"13","Mariota, Marcus","33.34","$7,100"
"14","Brees, Drew","32.38","$8,500"
"15","Carr, Derek","27.34","$7,000"
"16","Cassel, Matt","24.66","$6,300"
"17","Bortles, Blake","22.44","$7,600"
"18","Roethlisberger, Ben","22.36","$8,300"
"19","Dalton, Andy","21.86","$8,200"
"20","Luck, Andrew","21.48","$8,700"
"21","Fitzpatrick, Ryan","18.88","$7,500"
"22","Brady, Tom","18.86","$9,500"
"23","Cutler, Jay","18.6","$7,100"
"24","Winston, Jameis","18.36","$6,700"
"25","Manning, Peyton","17.24","$7,700"
"26","Gabbert, Blaine","16.6","$5,400"
"27","Ryan, Matt","16.32","$8,000"
"28","Bradford, Sam","15.7","$7,600"
"29","Taylor, Tyrod","15.64","$7,200"
"30","Rivers, Philip","15.2","$8,600"
"31","Bridgewater, Teddy","14.46","$6,700"
"32","Manning, Eli","14.42","$7,800"
"33","Manziel, Johnny","13.82","$6,500"
"34","Tannehill, Ryan","12.06","$7,400"
"35","Cousins, Kirk","11.68","$6,600"
"36","Foles, Nick","6.92","$6,300"
"37","Jones, Landry","3.16","$6,200"
"38","Hill, Shaun","0.5","$5,100"
"39","Kaepernick, Colin","0","$6,500"
"40","Webb, Joe","-0.1","$4,800"
"41","Garoppolo, Jimmy","-0.1","$5,000"
"42","McCarron, A.J.","-0.2","$5,100"
"45","Williams, DeAngelo","37.5","$6,500"
"46","Miller, Lamar","29.6","$6,900"
"47","Murray, DeMarco","25.1","$7,500"
"48","Langford, Jeremy","23.7","$6,400"
"49","Williams, Karlos","23","$5,600"
"50","Peterson, Adrian","21.3","$8,400"
"51","Starks, James","21.2","$5,800"
"52","Woodhead, Danny","20.1","$6,000"
"53","Blount, LeGarrette","18.9","$6,400"
"54","McCoy, LeSean","18.9","$7,800"
"55","Gurley, Todd","18.4","$9,000"
"56","Ivory, Chris","18.3","$7,500"
"57","Freeman, Devonta","17.9","$8,900"
"58","Gore, Frank","16.7","$6,700"
"59","Mathews, Ryan","12.7","$5,600"
"60","McFadden, Darren","12.7","$6,500"
"61","Vereen, Shane","12.3","$5,700"
"62","Andrews, Antonio","11.6","$5,700"
"63","Draughn, Shaun","11.6","$4,500"
"64","Ingram, Mark","11.6","$7,700"
"65","Yeldon, T.J.","11.6","$6,400"
"66","Bolden, Brandon","11.4","$4,900"
"67","Johnson, Duke","10.8","$5,900"
"68","Bernard, Giovani","9.1","$6,200"
"69","Murray, Latavius","8.5","$7,000"
"70","Crowell, Isaiah","7.9","$5,300"
"72","Bradshaw, Ahmad","7.6","$5,000"
"73","Lewis, Dion","7.3","$7,400"
"74","Stewart, Jonathan","7.3","$6,600"
"75","Gordon, Melvin","7.1","$6,100"
"76","Sims, Charles","6.7","$5,100"
"77","Hill, Jeremy","5.7","$6,800"
"78","Jennings, Rashad","5.2","$5,500"
"79","Anderson, C.J.","4.3","$6,000"
"80","Williams, Andre","4.2","$5,400"
"81","Ajayi, Jay","4.1","$4,500"
"82","McCluster, Dexter","3.7","$5,000"
"83","Sproles, Darren","3.6","$5,500"
"84","Jones, Matt","3.4","$5,800"
"85","Martin, Doug","3.3","$7,100"
"86","Thompson, Chris","3.1","$5,500"
"87","Carey, Ka'Deem","2.8","$4,800"
"88","Stacy, Zac","2.4","$5,000"
"89","Darkwa, Orleans","2.3","$5,300"
"91","Reece, Marcel","2.1","$4,800"
"92","McKinnon, Jerick","2.1","$4,700"
"93","Gaskins, Kendall","2","$4,800"
"94","Spiller, C.J.","1.5","$5,500"
"95","Brown, Donald","1.3","$4,500"
"96","Whittaker, Fozzy","1.3","$4,700"
"97","Burkhead, Rex","1.2","$4,500"
"100","Lane, Jorvorskie","1","$4,500"
"101","Morris, Alfred","1","$5,400"
"102","Tolbert, Mike","0.7","$5,200"
"103","Mason, Tre","0.4","$4,900"
"104","Miller, Bruce","0.4","$4,500"
"105","Asiata, Matt","0.4","$4,500"
"106","Coleman, Tevin","0.3","$5,000"
"107","Todman, Jordan","0.3","$4,700"
"108","Rainey, Bobby","0.3","$4,600"
"109","Robinson, Denard","0.2","$5,300"
"110","Hillman, Ronnie","0.1","$6,400"
"111","Harris, Alonzo","0","$4,500"
"112","Kuhn, John","0","$4,500"
"113","Williams, Damien","0","$4,900"
"114","Ward, Terron","0","$4,500"
"115","Young, Darrel","0","$4,500"
"116","Barner, Kenjon","0","$4,500"
"117","Gray, Jonas","0","$5,000"
"118","Cunningham, Benny","0","$4,900"
"119","Bohanon, Tommy","0","$4,500"
"120","Thompson, Juwan","0","$4,900"
"121","DiMarco, Patrick","0","$4,500"
"122","Peerman, Cedric","0","$4,500"
"123","Dixon, Anthony","0","$4,600"
"124","Hightower, Tim","0","$4,500"
"125","Pierce, Bernard","0","$4,500"
"127","Lacy, Eddie","-1","$6,700"
"128","Murphy, Marcus","-2","$4,500"
"131","Brown, Antonio","37.1","$8,700"
"132","Beasley, Cole","27.7","$5,200"
"133","Watkins, Sammy","26.8","$6,200"
"134","Crabtree, Michael","26.3","$5,800"
"135","Matthews, Jordan","23.8","$6,300"
"136","Hurns, Allen","20.7","$6,800"
"137","Jeffery, Alshon","20.1","$7,900"
"138","Bryant, Dez","18.9","$7,900"
"139","Jones, Julio","18.7","$9,200"
"140","Cooper, Amari","18.3","$7,300"
"141","Sanders, Emmanuel","18","$7,600"
"142","Cobb, Randall","17.9","$7,400"
"143","Evans, Mike","17.2","$7,500"
"144","Decker, Eric","16.9","$6,300"
"145","Cooks, Brandin","15.1","$7,100"
"146","Robinson, Allen","15.1","$7,200"
"147","Beckham Jr., Odell","15","$9,000"
"148","Adams, Davante","14.8","$5,100"
"149","Funchess, Devin","14.6","$4,600"
"150","Landry, Jarvis","14.56","$7,000"
"152","LaFell, Brandon","12.7","$5,200"
"153","Sanu, Mohamed","12.5","$4,900"
"154","Snead, Willie","12.5","$6,100"
"155","Randle, Rueben","12.5","$5,500"
"156","Marshall, Brandon","12.4","$8,100"
"157","Edelman, Julian","12","$8,000"
"158","Brown, Corey","10.8","$4,700"
"159","Hilton, T.Y.","10.7","$7,700"
"160","Bryant, Martavis","10.6","$6,900"
"161","Jones, Marvin","10.3","$5,200"
"162","Johnson, Steve","10.3","$5,400"
"163","Britt, Kenny","10.2","$4,800"
"164","Green-Beckham, Dorial","10.2","$4,900"
"165","Austin, Tavon","10.1","$5,700"
"166","Whalen, Griff","9.8","$4,500"
"167","Douglas, Harry","9.8","$4,500"
"168","Cotchery, Jerricho","9.7","$4,600"
"169","Hunter, Justin","9.2","$4,600"
"170","Garcon, Pierre","9","$6,300"
"171","Stills, Kenny","8.9","$4,500"
"172","Roberts, Seth","8.8","$5,000"
"173","Patton, Quinton","8.5","$4,500"
"175","Crowder, Jamison","8","$5,700"
"176","Thomas, Demaryius","7.5","$8,400"
"177","Matthews, Rishard","7.4","$6,500"
"178","Green, A.J.","7.3","$8,500"
"179","Coleman, Brandon","6.8","$4,800"
"180","Jones, James","6.7","$6,000"
"181","Thompkins, Kenbrell","6.5","$4,500"
"182","Diggs, Stefon","5.7","$7,400"
"183","Smith, Torrey","5.4","$5,500"
"184","Colston, Marques","5.2","$5,500"
"185","Amendola, Danny","5.2","$5,300"
