playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2506363,Aaron Rodgers,GB,QB,32,10,7,20.048,20.048,20.048,NA,1,0.891,1,0,NA,4,1.8,2.578214935,NA,NA
2504211,Tom Brady,NE,QB,38,15,4,19.876,19.876,19.876,NA,2,2.074,1,0,NA,11,2.1,2.648706738,NA,NA
2533031,Andrew Luck,IND,QB,26,3,10,18.438,18.438,18.438,NA,3,1.437,1,0,NA,11,3.7,3.024663022,NA,NA
2506109,Ben Roethlisberger,PIT,QB,33,11,11,17.166,17.166,17.166,NA,4,0.644,0,0,NA,11,5.4,3.424116574,NA,NA
2505245,Carson Palmer,ARI,QB,36,12,9,16.836,16.836,16.836,NA,5,0.887,0,0,NA,14,6.2,3.612094717,NA,NA
2501863,Peyton Manning,DEN,QB,39,17,7,16.208,16.208,16.208,NA,6,0.529,0,0,NA,14,7.4,3.89406193,NA,NA
2532842,Nick Foles,STL,QB,26,3,6,15.69,15.69,15.69,NA,7,0.09,0,0,NA,30,19.1,6.64324226,NA,NA
310,Matt Ryan,ATL,QB,30,7,10,15.668,15.668,15.668,NA,8,0.236,0,0,NA,18,8,4.035045537,NA,NA
2495663,Marshawn Lynch,SEA,RB,29,8,9,15.66,15.66,15.66,NA,1,0.75,1,0,NA,29,3,2.873450893,NA,NA
2505996,Eli Manning,NYG,QB,34,11,11,15.532,15.532,15.532,NA,9,0.398,0,0,NA,23,11,4.73996357,NA,NA
2532956,Ryan Tannehill,MIA,QB,27,3,5,15.332,15.332,15.332,NA,10,0.907,0,0,NA,18,11.9,4.95143898,NA,NA
2540175,LeVeon Bell,PIT,RB,23,2,11,14.96,14.96,14.96,NA,2,0.705,1,0,NA,11,2.7,2.804307316,NA,NA
2506121,Philip Rivers,SD,QB,34,11,10,14.936,14.936,14.936,NA,11,1.325,0,0,NA,28,12.1,4.998433515,NA,NA
2507164,Adrian Peterson,MIN,RB,30,8,5,14.86,14.86,14.86,NA,3,1.74,0,0,NA,5,2.1,2.666020163,NA,NA
2543496,Odell Beckham,NYG,WR,23,1,11,14.45,14.45,14.45,NA,1,0.605,1,0,NA,41,3.5,2.896751922,NA,NA
2508061,Antonio Brown,PIT,WR,27,5,11,14.24,14.24,14.24,NA,2,0.8,1,0,NA,5,1.3,2.07730462,NA,NA
382,Joe Flacco,BAL,QB,30,7,9,13.914,13.914,13.914,NA,12,1.122,0,0,NA,29,22.1,7.348160293,NA,NA
