playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2504211,Tom Brady,NE,QB,40,17,9,19.752,19.752,19.752,NA,1,1.048,1,0,NA,1.2,0.6,2.073136008,NA,NA
2504775,Drew Brees,NO,QB,38,16,5,18.744,18.744,18.744,NA,2,0.091,1,0,NA,5.9,2,5.051574696,NA,NA
2506340,Alex Smith,KC,QB,33,12,10,18.664,18.664,18.664,NA,3,0.44,1,0,NA,3.7,1.2,3.349609732,NA,NA
2532975,Russell Wilson,SEA,QB,29,5,6,18.642,18.642,18.642,NA,4,1.017,1,0,NA,2.6,1,2.924118491,NA,NA
2555259,Carson Wentz,PHI,QB,25,1,10,17.806,17.806,17.806,NA,5,1.184,1,0,NA,3,1.1,3.136864111,NA,NA
2555260,Dak Prescott,DAL,QB,24,1,6,17.444,17.444,17.444,NA,6,1.692,1,0,NA,6.5,1.9,4.838829075,NA,NA
2540175,LeVeon Bell,PIT,RB,25,4,9,16.09,16.09,16.09,NA,1,0.78,1,0,NA,1.4,1,2.888823018,NA,NA
2557917,Kareem Hunt,KC,RB,22,0,10,15.93,15.93,15.93,NA,2,1.43,1,0,NA,2.4,1.4,3.110687266,NA,NA
2543499,Derek Carr,OAK,QB,26,3,10,15.8,15.8,15.8,NA,7,0.142,0,0,NA,6.8,1.8,4.626083455,NA,NA
2532820,Kirk Cousins,WAS,QB,29,5,5,15.704,15.704,15.704,NA,8,0.402,0,0,NA,8.9,1.6,4.200592214,NA,NA
79860,Matthew Stafford,DET,QB,29,8,7,15.612,15.612,15.612,NA,9,0.743,0,0,NA,8.6,1.9,4.838829075,NA,NA
2506109,Ben Roethlisberger,PIT,QB,35,13,9,14.992,14.992,14.992,NA,10,0.542,0,0,NA,9.3,1.9,4.838829075,NA,NA
2555334,Jared Goff,LAR,QB,23,1,8,14.746,14.746,14.746,NA,11,0.691,0,0,NA,11.7,2.3,5.689811557,NA,NA
2552475,Todd Gurley,LAR,RB,23,2,8,14.69,14.69,14.69,NA,3,0.555,0,0,NA,4,1.5,3.166153328,NA,NA
79607,LeSean McCoy,BUF,RB,29,8,6,14.31,14.31,14.31,NA,4,0.515,0,0,NA,6.1,1.8,3.332551514,NA,NA
2506121,Philip Rivers,LAC,QB,36,13,9,14.154,14.154,14.154,NA,12,0.253,0,0,NA,13.2,3.2,7.604522142,NA,NA
2552469,Melvin Gordon,LAC,RB,24,2,9,13.96,13.96,13.96,NA,5,0.34,0,0,NA,6.3,1.8,3.332551514,NA,NA
310,Matt Ryan,ATL,QB,32,9,5,13.956,13.956,13.956,NA,13,0.225,0,0,NA,12.2,1.9,4.838829075,NA,NA
2543477,Blake Bortles,JAC,QB,26,3,8,13.846,13.846,13.846,NA,14,0.414,0,0,NA,14.7,2.1,5.264320316,NA,NA
2557973,Leonard Fournette,JAC,RB,21,0,8,13.63,13.63,13.63,NA,6,0.41,0,0,NA,5.5,1.9,3.388017576,NA,NA
2506581,Ryan Fitzpatrick,TB,QB,35,12,1,13.616,13.616,13.616,NA,15,0.801,0,0,NA,17.2,2.2,5.477065937,NA,NA
2495466,Mark Ingram,NO,RB,28,6,5,13.61,13.61,13.61,NA,7,0.96,0,0,NA,3.8,1.5,3.166153328,NA,NA
2532888,Case Keenum,MIN,QB,29,5,9,13.248,13.248,13.248,NA,16,0.885,0,0,NA,17.9,1.9,4.838829075,NA,NA
2508061,Antonio Brown,PIT,WR,29,7,9,12.91,12.91,12.91,NA,1,2.09,1,0,NA,1.1,0.6,1.380971646,NA,NA
2555418,Jordan Howard,CHI,RB,23,1,9,12.83,12.83,12.83,NA,8,0.725,0,0,NA,8.7,1.8,3.332551514,NA,NA
2558019,Alvin Kamara,NO,RB,21,0,5,12.47,12.47,12.47,NA,9,1.19,0,0,NA,7.7,1.5,3.166153328,NA,NA
2552466,Marcus Mariota,TEN,QB,24,2,8,12.382,12.382,12.382,NA,17,0.061,0,0,NA,15,2.2,5.477065937,NA,NA
2495824,Jay Cutler,MIA,QB,34,11,1,12.344,12.344,12.344,NA,18,0.078,0,0,NA,16.4,1.8,4.626083455,NA,NA
2495441,Blaine Gabbert,ARI,QB,28,6,8,12.298,12.298,12.298,NA,19,0.231,0,0,NA,21.6,2.5,6.115302799,NA,NA
2505996,Eli Manning,NYG,QB,36,13,8,12.234,12.234,12.234,NA,20,0.614,0,0,NA,16.9,3,7.179030901,NA,NA
2495143,Andy Dalton,CIN,QB,30,6,6,11.9,11.9,11.9,NA,21,1.023,0,0,NA,21.1,1.7,4.413337834,NA,NA
2552453,Tevin Coleman,ATL,RB,24,2,5,11.74,11.74,11.74,NA,10,1.125,0,0,NA,10.6,2.2,3.554415761,NA,NA
497240,Rob Gronkowski,NE,TE,28,7,9,11.61,11.61,11.61,NA,1,1.74,1,0,NA,1.9,0.6,2.438774984,NA,NA
382,Joe Flacco,BAL,QB,32,9,10,11.34,11.34,11.34,NA,22,1.428,0,0,NA,21.1,1.9,4.838829075,NA,NA
2495454,Julio Jones,ATL,WR,28,6,5,11.01,11.01,11.01,NA,2,0.58,1,0,NA,5,2.6,2.607760918,NA,NA
2533034,Lamar Miller,HOU,RB,26,5,7,10.82,10.82,10.82,NA,11,0.865,0,0,NA,14,2.9,3.942678195,NA,NA
2556370,Michael Thomas,NO,WR,23,1,5,10.63,10.63,10.63,NA,3,0.49,1,0,NA,5.7,3,2.853118773,NA,NA
2558191,Nathan Peterman,BUF,QB,23,0,6,10.414,10.414,10.414,NA,23,1.072,0,0,NA,24.5,2.6,6.328048419,NA,NA
2507164,Adrian Peterson,ARI,RB,32,10,8,10.41,10.41,10.41,NA,12,0.915,0,0,NA,13.7,3.5,4.275474566,NA,NA
2543468,Mike Evans,TB,WR,24,3,1,10.23,10.23,10.23,NA,4,0.38,0,0,NA,4.2,3.6,3.221155555,NA,NA
2543498,Brandin Cooks,NE,WR,24,3,9,10.05,10.05,10.05,NA,5,0.425,0,0,NA,7.7,3.6,3.221155555,NA,NA
2540158,Zach Ertz,PHI,TE,27,4,10,9.98,9.98,9.98,NA,2,0.455,1,0,NA,2.9,0.6,2.438774984,NA,NA
2540258,Travis Kelce,KC,TE,28,4,10,9.76,9.76,9.76,NA,3,1.295,1,0,NA,1.3,0.5,2.382205033,NA,NA
2495450,A.J. Green,CIN,WR,29,6,6,9.65,9.65,9.65,NA,6,0.19,0,0,NA,8.8,3.7,3.282495018,NA,NA
2530747,Doug Baldwin,SEA,WR,29,6,6,9.6,9.6,9.6,NA,7,0.31,0,0,NA,4.7,2.5,2.546421455,NA,NA
2540011,Chris Thompson,WAS,RB,27,4,5,9.5,9.5,9.5,NA,13,0.075,0,0,NA,15.5,3.5,4.275474566,NA,NA
2532899,Doug Martin,TB,RB,28,5,1,9.49,9.49,9.49,NA,14,0.135,0,0,NA,18.9,3.7,4.38640669,NA,NA
2552588,Brett Hundley,GB,QB,24,2,8,9.41,9.41,9.41,NA,24,0.22,0,0,NA,24.2,2,5.051574696,NA,NA
2557976,Joe Mixon,CIN,RB,21,0,6,9.36,9.36,9.36,NA,15,0.2,0,0,NA,19.1,4,4.552804876,NA,NA
2543715,Jerick McKinnon,MIN,RB,25,3,9,9.35,9.35,9.35,NA,16,0.395,0,0,NA,14,2.5,3.720813947,NA,NA
2555295,Sterling Shepard,NYG,WR,NA,1,8,9.32,9.32,9.32,NA,8,0.125,0,0,NA,12.8,3.7,3.282495018,NA,NA
2557858,Evan Engram,NYG,TE,23,0,8,9.29,9.29,9.29,NA,4,1.8,1,0,NA,4.2,0.7,2.495344935,NA,NA
2557983,DeShone Kizer,CLE,QB,21,0,9,9.274,9.274,9.274,NA,25,0.281,0,0,NA,27.9,1.6,4.200592214,NA,NA
2540165,DeAndre Hopkins,HOU,WR,25,4,7,9.26,9.26,9.26,NA,9,0.155,0,0,NA,8.9,3.8,3.343834482,NA,NA
497278,Dez Bryant,DAL,WR,29,7,6,9.13,9.13,9.13,NA,10,0.09,0,0,NA,14.6,4.5,3.773210727,NA,NA
2543640,Tom Savage,HOU,QB,27,3,7,9.106,9.106,9.106,NA,26,4.247,0,0,NA,25.9,1.6,4.200592214,NA,NA
2556214,Tyreek Hill,KC,WR,23,1,10,9.08,9.08,9.08,NA,11,0.17,0,0,NA,5.9,3.4,3.098476627,NA,NA
2541785,Adam Thielen,MIN,WR,27,3,9,9,9,9,NA,12,0.19,0,0,NA,11.5,2.9,2.791779309,NA,NA
2552374,Ameer Abdullah,DET,RB,24,2,7,8.97,8.97,8.97,NA,17,0.125,0,0,NA,24,3.3,4.164542442,NA,NA
2552582,Jay Ajayi,PHI,RB,24,2,10,8.94,8.94,8.94,NA,18,0.24,0,0,NA,13.1,4.8,4.996533371,NA,NA
