playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2495455,Cam Newton,CAR,QB,28,6,11,22.984,22.984,22.984,NA,1,1.236,1,0,NA,4.6,2,4.953381298,NA,NA
2532975,Russell Wilson,SEA,QB,29,5,6,22.756,22.756,22.756,NA,2,2.059,1,0,NA,1.7,1.2,1.969784339,NA,NA
2555260,Dak Prescott,DAL,QB,24,1,6,20.74,20.74,20.74,NA,3,0.209,1,0,NA,7.8,1.7,3.834532438,NA,NA
2506363,Aaron Rodgers,GB,QB,34,12,8,20.654,20.654,20.654,NA,4,0.299,0,0,NA,5.8,2.1,5.326330917,NA,NA
2506340,Alex Smith,KC,QB,33,12,10,20.408,20.408,20.408,NA,5,0.118,0,0,NA,16.2,2.4,6.445179777,NA,NA
2504211,Tom Brady,NE,QB,40,17,9,20.302,20.302,20.302,NA,6,0.102,0,0,NA,2.3,1.2,1.969784339,NA,NA
2504775,Drew Brees,NO,QB,38,16,5,20.278,20.278,20.278,NA,7,0.208,0,0,NA,5,2.2,5.699280537,NA,NA
2506109,Ben Roethlisberger,PIT,QB,35,13,9,20.122,20.122,20.122,NA,8,0.108,0,0,NA,3.8,1.4,2.715683578,NA,NA
2543477,Blake Bortles,JAC,QB,26,3,8,20.018,20.018,20.018,NA,9,0.026,0,0,NA,12.5,1.8,4.207482058,NA,NA
2552033,Jameis Winston,TB,QB,23,2,1,20.01,20.01,20.01,NA,10,0.08,0,0,NA,15.6,1.9,4.580431678,NA,NA
310,Matt Ryan,ATL,QB,32,9,5,19.974,19.974,19.974,NA,11,0.157,0,0,NA,10.2,2.4,6.445179777,NA,NA
2555334,Jared Goff,LAR,QB,23,1,8,19.886,19.886,19.886,NA,12,0.181,0,0,NA,15.9,2.5,6.818129397,NA,NA
2543801,Jimmy Garoppolo,SF,QB,26,3,11,19.748,19.748,19.748,NA,13,0.102,0,0,NA,13.8,2.1,5.326330917,NA,NA
2506121,Philip Rivers,LAC,QB,36,13,9,19.662,19.662,19.662,NA,14,0.09,0,0,NA,7.3,2.8,7.936978256,NA,NA
2532820,Kirk Cousins,WAS,QB,29,5,5,19.63,19.63,19.63,NA,15,0.283,0,0,NA,12.8,2.3,6.072230157,NA,NA
79860,Matthew Stafford,DET,QB,29,8,7,19.514,19.514,19.514,NA,16,0.624,0,0,NA,8.7,1.9,4.580431678,NA,NA
2532888,Case Keenum,MIN,QB,29,5,9,19.18,19.18,19.18,NA,17,0.686,0,0,NA,11.6,2.3,6.072230157,NA,NA
2543499,Derek Carr,OAK,QB,26,3,10,18.6,18.6,18.6,NA,18,1.359,0,0,NA,19.7,2.2,5.699280537,NA,NA
2532842,Nick Foles,PHI,QB,28,5,10,18.388,18.388,18.388,NA,19,2.339,0,0,NA,17.5,2.2,5.699280537,NA,NA
2540175,LeVeon Bell,PIT,RB,25,4,9,18.15,18.15,18.15,NA,1,2.8,1,0,NA,1.1,0.4,1.91978763,NA,NA
2508061,Antonio Brown,PIT,WR,29,7,9,16.82,16.82,16.82,NA,1,1.715,1,0,NA,1.3,0.9,1.519955191,NA,NA
2557983,DeShone Kizer,CLE,QB,21,0,9,16.094,16.094,16.094,NA,20,0.394,0,0,NA,23.5,2.3,6.072230157,NA,NA
2552466,Marcus Mariota,TEN,QB,24,2,8,16.004,16.004,16.004,NA,21,0.915,0,0,NA,20.2,2.3,6.072230157,NA,NA
2495454,Julio Jones,ATL,WR,28,6,5,15.51,15.51,15.51,NA,2,1.155,1,0,NA,2.4,1.2,1.694119822,NA,NA
2558019,Alvin Kamara,NO,RB,21,0,5,15.4,15.4,15.4,NA,2,0.215,1,0,NA,3.9,2.4,3.118547066,NA,NA
2495441,Blaine Gabbert,ARI,QB,28,6,8,15.396,15.396,15.396,NA,22,0.8,0,0,NA,23.9,2.1,5.326330917,NA,NA
