playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2506363,Aaron Rodgers,GB,QB,32,10,7,25.88,25.88,25.88,NA,1,2.49,1,0,NA,4.3,1.9,3.560849385,NA,NA
2552379,Jeremy Langford,CHI,RB,24,0,7,24.4,24.4,24.4,NA,1,7.05,1,0,NA,13.9,4.9,5.091866958,NA,NA
2504211,Tom Brady,NE,QB,38,15,4,23.94,23.94,23.94,NA,2,3.32,1,0,NA,1.2,0.6,2.465186651,NA,NA
2495455,Cam Newton,CAR,QB,26,4,5,22.84,22.84,22.84,NA,3,4.55,0,0,NA,2.8,1.3,3.055158892,NA,NA
2543583,Devonta Freeman,ATL,RB,23,1,10,18.9,18.9,18.9,NA,2,3.15,1,0,NA,1.6,1,1.509055599,NA,NA
79858,Mark Sanchez,PHI,QB,29,6,8,18.4,18.4,18.4,NA,4,0.68,0,0,NA,17.2,3.6,4.993639113,NA,NA
310,Matt Ryan,ATL,QB,30,7,10,18.18,18.18,18.18,NA,5,0.96,0,0,NA,8,2.4,3.982258129,NA,NA
2495450,A.J. Green,CIN,WR,27,4,7,17.4,17.4,17.4,NA,1,0.6,1,0,NA,11.4,4.9,3.700976925,NA,NA
2532975,Russell Wilson,SEA,QB,27,3,9,17.26,17.26,17.26,NA,6,0.15,0,0,NA,10.9,2.7,4.235103375,NA,NA
2505245,Carson Palmer,ARI,QB,36,12,9,17.18,17.18,17.18,NA,7,0.3,0,0,NA,4.6,1.4,3.139440641,NA,NA
2495454,Julio Jones,ATL,WR,26,4,10,17.1,17.1,17.1,NA,2,0.65,1,0,NA,1.3,1.2,1.669881008,NA,NA
2552466,Marcus Mariota,TEN,QB,22,0,4,17.04,17.04,17.04,NA,8,0.36,0,0,NA,14.5,2.7,4.235103375,NA,NA
2506581,Ryan Fitzpatrick,NYJ,QB,33,10,5,16.72,16.72,16.72,NA,9,0.2,0,0,NA,15.7,2.3,3.89797638,NA,NA
2543477,Blake Bortles,JAC,QB,24,1,8,16.64,16.64,16.64,NA,10,0.26,0,0,NA,8,2.2,3.813694631,NA,NA
497328,Demaryius Thomas,DEN,WR,28,5,7,16.5,16.5,16.5,NA,3,0.2,0,0,NA,9.1,3.6,2.98734863,NA,NA
2506121,Philip Rivers,SD,QB,34,11,10,16.4,16.4,16.4,NA,11,0.07,0,0,NA,6.8,2.8,4.319385123,NA,NA
497278,Dez Bryant,DAL,WR,27,5,6,16.4,16.4,16.4,NA,4,0.35,0,0,NA,3.2,2.1,2.163931366,NA,NA
2532956,Ryan Tannehill,MIA,QB,27,3,5,16.36,16.36,16.36,NA,12,0.08,0,0,NA,16.7,2.7,4.235103375,NA,NA
2533436,Brock Osweiler,DEN,QB,25,3,7,16.3,16.3,16.3,NA,13,0.35,0,0,NA,22.1,2.4,3.982258129,NA,NA
382,Joe Flacco,BAL,QB,30,7,9,16.26,16.26,16.26,NA,14,0.66,0,0,NA,19.9,3,4.487948621,NA,NA
497322,Emmanuel Sanders,DEN,WR,28,5,7,16.2,16.2,16.2,NA,5,0.4,0,0,NA,24.5,6,4.304816252,NA,NA
2552487,Amari Cooper,OAK,WR,21,0,6,15.9,15.9,15.9,NA,6,0.6,0,0,NA,8,2.8,2.548192756,NA,NA
2507164,Adrian Peterson,MIN,RB,30,8,5,15.8,15.8,15.8,NA,3,0.15,0,0,NA,2.1,0.9,1.417188641,NA,NA
2543468,Mike Evans,TB,WR,22,1,6,15.7,15.7,15.7,NA,7,1.35,0,0,NA,5.2,3.3,2.822665177,NA,NA
2552475,Todd Gurley,STL,RB,21,0,6,15.7,15.7,15.7,NA,4,0.35,0,0,NA,3.3,1.4,1.876523431,NA,NA
2495143,Andy Dalton,CIN,QB,28,4,7,15.64,15.64,15.64,NA,15,0.26,0,0,NA,11,2.7,4.235103375,NA,NA
927,Justin Forsett,BAL,RB,30,7,9,15.6,15.6,15.6,NA,5,0.65,0,0,NA,17.3,2.8,3.162660842,NA,NA
2543499,Derek Carr,OAK,QB,24,1,6,15.56,15.56,15.56,NA,16,0.44,0,0,NA,3.6,1.5,3.22372239,NA,NA
