"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,5.95,5.95,5.95,,22,0.125,0,46,23.3,4.1,5.83895593416571
"A.J. Derby","TE","DEN",2552580,1991-09-20,4.1375,4.1375,4.1375,,31,0.09375,0,1,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,14.925,14.925,14.925,,3,0.268749999999999,0,5,3.7,1.4,2.26774029228629
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,30,0,0,2,,,
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,,105,0,0,0,,,
"Aaron Dobson","WR","ARI",2539256,1991-07-23,0,0,0,,105,0,0,3,,,
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,,30,0,0,2,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,65,0,0,1,87.6,3.3,3.4610833112496
"Aaron Rodgers","QB","GB",2506363,1983-12-02,22.71,22.71,22.71,,2,3.165,1,11,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,0,0,0,,105,0,0,1,87.8,8.1,5.59741746705041
"Adam Thielen","WR","MIN",2541785,1990-08-22,9.9125,9.9125,9.9125,,36,0.0475000000000012,0,2,8.8,1.9,2.51622366353734
"Adam Vinatieri","K","IND",2503471,1972-12-28,8.7,8.7,8.7,,14,0.0500000000000007,0,20,18.1,3.6,5.01073700458495
"Adrian Peterson","RB","MIN",2507164,1985-03-21,7.405,7.405,7.405,,35,0.1925,0,9,,,
"Alan Cross","TE","TB",2556508,1993-05-02,0,0,0,,54,0,0,0,72,15,9.10956867116511
"Albert Wilson","WR","KC",2550272,1992-07-12,2.95,2.95,2.95,,89,0.09375,0,2,67.7,6.3,4.70287733054661
"Aldrick Robinson","WR","ATL",2495331,1988-09-24,0,0,0,,105,0,0,5,,,
"Alex Erickson","WR","CIN",2556519,1992-11-06,0.6,0.6,0.6,,102,0.6,0,0,105.8,8.9,5.99499086105209
"Alex Smith","QB","KC",2506340,1984-05-07,12.46,12.46,12.46,,21,1.31,0,11,4.2,2.9,5.21374377073767
"Alex Tanney","QB","FA",2534870,1987-11-11,0,0,0,,30,0,0,4,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,0,0,0,,65,0,0,2,68.7,5.5,4.6609474749534
"Alfred Morris","RB","DAL",2533457,1988-12-12,1.23,1.23,1.23,,61,0.24375,0,4,17.6,3.9,3.78831899225972
"Allen Hurns","WR","JAC",2550353,1991-11-21,5.4125,5.4125,5.4125,,75,0.108750000000001,0,2,95.3,16.3,9.67254475556769
"Allen Robinson","WR","JAC",2543509,1993-08-24,11.5375,11.5375,11.5375,,17,0.067499999999999,0,2,,,
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,11.6,11.6,11.6,,16,0.0875000000000004,0,4,,,
"Amari Cooper","WR","OAK",2552487,1994-06-18,14.2125,14.2125,14.2125,,7,1.0875,0,1,43.6,17.2,10.1198148238196
