"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38379-55050","RB","Christian","Christian McCaffrey","McCaffrey","37.900001525878906","1","9200","TB@CAR","CAR","TB","","","","",""
"38379-64401","RB","Saquon","Saquon Barkley","Barkley","15.899999618530273","1","9200","BUF@NYG","NYG","BUF","","","","",""
"38379-57439","QB","Patrick","Patrick Mahomes","Mahomes","27.31999969482422","1","9000","KC@OAK","KC","OAK","","","","",""
"38379-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","27.100000381469727","1","9000","JAC@HOU","HOU","JAC","Q","Ribs","","",""
"38379-42104","RB","Alvin","Alvin Kamara","Kamara","20.399999618530273","1","8700","NO@LAR","NO","LAR","","","","",""
"38379-54879","QB","Deshaun","Deshaun Watson","Watson","31.719999313354492","1","8500","JAC@HOU","HOU","JAC","","","","",""
"38379-38791","RB","Ezekiel","Ezekiel Elliott","Elliott","12.800000190734863","1","8500","DAL@WAS","DAL","WAS","","","","",""
"38379-28573","WR","Michael","Michael Thomas","Thomas","17.299999237060547","1","8500","NO@LAR","NO","LAR","","","","",""
"38379-14190","WR","Julio","Julio Jones","Jones","12.100000381469727","1","8300","PHI@ATL","ATL","PHI","","","","",""
"38379-63115","QB","Lamar","Lamar Jackson","Jackson","33.560001373291016","1","8200","ARI@BAL","BAL","ARI","","","","",""
"38379-45889","WR","Davante","Davante Adams","Adams","5.599999904632568","1","8200","MIN@GB","GB","MIN","","","","",""
"38379-31360","WR","Odell","Odell Beckham Jr.","Beckham Jr.","10.600000381469727","1","8100","CLE@NYJ","CLE","NYJ","","","","",""
"38379-55987","WR","JuJu","JuJu Smith-Schuster","Smith-Schuster","10.800000190734863","1","8100","SEA@PIT","PIT","SEA","Q","Toe","","",""
"38379-33076","TE","Travis","Travis Kelce","Kelce","10.300000190734863","1","8000","KC@OAK","KC","OAK","","","","",""
"38379-6504","QB","Drew","Drew Brees","Brees","21.799999237060547","1","8000","NO@LAR","NO","LAR","","","","",""
"38379-6894","QB","Aaron","Aaron Rodgers","Rodgers","12.920000076293945","1","8000","MIN@GB","GB","MIN","","","","",""
"38379-6616","QB","Matt","Matt Ryan","Ryan","20.559999465942383","1","7900","PHI@ATL","ATL","PHI","","","","",""
"38379-28181","RB","Le'Veon","Le'Veon Bell","Bell","20.200000762939453","1","7900","CLE@NYJ","NYJ","CLE","","","","",""
"38379-54140","RB","Dalvin","Dalvin Cook","Cook","25","1","7900","MIN@GB","MIN","GB","","","","",""
"38379-31001","WR","Amari","Amari Cooper","Cooper","19.600000381469727","1","7800","DAL@WAS","DAL","WAS","","","","",""
"38379-11612","WR","Antonio","Antonio Brown","Brown","18.113334147135415","15","7800","NE@MIA","NE","MIA","","","","",""
"38379-6498","QB","Tom","Tom Brady","Brady","25.639999389648438","1","7800","NE@MIA","NE","MIA","","","","",""
"38379-14185","QB","Cam","Cam Newton","Newton","6.360000133514404","1","7800","TB@CAR","CAR","TB","","","","",""
"38379-29253","WR","Keenan","Keenan Allen","Allen","22.299999237060547","1","7700","LAC@DET","LAC","DET","","","","",""
"38379-70324","QB","Carson","Carson Wentz","Wentz","25.020000457763672","1","7700","PHI@ATL","PHI","ATL","","","","",""
"38379-40687","RB","James","James Conner","Conner","8.5","1","7700","SEA@PIT","PIT","SEA","Q","Illness","","",""
"38379-7968","QB","Philip","Philip Rivers","Rivers","24.920000076293945","1","7700","LAC@DET","LAC","DET","","","","",""
"38379-31716","QB","Dak","Dak Prescott","Prescott","33.400001525878906","1","7700","DAL@WAS","DAL","WAS","","","","",""
"38379-53681","WR","Tyreek","Tyreek Hill","Hill","3.0999999046325684","1","7600","KC@OAK","KC","OAK","O","Collarbone","","",""
"38379-6589","QB","Ben","Ben Roethlisberger","Roethlisberger","10.739999771118164","1","7600","SEA@PIT","PIT","SEA","","","","",""
"38379-22015","QB","Russell","Russell Wilson","Wilson","16.600000381469727","1","7600","SEA@PIT","SEA","PIT","","","","",""
"38379-22031","WR","T.Y.","T.Y. Hilton","Hilton","24.700000762939453","1","7600","IND@TEN","IND","TEN","","","","",""
"38379-38435","QB","Jared","Jared Goff","Goff","10.4399995803833","1","7600","NO@LAR","LAR","NO","","","","",""
"38379-80001","RB","Austin","Austin Ekeler","Ekeler","36.400001525878906","1","7500","LAC@DET","LAC","DET","","","","",""
"38379-52442","RB","Joe","Joe Mixon","Mixon","2.700000047683716","1","7500","SF@CIN","CIN","SF","Q","Ankle","","",""
