playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2543477,Blake Bortles,JAC,QB,24,1,8,19.654,19.654,19.654,NA,1,0.298,1,0,NA,8.3,3.3,5.325108261,NA,NA
2505245,Carson Palmer,ARI,QB,36,12,9,19.42,19.42,19.42,NA,2,0.193,1,0,NA,2,1.1,0.607579878,NA,NA
2506363,Aaron Rodgers,GB,QB,32,10,7,19.292,19.292,19.292,NA,3,0.205,1,0,NA,1.9,1.6,1.67974542,NA,NA
2504775,Drew Brees,NO,QB,36,14,11,19.162,19.162,19.162,NA,4,0.409,0,0,NA,6.6,2.7,4.038509611,NA,NA
2495455,Cam Newton,CAR,QB,26,4,5,19.012,19.012,19.012,NA,5,0.631,0,0,NA,2.9,1.1,0.607579878,NA,NA
81294,Brian Hoyer,HOU,QB,30,6,9,18.494,18.494,18.494,NA,6,0.36,0,0,NA,9.5,3.5,5.753974478,NA,NA
2505354,Tony Romo,DAL,QB,35,12,6,18.268,18.268,18.268,NA,7,0.422,0,0,NA,NA,NA,NA,NA,NA
2504211,Tom Brady,NE,QB,38,15,4,18,18,18,NA,8,0.395,0,0,NA,5.9,2.8,4.252942719,NA,NA
2505076,Josh McCown,CLE,QB,36,13,11,17.692,17.692,17.692,NA,9,0.372,0,0,NA,16.9,4.4,7.683872452,NA,NA
2532975,Russell Wilson,SEA,QB,27,3,9,17.518,17.518,17.518,NA,10,0.413,0,0,NA,9.8,3.8,6.397273802,NA,NA
79860,Matthew Stafford,DET,QB,27,6,9,17.122,17.122,17.122,NA,11,0.235,0,0,NA,10.2,3.9,6.611706911,NA,NA
2495143,Andy Dalton,CIN,QB,28,4,7,17.088,17.088,17.088,NA,12,0.487,0,0,NA,12.7,3.3,5.325108261,NA,NA
2506121,Philip Rivers,SD,QB,34,11,10,16.686,16.686,16.686,NA,13,0.342,0,0,NA,11.2,3.4,5.539541369,NA,NA
310,Matt Ryan,ATL,QB,30,7,10,16.516,16.516,16.516,NA,14,0.427,0,0,NA,15,3.4,5.539541369,NA,NA
2505996,Eli Manning,NYG,QB,34,11,11,16.172,16.172,16.172,NA,15,0.186,0,0,NA,5.6,2.5,3.609643395,NA,NA
2506581,Ryan Fitzpatrick,NYJ,QB,33,10,5,16.006,16.006,16.006,NA,16,0.098,0,0,NA,20.7,3.2,5.110675153,NA,NA
2501078,Matt Hasselbeck,IND,QB,40,17,10,15.966,15.966,15.966,NA,17,0.196,0,0,NA,24.5,3.2,5.110675153,NA,NA
2506109,Ben Roethlisberger,PIT,QB,33,11,11,15.85,15.85,15.85,NA,18,0.392,0,0,NA,11.1,4.2,7.255006236,NA,NA
2507164,Adrian Peterson,MIN,RB,30,8,5,15.78,15.78,15.78,NA,1,0.655,1,0,NA,1.2,1,1.422254356,NA,NA
2495207,DeMarco Murray,PHI,RB,27,4,8,15.76,15.76,15.76,NA,2,1.44,1,0,NA,6.1,3.4,3.375994565,NA,NA
2543499,Derek Carr,OAK,QB,24,1,6,15.69,15.69,15.69,NA,19,0.464,0,0,NA,13.5,3,4.681808936,NA,NA
2540165,DeAndre Hopkins,HOU,WR,23,2,9,15.55,15.55,15.55,NA,1,1.41,1,0,NA,1.2,0.5,1.782765259,NA,NA
2506340,Alex Smith,KC,QB,31,10,9,15.226,15.226,15.226,NA,20,0.288,0,0,NA,25.6,3.1,4.896242044,NA,NA
2532956,Ryan Tannehill,MIA,QB,27,3,5,15.226,15.226,15.226,NA,20,0.625,0,0,NA,24.1,3.5,5.753974478,NA,NA
2552033,Jameis Winston,TB,QB,21,0,6,14.65,14.65,14.65,NA,22,0.142,0,0,NA,17.6,3.2,5.110675153,NA,NA
2495454,Julio Jones,ATL,WR,26,4,10,14.58,14.58,14.58,NA,2,1.345,1,0,NA,2.5,0.8,1.901522246,NA,NA
2532820,Kirk Cousins,WAS,QB,27,3,8,14.552,14.552,14.552,NA,23,0.143,0,0,NA,20.5,4.2,7.255006236,NA,NA
284,Darren McFadden,DAL,RB,28,7,6,14.49,14.49,14.49,NA,3,0.64,0,0,NA,8.4,4.1,3.94583546,NA,NA
2552466,Marcus Mariota,TEN,QB,22,0,4,14.464,14.464,14.464,NA,24,0.312,0,0,NA,17.4,3,4.681808936,NA,NA
2495824,Jay Cutler,CHI,QB,32,9,7,14.354,14.354,14.354,NA,25,0.552,0,0,NA,20.4,3.1,4.896242044,NA,NA
