"","Player","Points","FD_Salary"
"11","Stafford, Matthew","34.9","$6,900"
"12","Rivers, Philip","28.12","$7,500"
"13","Luck, Andrew","27.98","$8,600"
"14","Fitzpatrick, Ryan","26.22","$6,900"
"15","Bortles, Blake","25.94","$7,300"
"16","Hoyer, Brian","24.22","$6,700"
"17","Brady, Tom","23.48","$9,000"
"18","Kaepernick, Colin","22.6","$7,300"
"19","Newton, Cam","21.76","$8,000"
"20","Manuel, E.J.","21.72","$5,500"
"21","Dalton, Andy","21.52","$7,600"
"22","Cutler, Jay","20.32","$7,500"
"23","Flacco, Joe","19.72","$7,800"
"24","Rodgers, Aaron","19.6","$9,300"
"25","Wilson, Russell","18.94","$8,000"
"26","Ryan, Matt","18.8","$8,100"
"27","Palmer, Carson","18.74","$8,000"
"28","Tannehill, Ryan","18.04","$7,700"
"29","Brees, Drew","16.68","$8,300"
"30","Smith, Alex","16.28","$7,000"
"32","McCown, Josh","13.72","$7,000"
"33","Manning, Peyton","12.6","$8,100"
"34","Bradford, Sam","12.4","$7,700"
"35","Bridgewater, Teddy","11.46","$6,600"
"36","Manning, Eli","10.76","$7,800"
"37","Cousins, Kirk","9.94","$6,200"
"38","Mariota, Marcus","6.76","$7,200"
"39","Vick, Michael","4.94","$6,300"
"40","Mettenberger, Zach","2.92","$5,600"
"41","Mallett, Ryan","0","$6,300"
"42","McCown, Luke","0","$5,800"
"43","Webb, Joe","0","$4,800"
"46","Freeman, Devonta","31.6","$8,000"
"47","Ivory, Chris","27.1","$7,300"
"48","Starks, James","24.2","$5,400"
"49","Blount, LeGarrette","22.9","$6,500"
"50","Stewart, Jonathan","21.1","$6,100"
"51","Murray, DeMarco","19.8","$7,600"
"52","Foster, Arian","19.7","$8,500"
"53","Ingram, Mark","19.1","$7,800"
"54","Miller, Lamar","18.8","$6,400"
"55","Forte, Matt","18.4","$8,400"
"56","McCoy, LeSean","16.4","$7,000"
"57","Bernard, Giovani","13.8","$6,700"
"58","Forsett, Justin","13.6","$7,600"
"59","Hill, Jeremy","13.4","$6,400"
"60","Hillman, Ronnie","13","$6,400"
"61","Lynch, Marshawn","11.9","$8,300"
"62","McCluster, Dexter","11.7","$5,200"
"63","Miller, Bruce","10.4","$4,500"
"64","Gore, Frank","10.4","$7,000"
"65","Woodhead, Danny","9.6","$6,000"
"66","Riddick, Theo","9.3","$5,000"
"67","Langford, Jeremy","9.2","$4,700"
"68","Bell, Le'Veon","8.8","$9,000"
"69","Anderson, C.J.","8.6","$6,600"
"70","Abdullah, Ameer","8.4","$5,900"
"71","Oliver, Branden","8.3","$4,700"
"72","Jennings, Rashad","7.8","$6,300"
"73","Stacy, Zac","7.1","$5,000"
"74","Johnson, Duke","7.1","$5,900"
"75","Hyde, Carlos","7","$7,000"
"76","Thompson, Chris","6.8","$5,100"
"77","Ellington, Andre","6.4","$5,600"
"78","Gerhart, Toby","6.4","$4,900"
"79","Peterson, Adrian","6.2","$8,900"
"80","Robinson, Khiry","5.7","$4,800"
"81","Lewis, Dion","5.4","$7,200"
"82","Robinson, Denard","5.3","$5,100"
"83","Crowell, Isaiah","5.1","$6,300"
"84","Mathews, Ryan","5.1","$5,600"
"85","Johnson, Chris","5","$7,200"
"86","Spiller, C.J.","4.7","$5,300"
"87","Polk, Chris","4.4","$4,800"
"88","Gray, Jonas","4.1","$5,000"
"89","Asiata, Matt","4","$4,700"
"90","Morris, Alfred","3.7","$5,800"
"91","Whittaker, Fozzy","3.3","$4,700"
"92","Juszczyk, Kyle","3.2","$4,500"
"93","Kuhn, John","3","$4,500"
"94","Andrews, Antonio","3","$5,400"
"95","Lacy, Eddie","3","$7,300"
"96","Davis, Knile","3","$5,500"
"97","DiMarco, Patrick","2.8","$4,500"
"98","Herron, Dan","2.7","$5,500"
"99","Turbin, Robert","2.7","$4,700"
"100","Allen, Javorius","2.6","$5,100"
"101","Sankey, Bishop","2.5","$5,300"
"102","West, Charcandrick","2.4","$6,200"
"103","Johnson, David","2.2","$5,600"
"106","Coleman, Tevin","2","$5,300"
"108","Jackson, Fred","1.7","$6,100"
"109","Zenner, Zach","1.5","$5,400"
"110","Young, Darrel","1.3","$4,500"
"111","Ward, Terron","1.2","$4,500"
"112","Sproles, Darren","1.2","$5,500"
"113","Vereen, Shane","1.1","$5,600"
"114","Tolbert, Mike","1","$4,800"
"115","Gordon, Melvin","0.9","$6,500"
"117","Rawls, Thomas","0.8","$6,400"
"118","Williams, Andre","0.6","$5,400"
"119","Williams, Damien","0.5","$5,400"
"120","Powell, Bilal","0.4","$5,500"
"121","McKinnon, Jerick","0.2","$5,000"
"123","White, James","0","$5,000"
"124","Carey, Ka'Deem","0","$4,800"
"125","Burkhead, Rex","0","$4,500"
"126","Darkwa, Orleans","0","$4,500"
"127","Hayne, Jarryd","0","$4,500"
"128","Davis, Mike","0","$4,500"
"129","Todman, Jordan","0","$4,700"
"130","Murphy, Marcus","0","$4,500"
"131","Barner, Kenjon","0","$4,500"
"132","Taylor, Stepfan","0","$4,500"
"133","Bohanon, Tommy","0","$4,500"
"134","Bolden, Brandon","0","$4,900"
"135","Archer, Dri","0","$5,100"
"136","Draughn, Shaun","0","$4,500"
"137","Peerman, Cedric","0","$4,500"
"138","Dixon, Anthony","0","$4,600"
"139","Grimes, Jonathan","0","$4,500"
"140","Williams, DeAngelo","-0.1","$5,300"
"143","Hopkins, DeAndre","31.8","$8,500"
"144","Bryant, Martavis","29.5","$6,100"
"145","Johnson, Calvin","25.6","$8,200"
"146","Jeffery, Alshon","24.7","$7,400"
"147","Smith, Steve","23.2","$6,700"
"148","Allen, Keenan","22.7","$7,700"
"149","Brown, John","22.6","$6,100"
"150","Jones, Marvin","20","$5,300"
"151","Moore, Lance","19.1","$4,500"
"152","Sanders, Emmanuel","18.9","$7,900"
"153","Marshall, Brandon","18.6","$8,000"
"154","Robinson, Allen","17.6","$6,700"
"155","Smith, Torrey","17.1","$6,200"
