playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2504211,Tom Brady,NE,QB,40,17,9,20.582,20.582,20.582,NA,1,2.564,1,0,NA,1.2,0.5,1.032168083,NA,NA
2555260,Dak Prescott,DAL,QB,24,1,6,18.066,18.066,18.066,NA,2,0.424,1,0,NA,3.3,1.4,3.204183408,NA,NA
2506340,Alex Smith,KC,QB,33,12,10,17.97,17.97,17.97,NA,3,0.729,0,0,NA,10,2,4.652193624,NA,NA
2504775,Drew Brees,NO,QB,38,16,5,17.314,17.314,17.314,NA,4,0.304,0,0,NA,3.6,1.6,3.68685348,NA,NA
310,Matt Ryan,ATL,QB,32,9,5,17.168,17.168,17.168,NA,5,0.642,0,0,NA,3.2,1.5,3.445518444,NA,NA
2557917,Kareem Hunt,KC,RB,22,0,10,16.94,16.94,16.94,NA,1,0.125,1,0,NA,2.4,1.5,2.089787791,NA,NA
2540175,LeVeon Bell,PIT,RB,25,4,9,16.9,16.9,16.9,NA,2,0.915,1,0,NA,1.8,1,1.729230526,NA,NA
2552466,Marcus Mariota,TEN,QB,24,2,8,16.852,16.852,16.852,NA,6,0.725,0,0,NA,8.3,2.1,4.893528661,NA,NA
2555224,Ezekiel Elliott,DAL,RB,22,1,6,16.73,16.73,16.73,NA,3,1.535,1,0,NA,3.5,4.7,4.397354286,NA,NA
2495240,Tyrod Taylor,BUF,QB,28,6,6,16.2,16.2,16.2,NA,7,0.17,0,0,NA,11.5,2,4.652193624,NA,NA
2555259,Carson Wentz,PHI,QB,25,1,10,16.054,16.054,16.054,NA,8,0.178,0,0,NA,5.3,1.3,2.962848372,NA,NA
2495455,Cam Newton,CAR,QB,28,6,11,16.006,16.006,16.006,NA,9,0.527,0,0,NA,7.5,1.7,3.928188516,NA,NA
2532820,Kirk Cousins,WAS,QB,29,5,5,15.746,15.746,15.746,NA,10,1.022,0,0,NA,6,2,4.652193624,NA,NA
79607,LeSean McCoy,BUF,RB,29,8,6,15.24,15.24,15.24,NA,4,1.06,0,0,NA,5.8,2.2,2.594567961,NA,NA
2532975,Russell Wilson,SEA,QB,29,5,6,15.212,15.212,15.212,NA,11,1.137,0,0,NA,8.3,1.7,3.928188516,NA,NA
2552475,Todd Gurley,LAR,RB,23,2,8,15.15,15.15,15.15,NA,5,2.06,0,0,NA,4.8,1.8,2.30612215,NA,NA
2552033,Jameis Winston,TB,QB,23,2,1,14.236,14.236,14.236,NA,12,0.472,0,0,NA,16.9,3.8,8.996224274,NA,NA
2555334,Jared Goff,LAR,QB,23,1,8,13.914,13.914,13.914,NA,13,0.312,0,0,NA,15.1,2.8,6.582873913,NA,NA
2543477,Blake Bortles,JAC,QB,26,3,8,13.614,13.614,13.614,NA,14,0.224,0,0,NA,19.2,3.1,7.306879021,NA,NA
2505245,Carson Palmer,ARI,QB,38,14,8,13.59,13.59,13.59,NA,15,0.46,0,0,NA,12,2.3,5.376198733,NA,NA
2543583,Devonta Freeman,ATL,RB,25,3,5,13.21,13.21,13.21,NA,6,0.49,0,0,NA,5.7,2.1,2.522456508,NA,NA
2506109,Ben Roethlisberger,PIT,QB,35,13,9,13.19,13.19,13.19,NA,16,0.13,0,0,NA,14.3,2.5,5.858868805,NA,NA
