playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2532975,Russell Wilson,SEA,QB,27,3,9,24.64,24.64,24.64,NA,1,2.353,1,0,NA,8,4.1,1.515587401,NA,NA
2495455,Cam Newton,CAR,QB,26,4,5,22.92,22.92,22.92,NA,2,2.769,1,0,NA,14,7.8,2.292556673,NA,NA
2540168,Eddie Lacy,GB,RB,24,2,7,22,22,22,NA,1,4.485,1,0,NA,66,18.5,2.016023714,NA,NA
2506363,Aaron Rodgers,GB,QB,32,10,7,21.654,20.3092,22.3988,1.846962912,3,3.24,1,2.0896,NA,4,1.8,4.117834508,NA,NA
2504211,Tom Brady,NE,QB,38,15,4,18.648,17.1256,19.5704,2.160918323,4,0.6435,0,2.4448,NA,11,2.1,4.807393407,NA,NA
234,Matt Forte,CHI,RB,30,7,7,18.6,18.6,18.6,NA,2,2.57,1,0,NA,25,6.8,1.109381599,NA,NA
2495186,Colin Kaepernick,SF,QB,28,4,10,18.18,18.18,18.18,NA,5,0.4955,0,0,NA,24,17.1,4.245479438,NA,NA
2533031,Andrew Luck,IND,QB,26,3,10,17.829,16.8018,18.2562,1.285520128,6,0.479,0,1.4544,NA,11,3.7,3.14052537,NA,NA
2532970,Brandon Weeden,DAL,QB,32,3,6,17.54,17.54,17.54,NA,7,0.523,0,0,NA,32,28,6.534388916,NA,NA
2552466,Marcus Mariota,TEN,QB,22,0,4,17.16,17.16,17.16,NA,8,0.519,0,0,NA,27,14.5,3.699501031,NA,NA
2501863,Peyton Manning,DEN,QB,39,17,7,16.874,16.3412,17.4068,0.941866233,9,0.503,0,1.0656,NA,14,7.4,2.808700929,NA,NA
2540175,LeVeon Bell,PIT,RB,23,2,11,16.43,15.284,17.876,2.291025971,3,1.1525,1,2.592,NA,11,2.7,2.872876525,NA,NA
2505245,Carson Palmer,ARI,QB,36,12,9,16.408,15.5256,16.6904,1.029547473,10,0.2245,0,1.1648,NA,14,6.2,2.866488474,NA,NA
310,Matt Ryan,ATL,QB,30,7,10,16.334,15.8012,16.8668,0.941866233,11,0.63,0,1.0656,NA,18,8,2.871698437,NA,NA
2543496,Odell Beckham,NYG,WR,23,1,11,16.225,14.805,17.645,2.510229073,1,1.2825,1,2.84,NA,41,3.5,3.19267349,NA,NA
2506109,Ben Roethlisberger,PIT,QB,33,11,11,16.033,15.1266,16.9394,1.602303966,12,0.7535,0,1.8128,NA,11,5.4,3.983006925,NA,NA
2507164,Adrian Peterson,MIN,RB,30,8,5,15.63,15.014,16.246,1.088944443,4,0.8525,0,1.232,NA,5,2.1,1.909621011,NA,NA
2532842,Nick Foles,STL,QB,26,3,6,15.375,14.583,15.567,0.869741341,13,0.233,0,0.984,NA,30,19.1,3.885976366,NA,NA
79860,Matthew Stafford,DET,QB,27,6,9,15.184,13.6232,16.1448,2.228800574,14,0.146,0,2.5216,NA,30,20.7,6.902599447,NA,NA
2508061,Antonio Brown,PIT,WR,27,5,11,15.17,14.426,15.914,1.315218613,2,0.725,1,1.488,NA,5,1.3,2.085979157,NA,NA
2543465,Teddy Bridgewater,MIN,QB,23,1,5,15.1,15.1,15.1,NA,15,0.149,0,0,NA,27,17.4,4.308476947,NA,NA
2532956,Ryan Tannehill,MIA,QB,27,3,5,14.976,14.1512,15.2008,0.927724097,16,0.119,0,1.0496,NA,18,11.9,3.251539894,NA,NA
2505996,Eli Manning,NYG,QB,34,11,11,14.926,13.9012,15.3508,1.281277488,17,0.1985,0,1.4496,NA,23,11,3.898102352,NA,NA
925,Jamaal Charles,KC,RB,29,7,9,14.925,13.965,16.485,2.227386361,5,0.36,0,2.52,NA,7,3.1,2.838609537,NA,NA
2506121,Philip Rivers,SD,QB,34,11,10,14.788,14.6696,14.9064,0.209303607,18,0.2145,0,0.2368,NA,28,12.1,1.766707742,NA,NA
497328,Demaryius Thomas,DEN,WR,28,5,7,14.715,13.687,15.743,1.817264428,3,0.6275,1,2.056,NA,14,4.7,2.629723604,NA,NA
382,Joe Flacco,BAL,QB,30,7,9,14.667,14.0046,14.7294,0.640638744,19,0.277,0,0.7248,NA,29,22.1,3.720757858,NA,NA
2495663,Marshawn Lynch,SEA,RB,29,8,9,14.63,14.076,15.484,1.244507935,6,0.13,0,1.408,NA,29,3,2.066139992,NA,NA
2495466,Mark Ingram,NO,RB,26,4,11,14.5,14.5,14.5,NA,7,0.05,0,0,NA,27,12.9,1.582075351,NA,NA
2533034,Lamar Miller,MIA,RB,24,3,5,14.5,14.5,14.5,NA,7,0.25,0,0,NA,47,21.2,2.225248817,NA,NA
2506581,Ryan Fitzpatrick,NYJ,QB,33,10,5,14.48,14.48,14.48,NA,20,0.59,0,0,NA,29,19.2,4.686461998,NA,NA
2553435,David Johnson,ARI,RB,24,0,9,14.4,14.4,14.4,NA,9,0.45,0,0,NA,45,32.7,3.116392777,NA,NA
