playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2506340,Alex Smith,KC,QB,33,12,10,18.9394,18.9394,18.9394,NA,1,0.3543,1,0,NA,2.1,1.4,8.295295792,NA,NA
2504775,Drew Brees,NO,QB,38,16,5,18.817,18.817,18.817,NA,2,1.1798,1,0,NA,2,1.1,4.700427655,NA,NA
2555334,Jared Goff,LAR,QB,23,1,8,18.3532,18.3532,18.3532,NA,3,1.9296,1,0,NA,2.9,1.1,4.700427655,NA,NA
2552475,Todd Gurley,LAR,RB,23,2,8,17.838,17.838,17.838,NA,1,3.243,1,0,NA,1,0,2.525985231,NA,NA
2495455,Cam Newton,CAR,QB,28,6,11,16.9212,16.9212,16.9212,NA,4,1.1766,0,0,NA,3.4,0.9,2.303848897,NA,NA
310,Matt Ryan,ATL,QB,32,9,5,15.926,15.926,15.926,NA,5,1.0599,0,0,NA,5.5,1.2,5.898717034,NA,NA
2543477,Blake Bortles,JAC,QB,26,3,8,15.5632,15.5632,15.5632,NA,6,2.8848,0,0,NA,6.2,1.3,7.097006413,NA,NA
2558019,Alvin Kamara,NO,RB,21,0,5,14.81,14.81,14.81,NA,2,0.5645,1,0,NA,3,0.9,3.66237479,NA,NA
2557917,Kareem Hunt,KC,RB,22,0,10,14.38,14.38,14.38,NA,3,0.617,0,0,NA,4.3,1.4,4.293702323,NA,NA
2552466,Marcus Mariota,TEN,QB,24,2,8,14.169,14.169,14.169,NA,7,8.2697,0,0,NA,6.9,1,3.502138276,NA,NA
2557973,Leonard Fournette,JAC,RB,21,0,8,14.111,14.111,14.111,NA,4,1.2385,0,0,NA,2.8,1.1,3.914905803,NA,NA
2495466,Mark Ingram,NO,RB,28,6,5,13.415,13.415,13.415,NA,5,1.3555,0,0,NA,4.3,1,3.788640297,NA,NA
2543583,Devonta Freeman,ATL,RB,25,3,5,12.33,12.33,12.33,NA,6,0.6535,0,0,NA,6.4,1.3,4.167436816,NA,NA
2495454,Julio Jones,ATL,WR,28,6,5,11.974,11.974,11.974,NA,1,1.31,1,0,NA,2.3,1,3.535545553,NA,NA
2556075,Derrick Henry,TEN,RB,23,1,8,11.789,11.789,11.789,NA,7,2.506,0,0,NA,7,1,3.788640297,NA,NA
2557997,Christian McCaffrey,CAR,RB,21,0,11,11.564,11.564,11.564,NA,8,4.86,0,0,NA,7.3,0.6,3.283578271,NA,NA
2495240,Tyrod Taylor,BUF,QB,28,6,6,11.1878,11.1878,11.1878,NA,8,10.6188,0,0,NA,7,1,3.502138276,NA,NA
2556370,Michael Thomas,NO,WR,23,1,5,10.699,10.699,10.699,NA,2,1.2145,1,0,NA,1.7,0.8,3.079404004,NA,NA
2556214,Tyreek Hill,KC,WR,23,1,10,10.629,10.629,10.629,NA,3,2.3755,0,0,NA,2.2,0.7,2.851333229,NA,NA
2540258,Travis Kelce,KC,TE,28,4,10,10.568,10.568,10.568,NA,1,3.9955,1,0,NA,1.2,0.4,3.705228814,NA,NA
2556601,Wil Lutz,NO,K,23,1,5,9.54,9.54,9.54,NA,1,0.685,1,0,NA,1.6,1,6.171080088,NA,NA
2553833,Josh Lambo,JAC,K,27,2,8,9.1,9.1,9.1,NA,2,0.535,1,0,NA,4.2,0.9,4.804819985,NA,NA
2558245,Harrison Butker,KC,K,22,0,10,8.61,8.61,8.61,NA,3,0.095,1,0,NA,2.1,0.9,4.804819985,NA,NA
2504797,Matt Bryant,ATL,K,42,15,5,8.52,8.52,8.52,NA,4,0.53,0,0,NA,3.1,1,6.171080088,NA,NA
71309,Graham Gano,CAR,K,30,8,11,8.51,8.51,8.51,NA,5,1.23,0,0,NA,5.7,1,6.171080088,NA,NA
2552458,Devin Funchess,CAR,WR,23,2,11,8.34,8.34,8.34,NA,4,0.286,0,0,NA,5.6,0.9,3.307474778,NA,NA
2540169,Robert Woods,LAR,WR,25,4,8,8.167,8.167,8.167,NA,5,0.279,0,0,NA,3.9,0.7,2.851333229,NA,NA
2557898,Cooper Kupp,LAR,WR,24,0,8,7.941,7.941,7.941,NA,6,0.3515,0,0,NA,6,0.9,3.307474778,NA,NA
2543471,Kelvin Benjamin,BUF,WR,26,3,6,7.835,7.835,7.835,NA,7,0.6085,0,0,NA,12.4,2,5.816253298,NA,NA
2507374,Steven Hauschka,BUF,K,NA,NA,6,7.47,7.47,7.47,NA,6,0.38,0,0,NA,7.5,1,6.171080088,NA,NA
2557895,Dede Westbrook,JAC,WR,24,0,8,7.344,7.344,7.344,NA,8,0.2845,0,0,NA,12.1,0.8,3.079404004,NA,NA
2543475,Marqise Lee,JAC,WR,26,3,8,7.109,7.109,7.109,NA,9,0.195,0,0,NA,14.7,2.5,6.956607171,NA,NA
89802,Ryan Succop,TEN,K,31,8,8,7.09,7.09,7.09,NA,7,NA,0,0,NA,6.9,0.6,0.706039679,NA,NA
2543457,Sammy Watkins,LAR,WR,24,3,8,7.01,7.01,7.01,NA,10,0.5445,0,0,NA,8.3,1.7,5.132040975,NA,NA
949,Jonathan Stewart,CAR,RB,30,9,11,7.002,7.002,7.002,NA,9,0.706,0,0,NA,9.3,0.7,3.409843777,NA,NA
2532903,Rishard Matthews,TEN,WR,28,5,8,6.818,6.818,6.818,NA,11,0.755,0,0,NA,9.9,1.6,4.9039702,NA,NA
2495966,Delanie Walker,TEN,TE,33,11,8,6.717,6.717,6.717,NA,2,0.956,1,0,NA,2,0.6,4.318541481,NA,NA
2495700,Greg Olsen,CAR,TE,32,10,11,6.428,6.428,6.428,NA,3,1.6555,0,0,NA,2.9,0.5,4.011885147,NA,NA
2552453,Tevin Coleman,ATL,RB,24,2,5,6.406,6.406,6.406,NA,10,0.759,0,0,NA,13.2,4.7,8.460464038,NA,NA
79607,LeSean McCoy,BUF,RB,29,8,6,6.186,6.186,6.186,NA,11,1.1545,0,0,NA,14.4,5.5,9.47058809,NA,NA
2533040,Mohamed Sanu,ATL,WR,28,5,5,6.113,6.113,6.113,NA,12,0.31,0,0,NA,7.7,1.7,5.132040975,NA,NA
2507166,Ted Ginn,NO,WR,32,10,5,6.013,6.013,6.013,NA,13,0.8935,0,0,NA,9.5,1.4,4.447828651,NA,NA
2550353,Allen Hurns,JAC,WR,26,3,8,5.593,5.593,5.593,NA,14,1.4305,0,0,NA,18.3,1.3,4.219757876,NA,NA
2507428,Mike Tolbert,BUF,RB,32,9,6,5.108,5.108,5.108,NA,12,1.0185,0,0,NA,15.4,3.1,6.440215934,NA,NA
2495139,Charles Clay,BUF,TE,28,6,6,5.094,5.094,5.094,NA,4,1.007,0,0,NA,4,0.4,3.705228814,NA,NA
2552471,T.J. Yeldon,JAC,RB,24,2,8,4.955,4.955,4.955,NA,13,1.908,0,0,NA,12.1,1.3,4.167436816,NA,NA
2557848,Corey Davis,TEN,WR,22,0,8,4.646,4.646,4.646,NA,15,1.352,0,0,NA,14.8,1.1,3.763616327,NA,NA
2555415,Austin Hooper,ATL,TE,NA,1,5,4.451,4.451,4.451,NA,5,1.2005,0,0,NA,5.3,0.8,4.931854148,NA,NA
2495888,Marcedes Lewis,JAC,TE,33,11,8,3.723,3.723,3.723,NA,6,1.006,0,0,NA,6.3,0.8,4.931854148,NA,NA
2550272,Albert Wilson,KC,WR,25,3,10,3.679,3.679,3.679,NA,16,0.804,0,0,NA,16,1.5,4.675899426,NA,NA
2552647,Marcus Murphy,BUF,RB,26,2,6,3.224,3.224,3.224,NA,14,0.457,0,0,NA,20.4,7.6,12.12216373,NA,NA
497284,Eric Decker,TEN,WR,30,7,8,2.909,2.909,2.909,NA,17,0.393,0,0,NA,17.3,1.8,5.360111749,NA,NA
2550268,Charcandrick West,KC,RB,26,3,10,2.87,2.87,2.87,NA,15,0.599,0,0,NA,13.2,1.8,4.798764349,NA,NA
2534436,Deonte Thompson,BUF,WR,28,5,6,2.841,2.841,2.841,NA,18,0.769,0,0,NA,19,1.8,5.360111749,NA,NA
2541834,Josh Hill,NO,TE,27,4,5,2.778,2.778,2.778,NA,7,0.19,0,0,NA,8.2,0.9,5.238510482,NA,NA
2552382,Malcolm Brown,LAR,RB,24,2,8,2.664,2.664,2.664,NA,16,1.161,0,0,NA,18.8,2,5.051295362,NA,NA
497224,Ed Dickson,CAR,TE,30,7,11,2.656,2.656,2.656,NA,8,0.1775,0,0,NA,12.4,2.1,8.918386485,NA,NA
2555364,Tyler Higbee,LAR,TE,24,1,8,2.52,2.52,2.52,NA,9,0.3765,0,0,NA,6.8,1.1,5.851823149,NA,NA
2552403,Nick OLeary,BUF,TE,25,2,6,2.437,2.437,2.437,NA,10,0.6825,0,0,NA,10.2,2.5,10.14501182,NA,NA
2550328,Brandon Coleman,NO,WR,25,3,5,2.191,2.191,2.191,NA,19,0.278,0,0,NA,20.2,1.6,4.9039702,NA,NA
2557863,Zay Jones,BUF,WR,22,0,6,1.953,1.953,1.953,NA,20,0.109,0,0,NA,23.7,3.3,8.781173368,NA,NA
2553650,Corey Grant,JAC,RB,NA,NA,8,1.878,1.878,1.878,NA,17,0.776,0,0,NA,25.1,1.4,4.293702323,NA,NA
2550617,Taylor Gabriel,ATL,WR,26,3,5,1.873,1.873,1.873,NA,21,0.143,0,0,NA,23.8,1.1,3.763616327,NA,NA
