"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,6.45,6.45,6.45,,18,0.1125,0,46,23.4,4,5.68467348903068
"A.J. Derby","TE","DEN",2552580,1991-09-20,0,0,0,,45,0,0,1,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,14.5875,14.5875,14.5875,,5,1.0375,0,5,3.7,1.4,2.26602756699627
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,26,0,0,2,,,
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,,97,0,0,0,,,
"Aaron Dobson","WR","ARI",2539256,1991-07-23,0,0,0,,97,0,0,3,,,
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,,26,0,0,2,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,60,0,0,1,87.1,3.5,3.58071399462512
"Aaron Rodgers","QB","GB",2506363,1983-12-02,21.09,21.09,21.09,,2,3.32,1,11,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,6.2075,6.2075,6.2075,,62,0.19,0,1,88.1,8.3,5.71344377894065
"Adam Thielen","WR","MIN",2541785,1990-08-22,9.4375,9.4375,9.4375,,24,0.291250000000002,0,2,8.7,1.9,2.51584033597775
"Adam Vinatieri","K","IND",2503471,1972-12-28,8.7,8.7,8.7,,9,0.449999999999999,0,20,18.1,3.5,4.94563588462671
"Adrian Peterson","RB","MIN",2507164,1985-03-21,0,0,0,,60,0,0,9,,,
"Alan Cross","TE","TB",2556508,1993-05-02,0,0,0,,45,0,0,0,72,15,9.24576814617129
"Albert Wilson","WR","KC",2550272,1992-07-12,3.32,3.32,3.32,,79,0.2825,0,2,67.8,6.6,4.86408036440363
"Aldrick Robinson","WR","ATL",2495331,1988-09-24,0,0,0,,97,0,0,5,,,
"Alex Erickson","WR","CIN",2556519,1992-11-06,0.6,0.6,0.6,,91,0.4025,0,0,105.6,9.6,6.36295697829248
"Alex Smith","QB","KC",2506340,1984-05-07,14.76,14.76,14.76,,11,0.155000000000001,0,11,4.2,2.8,5.1045396906816
"Alex Tanney","QB","FA",2534870,1987-11-11,0,0,0,,26,0,0,4,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,1.85,1.85,1.85,,51,0.0700000000000001,0,2,68.9,5.7,4.78861697792289
"Alfred Morris","RB","DAL",2533457,1988-12-12,1.8275,1.8275,1.8275,,52,0.1375,0,4,17.6,3.8,3.74542803780209
"Allen Hurns","WR","JAC",2550353,1991-11-21,8.1625,8.1625,8.1625,,41,0.281250000000002,0,2,95.1,16.3,9.71044808264427
"Allen Robinson","WR","JAC",2543509,1993-08-24,0,0,0,,97,0,0,2,,,
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,12.0875,12.0875,12.0875,,11,0.186250000000001,0,4,,,
"Amari Cooper","WR","OAK",2552487,1994-06-18,10.575,10.575,10.575,,15,0.119999999999999,0,1,43.6,16.8,9.96026085162574
"Ameer Abdullah","RB","DET",2552374,1993-06-13,11.1725,11.1725,11.1725,,11,0.436249999999999,0,1,50.2,11.1,7.75346975510832
"Andre Ellington","RB","ARI",2539217,1989-02-03,9.2125,9.2125,9.2125,,19,0.49,0,3,,,
"Andre Holmes","WR","OAK",2495453,1988-06-16,3.6375,3.6375,3.6375,,76,0.2,0,5,,,
